name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100b.col,100,1050,121,12100,139151,OPTIMAL,71,0.134561,129.489,129.624,133.1875
c21_7_d1.col,21,105,8,168,1009,OPTIMAL,7,0.00106002,0.00171737,0.00277739,45.73047
GEOM100a.col,100,992,91,9100,99373,OPTIMAL,66,0.0950101,163.563,163.658,145.89844
c21_2_d2.col,21,105,11,231,1387,OPTIMAL,9,0.00105802,0.00143026,0.00248828,45.36719
GEOM120.col,120,773,73,8760,65190,OPTIMAL,59,0.0633799,1.48677,1.55015,71.61719
GEOM60b.col,60,366,63,3780,26839,OPTIMAL,41,0.0241822,0.363736,0.387918,59.55469
GEOM20b.col,20,32,16,320,833,OPTIMAL,13,0.000909372,0.000377629,0.001287,45.30469
GEOM30.col,30,50,33,990,2641,OPTIMAL,28,0.00243379,0.00147047,0.00390427,45.36719
c21_6_d1.col,21,105,11,231,1387,OPTIMAL,9,0.00117911,0.0015497,0.00272881,45.36719
c21_4_d2.col,21,105,11,231,1387,OPTIMAL,9,0.00128859,0.00141003,0.00269862,45.36719
GEOM40.col,40,78,33,1320,3895,OPTIMAL,28,0.00346627,0.00185123,0.00531749,45.36719
c21_3_d1.col,21,105,8,168,1009,OPTIMAL,7,0.00105489,0.00189882,0.00295371,45.36719
GEOM60.col,60,185,36,2160,8821,OPTIMAL,33,0.00791283,0.00226035,0.0101732,45.42969
GEOM70b.col,70,488,76,5320,42409,OPTIMAL,47,0.0386432,1.58939,1.62803,63.55078
c21_1_d1.col,21,105,8,168,1009,OPTIMAL,7,0.000845576,0.00128139,0.00212697,45.55859
GEOM120b.col,120,1491,123,14760,198154,SATISFIABLE,83,0.193146,3599.81,3600.0,314.70312
c21_5_d1.col,21,105,8,168,1009,OPTIMAL,7,0.00106402,0.00178381,0.00284783,45.43359
GEOM50.col,50,127,36,1800,6373,OPTIMAL,28,0.00565412,0.0023906,0.00804472,45.30859
GEOM90.col,90,441,54,4860,28675,OPTIMAL,46,0.030036,0.124853,0.154889,59.28516
GEOM80.col,80,349,54,4320,23167,OPTIMAL,41,0.0253066,0.0462202,0.0715268,45.37109
GEOM90a.col,90,789,80,7200,70321,OPTIMAL,63,0.0651829,6.67559,6.74077,75.25781
c21_6_d2.col,21,105,11,231,1387,OPTIMAL,9,0.00132729,0.00169023,0.00301752,45.43359
GEOM90b.col,90,860,109,9810,103551,OPTIMAL,69,0.0992534,33.5354,33.6347,92.47656
c55_1_d1.col,55,362,8,440,3337,OPTIMAL,7,0.00248602,0.00179526,0.00428128,45.43359
GEOM50a.col,50,238,61,3050,17569,OPTIMAL,50,0.0157375,0.23483,0.250567,57.49609
GEOM20a.col,20,37,24,480,1369,OPTIMAL,20,0.00108279,0.000682103,0.0017649,45.24609
GEOM100.col,100,547,64,6400,41409,OPTIMAL,50,0.0386087,0.276904,0.315513,61.25781
GEOM110.col,110,638,64,7040,47873,OPTIMAL,50,0.0445783,0.39931,0.443889,65.73047
c21_5_d2.col,21,105,8,168,1009,OPTIMAL,7,0.000736532,0.00186818,0.00260471,45.79688
c21_8_d2.col,21,105,11,231,1387,OPTIMAL,9,0.00148112,0.00218648,0.00366759,45.43359
c21_7_d2.col,21,105,8,168,1009,OPTIMAL,7,0.00102984,0.00137098,0.00240083,45.37109
GEOM70a.col,70,459,72,5040,38089,OPTIMAL,61,0.0355061,1.46855,1.50406,63.52344
c21_4_d1.col,21,105,11,231,1387,OPTIMAL,9,0.00101596,0.00161145,0.00262741,45.24609
GEOM110b.col,110,1256,121,13310,165287,OPTIMAL,77,0.160037,800.988,801.148,199.27734
GEOM80a.col,80,612,79,6320,54669,OPTIMAL,63,0.0513879,2.40454,2.45593,68.83594
GEOM30a.col,30,81,32,960,3553,OPTIMAL,27,0.00307214,0.00189739,0.00496953,45.92188
GEOM80b.col,80,663,98,7840,72815,OPTIMAL,60,0.0683254,3.11433,3.18266,73.21094
GEOM50b.col,50,249,54,2700,16147,OPTIMAL,35,0.0215916,0.0488996,0.0704912,45.85938
GEOM60a.col,60,339,61,3660,24340,OPTIMAL,50,0.0263393,0.32935,0.355689,59.29688
GEOM70.col,70,267,44,3080,14829,OPTIMAL,38,0.0167514,0.0166187,0.0333701,45.85938
GEOM30b.col,30,81,27,810,2998,OPTIMAL,26,0.0028685,0.000733879,0.00360238,45.37109
c21_3_d2.col,21,105,8,168,1009,OPTIMAL,7,0.00101954,0.00163578,0.00265532,45.37109
c21_8_d1.col,21,105,11,231,1387,OPTIMAL,9,0.00140933,0.00171321,0.00312255,45.37109
c21_1_d2.col,21,105,8,168,1009,OPTIMAL,7,0.00100908,0.0014553,0.00246437,45.37109
GEOM40a.col,40,146,50,2000,9301,OPTIMAL,37,0.00817676,0.0213326,0.0295093,45.92188
GEOM40b.col,40,157,40,1600,7881,OPTIMAL,33,0.00695815,0.00641635,0.0133745,45.43359
c21_2_d1.col,21,105,11,231,1387,OPTIMAL,9,0.00126785,0.00149,0.00275785,45.37109
GEOM110a.col,110,1207,109,11990,143554,OPTIMAL,69,0.138166,220.915,221.053,165.35156
GEOM120a.col,120,1434,109,13080,169387,OPTIMAL,82,0.164614,336.854,337.019,155.49219
c55_2_d2.col,55,362,8,440,3337,OPTIMAL,7,0.0028676,0.00181094,0.00467855,45.79688
GEOM20.col,20,20,24,480,961,OPTIMAL,21,0.00117804,0.000501571,0.00167961,45.43359
