name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,6400,42908,OPTIMAL,50,0.012528,0.340732,0.35326,62.33594
GEOM100a.col,100,992,91,9100,101972,OPTIMAL,66,0.0307594,206.41,206.441,128.21875
GEOM100b.col,100,1050,121,12100,144250,OPTIMAL,71,0.0437867,69.1608,69.2046,108.79688
GEOM110.col,110,638,64,7040,49522,OPTIMAL,50,0.0228182,0.524749,0.547567,64.5625
GEOM110a.col,110,1207,109,11990,148063,OPTIMAL,69,0.0468568,124.98,125.027,147.39453
GEOM110b.col,110,1256,121,13310,170236,OPTIMAL,77,0.05226,248.991,249.043,159.73828
GEOM120.col,120,773,73,8760,66989,OPTIMAL,59,0.0247944,1.37102,1.39582,67.96875
GEOM120a.col,120,1434,109,13080,172746,OPTIMAL,82,0.0527951,137.513,137.566,128.44922
GEOM120b.col,120,1491,123,14760,203073,OPTIMAL,83,0.0656422,3080.66,3080.72,297.41406
GEOM20.col,20,20,24,480,1040,OPTIMAL,21,0.00049444,0.00102426,0.0015187,46.0
GEOM20a.col,20,37,24,480,1468,OPTIMAL,20,0.000661012,0.000965094,0.00162611,45.8125
GEOM20b.col,20,32,16,320,912,OPTIMAL,13,0.000442762,0.00046165,0.000904412,45.36719
GEOM30.col,30,50,33,990,2820,OPTIMAL,28,0.00123394,0.00248506,0.003719,45.42969
GEOM30a.col,30,81,32,960,3732,OPTIMAL,27,0.00170763,0.00264767,0.0043553,45.44922
GEOM30b.col,30,81,27,810,3057,OPTIMAL,26,0.00130798,0.000768468,0.00207645,46.0
GEOM40.col,40,78,33,1320,4134,OPTIMAL,28,0.00192751,0.0042804,0.00620791,45.91797
GEOM40a.col,40,146,50,2000,9860,OPTIMAL,37,0.00452526,0.0171883,0.0217135,46.25
GEOM40b.col,40,157,40,1600,8200,OPTIMAL,33,0.00243251,0.0099841,0.0124166,45.9375
GEOM50.col,50,127,36,1800,6822,OPTIMAL,28,0.00337369,0.00398292,0.00735661,45.9375
GEOM50a.col,50,238,61,3050,18168,OPTIMAL,50,0.00540458,0.298979,0.304384,57.58594
GEOM50b.col,50,249,54,2700,17146,OPTIMAL,35,0.00693443,0.127831,0.134765,56.19141
GEOM60.col,60,185,36,2160,9060,OPTIMAL,33,0.00284244,0.00351751,0.00635996,45.42969
GEOM60a.col,60,339,61,3660,25059,OPTIMAL,50,0.00691628,0.289567,0.296484,58.78125
GEOM60b.col,60,366,63,3780,28218,OPTIMAL,41,0.0115111,0.598546,0.610057,58.53516
GEOM70.col,70,267,44,3080,15318,OPTIMAL,38,0.00689059,0.0154768,0.0223674,45.8125
GEOM70a.col,70,459,72,5040,38928,OPTIMAL,61,0.0133357,2.33478,2.34811,62.8125
GEOM70b.col,70,488,76,5320,44508,OPTIMAL,47,0.0159663,1.81472,1.83068,62.94141
GEOM80.col,80,349,54,4320,24286,OPTIMAL,41,0.00957687,0.0373739,0.0469508,46.0
GEOM80a.col,80,612,79,6320,56028,OPTIMAL,63,0.0209824,5.17661,5.19759,68.62891
GEOM80b.col,80,663,98,7840,75934,OPTIMAL,60,0.0228273,3.22989,3.25272,69.38672
GEOM90.col,90,441,54,4860,29484,OPTIMAL,46,0.0156725,0.149333,0.165005,58.95312
GEOM90a.col,90,789,80,7200,71940,OPTIMAL,63,0.0245984,5.65274,5.67734,74.72656
GEOM90b.col,90,860,109,9810,107240,OPTIMAL,69,0.0347642,25.276,25.3108,90.05469
c21_1_d1.col,21,105,8,168,1050,OPTIMAL,7,0.000445436,0.00190427,0.00234971,45.79688
c21_1_d2.col,21,105,8,168,1050,OPTIMAL,7,0.000508597,0.00209424,0.00260283,46.3125
c21_2_d1.col,21,105,11,231,1449,OPTIMAL,9,0.000623537,0.00306248,0.00368602,45.9375
c21_2_d2.col,21,105,11,231,1449,OPTIMAL,9,0.000613776,0.00241631,0.00303009,45.73047
c21_3_d1.col,21,105,8,168,1050,OPTIMAL,7,0.000430463,0.00190771,0.00233817,45.42969
c21_3_d2.col,21,105,8,168,1050,OPTIMAL,7,0.000292968,0.0013642,0.00165717,46.0
c21_4_d1.col,21,105,11,231,1449,OPTIMAL,9,0.000615648,0.00293433,0.00354998,45.75
c21_4_d2.col,21,105,11,231,1449,OPTIMAL,9,0.00061646,0.00289775,0.00351421,45.17969
c21_5_d1.col,21,105,8,168,1050,OPTIMAL,7,0.00050995,0.00204437,0.00255432,46.0
c21_5_d2.col,21,105,8,168,1050,OPTIMAL,7,0.000456557,0.00200222,0.00245877,45.875
c21_6_d1.col,21,105,11,231,1449,OPTIMAL,9,0.000615616,0.00294132,0.00355693,45.55469
c21_6_d2.col,21,105,11,231,1449,OPTIMAL,9,0.000632847,0.00299856,0.0036314,46.1875
c21_7_d1.col,21,105,8,168,1050,OPTIMAL,7,0.000438205,0.00198242,0.00242063,45.78906
c21_7_d2.col,21,105,8,168,1050,OPTIMAL,7,0.000499838,0.0022298,0.00272964,46.0625
c21_8_d1.col,21,105,11,231,1449,OPTIMAL,9,0.000613538,0.0029085,0.00352204,45.875
c21_8_d2.col,21,105,11,231,1449,OPTIMAL,9,0.000688282,0.00318382,0.00387211,46.0
c55_1_d1.col,55,362,8,440,3446,OPTIMAL,7,0.00142099,0.00278464,0.00420564,46.0
c55_2_d2.col,55,362,8,440,3446,OPTIMAL,7,0.00137229,0.00266525,0.00403754,46.1875
