name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100b.col,100,1050,121,12100,139151,OPTIMAL,71,0.134087,155.582,155.716,137.57031
c21_7_d1.col,21,105,8,168,1009,OPTIMAL,7,0.00113894,0.00292158,0.00406052,45.90625
GEOM100a.col,100,992,91,9100,99373,OPTIMAL,66,0.101014,104.167,104.268,133.10547
c21_2_d2.col,21,105,11,231,1387,OPTIMAL,9,0.00103715,0.00253328,0.00357043,45.85938
GEOM120.col,120,773,73,8760,65190,OPTIMAL,59,0.0644997,1.71894,1.78344,71.13672
GEOM60b.col,60,366,63,3780,26839,OPTIMAL,41,0.0248978,0.760107,0.785005,59.94141
GEOM20b.col,20,32,16,320,833,OPTIMAL,13,0.000960089,0.000653906,0.001614,45.73438
GEOM30.col,30,50,33,990,2641,OPTIMAL,28,0.00334783,0.00258564,0.00593347,45.98438
c21_6_d1.col,21,105,11,231,1387,OPTIMAL,9,0.00153661,0.00336576,0.00490237,45.98438
c21_4_d2.col,21,105,11,231,1387,OPTIMAL,9,0.00149977,0.00334497,0.00484474,45.85938
GEOM40.col,40,78,33,1320,3895,OPTIMAL,28,0.00509337,0.00275231,0.00784568,45.92188
c21_3_d1.col,21,105,8,168,1009,OPTIMAL,7,0.00106357,0.00253225,0.00359582,45.98438
GEOM60.col,60,185,36,2160,8821,OPTIMAL,33,0.00830938,0.00258624,0.0108956,45.92188
GEOM70b.col,70,488,76,5320,42409,OPTIMAL,47,0.0395966,1.76341,1.80301,63.43359
c21_1_d1.col,21,105,8,168,1009,OPTIMAL,7,0.00103223,0.00261076,0.00364299,45.92578
GEOM120b.col,120,1491,123,14760,198154,SATISFIABLE,83,0.206201,3599.79,3600.0,305.30078
c21_5_d1.col,21,105,8,168,1009,OPTIMAL,7,0.0011016,0.00275289,0.00385449,45.56641
GEOM50.col,50,127,36,1800,6373,OPTIMAL,28,0.00921978,0.0033125,0.0125323,46.05469
GEOM90.col,90,441,54,4860,28675,OPTIMAL,46,0.0286305,0.0551706,0.0838011,45.44531
GEOM80.col,80,349,54,4320,23167,OPTIMAL,41,0.0243952,0.029909,0.0543042,45.44531
GEOM90a.col,90,789,80,7200,70321,OPTIMAL,63,0.0710435,6.2055,6.27655,74.76172
c21_6_d2.col,21,105,11,231,1387,OPTIMAL,9,0.00134746,0.00276203,0.0041095,45.44531
GEOM90b.col,90,860,109,9810,103551,OPTIMAL,69,0.110099,24.0772,24.1873,91.63281
c55_1_d1.col,55,362,8,440,3337,OPTIMAL,7,0.00361986,0.00656668,0.0101865,45.93359
GEOM50a.col,50,238,61,3050,17569,OPTIMAL,50,0.0191383,0.203118,0.222257,57.48438
GEOM20a.col,20,37,24,480,1369,OPTIMAL,20,0.00156851,0.00144333,0.00301184,45.74609
GEOM100.col,100,547,64,6400,41409,OPTIMAL,50,0.0392151,0.343558,0.382773,61.92969
GEOM110.col,110,638,64,7040,47873,OPTIMAL,50,0.0460828,0.336729,0.382812,64.25781
c21_5_d2.col,21,105,8,168,1009,OPTIMAL,7,0.000848412,0.00189086,0.00273927,45.38281
c21_8_d2.col,21,105,11,231,1387,OPTIMAL,9,0.00154435,0.00383278,0.00537712,45.50781
c21_7_d2.col,21,105,8,168,1009,OPTIMAL,7,0.001066,0.00264908,0.00371508,45.38281
GEOM70a.col,70,459,72,5040,38089,OPTIMAL,61,0.0353972,1.71957,1.75497,62.97656
c21_4_d1.col,21,105,11,231,1387,OPTIMAL,9,0.00102761,0.00253,0.00355761,45.44531
GEOM110b.col,110,1256,121,13310,165287,OPTIMAL,77,0.172216,486.062,486.234,181.39844
GEOM80a.col,80,612,79,6320,54669,OPTIMAL,63,0.050571,2.93237,2.98294,68.64453
GEOM30a.col,30,81,32,960,3553,OPTIMAL,27,0.00420748,0.00234863,0.00655611,45.93359
GEOM80b.col,80,663,98,7840,72815,OPTIMAL,60,0.0684914,3.31266,3.38115,73.61719
GEOM50b.col,50,249,54,2700,16147,OPTIMAL,35,0.0149361,0.0557378,0.0706739,45.44531
GEOM60a.col,60,339,61,3660,24340,OPTIMAL,50,0.0216955,0.267267,0.288963,59.01172
GEOM70.col,70,267,44,3080,14829,OPTIMAL,38,0.0156083,0.0126685,0.0282768,46.05859
GEOM30b.col,30,81,27,810,2998,OPTIMAL,26,0.00238831,0.000875775,0.00326409,45.80859
c21_3_d2.col,21,105,8,168,1009,OPTIMAL,7,0.00118517,0.00260578,0.00379095,45.99609
c21_8_d1.col,21,105,11,231,1387,OPTIMAL,9,0.00152181,0.00380356,0.00532537,45.87109
c21_1_d2.col,21,105,8,168,1009,OPTIMAL,7,0.00094292,0.00199006,0.00293298,46.05859
GEOM40a.col,40,146,50,2000,9301,OPTIMAL,37,0.00795697,0.0194949,0.0274519,45.93359
GEOM40b.col,40,157,40,1600,7881,OPTIMAL,33,0.00662824,0.00823232,0.0148606,46.05859
c21_2_d1.col,21,105,11,231,1387,OPTIMAL,9,0.00135678,0.0027055,0.00406228,45.74609
GEOM110a.col,110,1207,109,11990,143554,OPTIMAL,69,0.139928,83.6105,83.7505,134.22656
GEOM120a.col,120,1434,109,13080,169387,OPTIMAL,82,0.16466,307.692,307.856,147.19531
c55_2_d2.col,55,362,8,440,3337,OPTIMAL,7,0.00386716,0.00433848,0.00820565,45.99609
GEOM20.col,20,20,24,480,961,OPTIMAL,21,0.000933542,0.000525161,0.0014587,45.93359
