name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,4900,31703,OPTIMAL,50,0.542559,0.329777,0.872336,63.27344
GEOM100a.col,100,992,91,6500,70980,OPTIMAL,66,2.26575,219.805,222.07,116.82812
GEOM100b.col,100,1050,121,7000,80500,OPTIMAL,71,5.40645,91.9456,97.352,98.66016
GEOM110.col,110,638,64,5390,36652,OPTIMAL,50,0.635457,0.404324,1.03978,64.42188
GEOM110a.col,110,1207,109,7480,89556,OPTIMAL,69,4.83964,248.487,253.327,144.69531
GEOM110b.col,110,1256,121,8360,103816,OPTIMAL,77,6.18215,234.878,241.06,130.4375
GEOM120.col,120,773,73,6960,51794,OPTIMAL,59,0.894346,1.57038,2.46472,69.21094
GEOM120a.col,120,1434,109,9720,125874,OPTIMAL,82,4.29733,125.131,129.429,131.63281
GEOM120b.col,120,1491,123,9840,132102,OPTIMAL,83,6.75069,2157.74,2164.49,251.33984
GEOM20.col,20,20,24,400,800,OPTIMAL,21,0.00376109,0.000851129,0.00461222,45.44531
GEOM20a.col,20,37,24,380,1083,OPTIMAL,20,0.00632064,0.00167286,0.0079935,45.44531
GEOM20b.col,20,32,16,240,624,OPTIMAL,13,0.00271587,0.000551012,0.00326689,45.80078
GEOM30.col,30,50,33,810,2160,OPTIMAL,28,0.0133957,0.00286111,0.0162568,45.86328
GEOM30a.col,30,81,32,780,2886,OPTIMAL,27,0.0175335,0.00765778,0.0251913,45.87109
GEOM30b.col,30,81,27,750,2775,OPTIMAL,26,0.00675321,0.00108224,0.00783545,45.38281
GEOM40.col,40,78,33,1080,3186,OPTIMAL,28,0.0198962,0.00324064,0.0231369,45.4375
GEOM40a.col,40,146,50,1440,6696,OPTIMAL,37,0.0999544,0.0271992,0.127154,54.56641
GEOM40b.col,40,157,40,1280,6304,OPTIMAL,33,0.0522988,0.0124769,0.0647757,45.93359
GEOM50.col,50,127,36,1350,4779,OPTIMAL,28,0.0480108,0.00631977,0.0543306,46.05859
GEOM50a.col,50,238,61,2450,14112,OPTIMAL,50,0.178602,0.188205,0.366808,57.42188
GEOM50b.col,50,249,54,1700,10166,OPTIMAL,35,0.235744,0.068856,0.3046,55.53906
GEOM60.col,60,185,36,1920,7840,OPTIMAL,33,0.0350723,0.00516514,0.0402374,45.86328
GEOM60a.col,60,339,61,2940,19551,OPTIMAL,50,0.247537,0.241003,0.488539,59.21094
GEOM60b.col,60,366,63,2400,17040,OPTIMAL,41,0.470784,0.496808,0.967592,58.94922
GEOM70.col,70,267,44,2590,12469,OPTIMAL,38,0.094444,0.0172928,0.111737,55.66016
GEOM70a.col,70,459,72,4200,31740,OPTIMAL,61,0.409562,1.67384,2.08341,64.54297
GEOM70b.col,70,488,76,3220,25668,OPTIMAL,47,0.96118,1.20802,2.1692,62.89062
GEOM80.col,80,349,54,3200,17160,OPTIMAL,41,0.271932,0.0364908,0.308423,56.92188
GEOM80a.col,80,612,79,4960,42904,OPTIMAL,63,0.814756,4.90292,5.71768,67.66797
GEOM80b.col,80,663,98,4720,43837,OPTIMAL,60,2.22562,2.90186,5.12748,68.1875
GEOM90.col,90,441,54,4050,23895,OPTIMAL,46,0.238276,0.0519484,0.290225,57.71094
GEOM90a.col,90,789,80,5580,54498,OPTIMAL,63,1.13762,4.23854,5.37616,70.48438
GEOM90b.col,90,860,109,6120,64600,OPTIMAL,69,3.48426,37.634,41.1183,86.21094
c21_1_d1.col,21,105,8,126,756,OPTIMAL,7,0.00266377,0.00243936,0.00510313,45.86719
c21_1_d2.col,21,105,8,126,756,OPTIMAL,7,0.00259251,0.00236594,0.00495845,45.44531
c21_2_d1.col,21,105,11,168,1008,OPTIMAL,9,0.00334501,0.00275128,0.00609629,45.44531
c21_2_d2.col,21,105,11,168,1008,OPTIMAL,9,0.00351368,0.00263428,0.00614795,45.92578
c21_3_d1.col,21,105,8,126,756,OPTIMAL,7,0.00198565,0.00171575,0.0037014,45.92578
c21_3_d2.col,21,105,8,126,756,OPTIMAL,7,0.00265498,0.00239982,0.00505479,45.50781
c21_4_d1.col,21,105,11,168,1008,OPTIMAL,9,0.00334267,0.00258847,0.00593114,45.87109
c21_4_d2.col,21,105,11,168,1008,OPTIMAL,9,0.00505334,0.00296739,0.00802073,45.4375
c21_5_d1.col,21,105,8,126,756,OPTIMAL,7,0.00262153,0.00247996,0.00510149,45.99609
c21_5_d2.col,21,105,8,126,756,OPTIMAL,7,0.00234364,0.00192163,0.00426528,45.44531
c21_6_d1.col,21,105,11,168,1008,OPTIMAL,9,0.0048721,0.00363191,0.00850401,45.375
c21_6_d2.col,21,105,11,168,1008,OPTIMAL,9,0.00368451,0.00254045,0.00622496,45.87109
c21_7_d1.col,21,105,8,126,756,OPTIMAL,7,0.00263281,0.00243585,0.00506865,45.97656
c21_7_d2.col,21,105,8,126,756,OPTIMAL,7,0.00212454,0.00197582,0.00410036,45.44531
c21_8_d1.col,21,105,11,168,1008,OPTIMAL,9,0.00362098,0.00245383,0.00607481,45.38281
c21_8_d2.col,21,105,11,168,1008,OPTIMAL,9,0.00359229,0.0026378,0.00623009,45.57031
c55_1_d1.col,55,362,8,330,2502,OPTIMAL,7,0.00643154,0.00227425,0.00870579,45.38281
c55_2_d2.col,55,362,8,330,2502,OPTIMAL,7,0.0064875,0.00226827,0.00875577,45.74609
