name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,4900,31704,OPTIMAL,50,0.536204,0.284691,0.820894,62.73047
GEOM100a.col,100,992,91,6500,70981,OPTIMAL,66,2.2104,231.827,234.038,126.90625
GEOM100b.col,100,1050,121,7000,80501,OPTIMAL,71,5.65177,91.8022,97.454,102.71484
GEOM110.col,110,638,64,5390,36653,OPTIMAL,50,0.631531,0.294783,0.926314,64.50781
GEOM110a.col,110,1207,109,7480,89557,OPTIMAL,69,4.68077,110.157,114.837,110.98828
GEOM110b.col,110,1256,121,8360,103817,OPTIMAL,77,5.97745,190.903,196.881,128.19922
GEOM120.col,120,773,73,6960,51795,OPTIMAL,59,0.876437,1.44224,2.31868,69.49609
GEOM120a.col,120,1434,109,9720,125875,OPTIMAL,82,4.28843,86.9254,91.2138,114.86328
GEOM120b.col,120,1491,123,9840,132103,SATISFIABLE,83,6.90101,3593.1,3600.0,281.37891
GEOM20.col,20,20,24,400,801,OPTIMAL,21,0.00439278,0.00100073,0.00539351,45.55469
GEOM20a.col,20,37,24,380,1084,OPTIMAL,20,0.00576969,0.00135525,0.00712494,45.42578
GEOM20b.col,20,32,16,240,625,OPTIMAL,13,0.00264839,0.000848257,0.00349665,45.35938
GEOM30.col,30,50,33,810,2161,OPTIMAL,28,0.0135684,0.00280041,0.0163688,45.35938
GEOM30a.col,30,81,32,780,2887,OPTIMAL,27,0.0174473,0.0122035,0.0296508,45.91797
GEOM30b.col,30,81,27,750,2776,OPTIMAL,26,0.00698997,0.000981436,0.0079714,45.85547
GEOM40.col,40,78,33,1080,3187,OPTIMAL,28,0.0198884,0.0029239,0.0228123,45.35938
GEOM40a.col,40,146,50,1440,6697,OPTIMAL,37,0.0978532,0.0255313,0.123384,54.33203
GEOM40b.col,40,157,40,1280,6305,OPTIMAL,33,0.0500505,0.00934119,0.0593917,45.36719
GEOM50.col,50,127,36,1350,4780,OPTIMAL,28,0.0464048,0.00453025,0.0509351,45.42578
GEOM50a.col,50,238,61,2450,14113,OPTIMAL,50,0.178772,0.193311,0.372083,57.39062
GEOM50b.col,50,249,54,1700,10167,OPTIMAL,35,0.245153,0.0480483,0.293201,55.42188
GEOM60.col,60,185,36,1920,7841,OPTIMAL,33,0.0350566,0.00490895,0.0399655,45.35938
GEOM60a.col,60,339,61,2940,19552,OPTIMAL,50,0.250471,0.241293,0.491764,59.05469
GEOM60b.col,60,366,63,2400,17041,OPTIMAL,41,0.466318,0.675668,1.14199,59.38672
GEOM70.col,70,267,44,2590,12470,OPTIMAL,38,0.0934876,0.0167426,0.11023,55.44531
GEOM70a.col,70,459,72,4200,31741,OPTIMAL,61,0.420594,1.68315,2.10375,64.46484
GEOM70b.col,70,488,76,3220,25669,OPTIMAL,47,0.938923,2.30197,3.24089,62.59375
GEOM80.col,80,349,54,3200,17161,OPTIMAL,41,0.267453,0.0352635,0.302716,56.98047
GEOM80a.col,80,612,79,4960,42905,OPTIMAL,63,0.820446,1.76184,2.58229,66.55859
GEOM80b.col,80,663,98,4720,43838,OPTIMAL,60,2.17974,3.71747,5.8972,69.20703
GEOM90.col,90,441,54,4050,23896,OPTIMAL,46,0.237151,0.0630365,0.300187,57.77344
GEOM90a.col,90,789,80,5580,54499,OPTIMAL,63,1.12755,5.25075,6.3783,71.23047
GEOM90b.col,90,860,109,6120,64601,OPTIMAL,69,3.48068,27.6873,31.168,86.32031
c21_1_d1.col,21,105,8,126,757,OPTIMAL,7,0.00179119,0.00155184,0.00334303,45.91406
c21_1_d2.col,21,105,8,126,757,OPTIMAL,7,0.00210266,0.00177971,0.00388237,45.24219
c21_2_d1.col,21,105,11,168,1009,OPTIMAL,9,0.00334786,0.00160986,0.00495772,45.36719
c21_2_d2.col,21,105,11,168,1009,OPTIMAL,9,0.00394157,0.00174257,0.00568414,45.84766
c21_3_d1.col,21,105,8,126,757,OPTIMAL,7,0.00233063,0.00147732,0.00380795,45.35938
c21_3_d2.col,21,105,8,126,757,OPTIMAL,7,0.00208829,0.00145566,0.00354395,45.36719
c21_4_d1.col,21,105,11,168,1009,OPTIMAL,9,0.0035828,0.00179827,0.00538107,45.79297
c21_4_d2.col,21,105,11,168,1009,OPTIMAL,9,0.00371895,0.00161424,0.00533318,45.35938
c21_5_d1.col,21,105,8,126,757,OPTIMAL,7,0.00214369,0.00149016,0.00363384,45.67578
c21_5_d2.col,21,105,8,126,757,OPTIMAL,7,0.002606,0.00198684,0.00459284,45.36719
c21_6_d1.col,21,105,11,168,1009,OPTIMAL,9,0.00417217,0.00211434,0.00628652,45.29688
c21_6_d2.col,21,105,11,168,1009,OPTIMAL,9,0.00491423,0.00238554,0.00729977,45.97656
c21_7_d1.col,21,105,8,126,757,OPTIMAL,7,0.00217049,0.00154106,0.00371155,45.41797
c21_7_d2.col,21,105,8,126,757,OPTIMAL,7,0.00247483,0.00145591,0.00393075,45.42969
c21_8_d1.col,21,105,11,168,1009,OPTIMAL,9,0.00333095,0.00196908,0.00530002,45.42969
c21_8_d2.col,21,105,11,168,1009,OPTIMAL,9,0.00483008,0.00241963,0.00724972,45.36719
c55_1_d1.col,55,362,8,330,2503,OPTIMAL,7,0.00612276,0.00267926,0.00880201,45.42578
c55_2_d2.col,55,362,8,330,2503,OPTIMAL,7,0.00656506,0.00261495,0.00918,45.55469
