name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62008,OPTIMAL,50,0.0162015,0.344831,0.361033,67.57422
GEOM100a.col,100,992,91,18200,129172,OPTIMAL,66,0.0366549,166.813,166.85,128.92188
GEOM100b.col,100,1050,121,24200,180450,OPTIMAL,71,0.0521288,67.8149,67.867,122.73828
GEOM110.col,110,638,64,14080,70532,OPTIMAL,50,0.0189202,0.53682,0.55574,70.36719
GEOM110a.col,110,1207,109,23980,183923,OPTIMAL,69,0.0512912,70.7519,70.8032,123.50781
GEOM110b.col,110,1256,121,26620,210056,OPTIMAL,77,0.0605218,236.243,236.303,139.38281
GEOM120.col,120,773,73,17520,93149,OPTIMAL,59,0.0318171,1.30792,1.33973,75.08594
GEOM120a.col,120,1434,109,26160,211866,OPTIMAL,82,0.0640201,144.368,144.432,139.37109
GEOM120b.col,120,1491,123,29520,247233,OPTIMAL,83,0.0677852,3013.61,3013.68,288.71094
GEOM20.col,20,20,24,960,2460,OPTIMAL,21,0.000796859,0.000908588,0.00170545,45.53906
GEOM20a.col,20,37,24,960,2888,OPTIMAL,20,0.000800107,0.00126929,0.00206939,45.89844
GEOM20b.col,20,32,16,640,1852,OPTIMAL,13,0.000677069,0.000816222,0.00149329,45.40234
GEOM30.col,30,50,33,1980,5760,OPTIMAL,28,0.00231572,0.00456066,0.00687638,45.40234
GEOM30a.col,30,81,32,1920,6582,OPTIMAL,27,0.0025945,0.0041142,0.0067087,45.77344
GEOM30b.col,30,81,27,1620,5457,OPTIMAL,26,0.00187879,0.000963508,0.0028423,45.53516
GEOM40.col,40,78,33,2640,8054,OPTIMAL,28,0.00268158,0.00320407,0.00588565,45.33984
GEOM40a.col,40,146,50,4000,15820,OPTIMAL,37,0.00376383,0.0195233,0.0232871,45.47266
GEOM40b.col,40,157,40,3200,12960,OPTIMAL,33,0.00378089,0.0171238,0.0209047,45.41016
GEOM50.col,50,127,36,3600,12172,OPTIMAL,28,0.00512323,0.00574805,0.0108713,45.41016
GEOM50a.col,50,238,61,6100,27268,OPTIMAL,50,0.00940624,0.251261,0.260667,60.12891
GEOM50b.col,50,249,54,5400,25196,OPTIMAL,35,0.00982346,0.161029,0.170853,57.48438
GEOM60.col,60,185,36,4320,15480,OPTIMAL,33,0.00648084,0.00469348,0.0111743,45.40234
GEOM60a.col,60,339,61,7320,35979,OPTIMAL,50,0.00946196,0.263347,0.272809,61.18359
GEOM60b.col,60,366,63,7560,39498,OPTIMAL,41,0.0100834,0.576668,0.586752,61.03125
GEOM70.col,70,267,44,6160,24488,OPTIMAL,38,0.00639479,0.0208459,0.0272407,45.41016
GEOM70a.col,70,459,72,10080,53978,OPTIMAL,61,0.0159387,2.34918,2.36512,68.00391
GEOM70b.col,70,488,76,10640,60398,OPTIMAL,47,0.0154274,1.43489,1.45032,65.39844
GEOM80.col,80,349,54,8640,37166,OPTIMAL,41,0.0126748,0.0616757,0.0743505,45.83594
GEOM80a.col,80,612,79,12640,74908,OPTIMAL,63,0.0208451,4.96822,4.98907,89.42969
GEOM80b.col,80,663,98,15680,99374,OPTIMAL,60,0.0264435,3.536,3.56245,91.67578
GEOM90.col,90,441,54,9720,43974,OPTIMAL,46,0.0124477,0.0823091,0.0947568,45.66016
GEOM90a.col,90,789,80,14400,93450,OPTIMAL,63,0.0251476,5.35038,5.37553,95.33203
GEOM90b.col,90,860,109,19620,136580,OPTIMAL,69,0.0370654,30.5573,30.5944,112.58594
c21_1_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000528245,0.0038728,0.00440105,45.95703
c21_1_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000537813,0.00527691,0.00581472,45.47266
c21_2_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000541183,0.00339422,0.00393541,45.41016
c21_2_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000549414,0.00328416,0.00383358,45.81641
c21_3_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000529646,0.00375266,0.00428231,45.33984
c21_3_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000534302,0.00528162,0.00581592,45.41016
c21_4_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000805385,0.00392174,0.00472713,45.89844
c21_4_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000776139,0.00347149,0.00424763,45.40234
c21_5_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000545339,0.00478285,0.00532819,45.71094
c21_5_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000544736,0.0050483,0.00559303,45.47266
c21_6_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000818399,0.00332913,0.00414753,45.40234
c21_6_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000817158,0.00468919,0.00550635,45.34766
c21_7_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000544974,0.00406828,0.00461325,45.86719
c21_7_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000641818,0.00383208,0.0044739,45.41016
c21_8_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000800835,0.00468122,0.00548205,45.53516
c21_8_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000770991,0.00453398,0.00530497,45.47266
c55_1_d1.col,55,362,8,880,4711,OPTIMAL,7,0.00151227,0.00420852,0.0057208,45.77344
c55_2_d2.col,55,362,8,880,4711,OPTIMAL,7,0.0015162,0.00369818,0.00521438,45.71484
