name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62009,OPTIMAL,50,0.0159426,0.395886,0.411828,66.72266
GEOM100a.col,100,992,91,18200,129173,OPTIMAL,66,0.0364573,206.727,206.763,133.39844
GEOM100b.col,100,1050,121,24200,180451,OPTIMAL,71,0.0501087,84.1564,84.2065,119.40625
GEOM110.col,110,638,64,14080,70533,OPTIMAL,50,0.0277252,0.462886,0.490611,68.875
GEOM110a.col,110,1207,109,23980,183924,OPTIMAL,69,0.0505958,208.288,208.338,158.83984
GEOM110b.col,110,1256,121,26620,210057,OPTIMAL,77,0.0611648,245.673,245.734,157.75
GEOM120.col,120,773,73,17520,93150,OPTIMAL,59,0.026005,1.45622,1.48223,78.98438
GEOM120a.col,120,1434,109,26160,211867,OPTIMAL,82,0.0614977,139.402,139.464,130.31641
GEOM120b.col,120,1491,123,29520,247234,OPTIMAL,83,0.0732793,2921.75,2921.83,295.59766
GEOM20.col,20,20,24,960,2461,OPTIMAL,21,0.000904456,0.000725728,0.00163018,45.80469
GEOM20a.col,20,37,24,960,2889,OPTIMAL,20,0.001156,0.00145358,0.00260958,45.37109
GEOM20b.col,20,32,16,640,1853,OPTIMAL,13,0.000715983,0.000640702,0.00135669,45.17969
GEOM30.col,30,50,33,1980,5761,OPTIMAL,28,0.00188815,0.00304766,0.00493582,45.85547
GEOM30a.col,30,81,32,1920,6583,OPTIMAL,27,0.00249008,0.00486041,0.00735049,45.30859
GEOM30b.col,30,81,27,1620,5458,OPTIMAL,26,0.00225017,0.00141155,0.00366172,45.92188
GEOM40.col,40,78,33,2640,8055,OPTIMAL,28,0.00235127,0.00338879,0.00574006,45.73047
GEOM40a.col,40,146,50,4000,15821,OPTIMAL,37,0.00623473,0.0239391,0.0301738,45.30859
GEOM40b.col,40,157,40,3200,12961,OPTIMAL,33,0.00359244,0.0100646,0.0136571,45.73438
GEOM50.col,50,127,36,3600,12173,OPTIMAL,28,0.0035709,0.00451125,0.00808215,45.37109
GEOM50a.col,50,238,61,6100,27269,OPTIMAL,50,0.00771859,0.293609,0.301328,58.90234
GEOM50b.col,50,249,54,5400,25197,OPTIMAL,35,0.00718331,0.0650187,0.072202,45.30859
GEOM60.col,60,185,36,4320,15481,OPTIMAL,33,0.00391232,0.0046028,0.00851512,45.36719
GEOM60a.col,60,339,61,7320,35980,OPTIMAL,50,0.0111546,0.248472,0.259626,61.32812
GEOM60b.col,60,366,63,7560,39499,OPTIMAL,41,0.0136882,0.711402,0.72509,61.59375
GEOM70.col,70,267,44,6160,24489,OPTIMAL,38,0.0095108,0.0180579,0.0275687,45.30859
GEOM70a.col,70,459,72,10080,53979,OPTIMAL,61,0.0142989,1.13586,1.15016,68.72266
GEOM70b.col,70,488,76,10640,60399,OPTIMAL,47,0.0160577,1.35406,1.37012,65.38672
GEOM80.col,80,349,54,8640,37167,OPTIMAL,41,0.0148139,0.0465037,0.0613176,45.43359
GEOM80a.col,80,612,79,12640,74909,OPTIMAL,63,0.0204065,2.53977,2.56018,93.84766
GEOM80b.col,80,663,98,15680,99375,OPTIMAL,60,0.0260727,3.03101,3.05708,94.62109
GEOM90.col,90,441,54,9720,43975,OPTIMAL,46,0.0128023,0.0717444,0.0845467,45.24609
GEOM90a.col,90,789,80,14400,93451,OPTIMAL,63,0.0311452,5.59308,5.62423,97.23438
GEOM90b.col,90,860,109,19620,136581,OPTIMAL,69,0.0407681,33.0341,33.0748,114.9375
c21_1_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000576849,0.00174253,0.00231938,45.49609
c21_1_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000569234,0.00150959,0.00207883,45.85938
c21_2_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000832868,0.00230559,0.00313846,45.85938
c21_2_d2.col,21,105,11,462,2122,OPTIMAL,9,0.00082803,0.00224156,0.00306959,45.30469
c21_3_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000378344,0.00138545,0.00176379,45.30469
c21_3_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000571218,0.00166897,0.00224019,45.79688
c21_4_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000810307,0.00227366,0.00308397,45.30859
c21_4_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000804964,0.0020971,0.00290206,45.30469
c21_5_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000388449,0.00117161,0.00156006,45.30859
c21_5_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000563759,0.00184971,0.00241347,45.30859
c21_6_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000787136,0.00180106,0.0025882,45.05469
c21_6_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000816214,0.00193852,0.00275473,45.37109
c21_7_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000395044,0.00130823,0.00170327,45.73047
c21_7_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000566099,0.00172349,0.00228959,45.79688
c21_8_d1.col,21,105,11,462,2122,OPTIMAL,9,0.00053466,0.00179523,0.00232989,45.30859
c21_8_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000806114,0.00189751,0.00270362,45.24609
c55_1_d1.col,55,362,8,880,4712,OPTIMAL,7,0.00168197,0.00443878,0.00612075,45.55859
c55_2_d2.col,55,362,8,880,4712,OPTIMAL,7,0.00165091,0.00309953,0.00475044,45.37891
