name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62008,OPTIMAL,50,0.0163908,0.320731,0.337122,67.58984
GEOM100a.col,100,992,91,18200,129172,OPTIMAL,66,0.0363995,166.309,166.345,138.66797
GEOM100b.col,100,1050,121,24200,180450,OPTIMAL,71,0.0523481,67.4602,67.5126,125.33984
GEOM110.col,110,638,64,14080,70532,OPTIMAL,50,0.0251301,0.367452,0.392582,70.51953
GEOM110a.col,110,1207,109,23980,183923,OPTIMAL,69,0.0510756,89.7137,89.7648,132.48828
GEOM110b.col,110,1256,121,26620,210056,OPTIMAL,77,0.0561256,368.418,368.474,190.03516
GEOM120.col,120,773,73,17520,93149,OPTIMAL,59,0.0264949,1.34454,1.37104,75.80859
GEOM120a.col,120,1434,109,26160,211866,OPTIMAL,82,0.061171,144.21,144.272,136.48438
GEOM120b.col,120,1491,123,29520,247233,OPTIMAL,83,0.0679911,3004.26,3004.32,292.42969
GEOM20.col,20,20,24,960,2460,OPTIMAL,21,0.00101205,0.00126632,0.00227837,45.34375
GEOM20a.col,20,37,24,960,2888,OPTIMAL,20,0.0011317,0.00167907,0.00281076,45.33984
GEOM20b.col,20,32,16,640,1852,OPTIMAL,13,0.000767642,0.000728367,0.00149601,45.33594
GEOM30.col,30,50,33,1980,5760,OPTIMAL,28,0.00228335,0.00461704,0.00690039,45.39844
GEOM30a.col,30,81,32,1920,6582,OPTIMAL,27,0.00208004,0.00280114,0.00488118,45.82812
GEOM30b.col,30,81,27,1620,5457,OPTIMAL,26,0.00221615,0.00132121,0.00353736,45.40234
GEOM40.col,40,78,33,2640,8054,OPTIMAL,28,0.00282969,0.00343787,0.00626756,45.46094
GEOM40a.col,40,146,50,4000,15820,OPTIMAL,37,0.00444802,0.01968,0.024128,45.33984
GEOM40b.col,40,157,40,3200,12960,OPTIMAL,33,0.00323408,0.0172545,0.0204886,45.33984
GEOM50.col,50,127,36,3600,12172,OPTIMAL,28,0.00476246,0.00605905,0.0108215,45.46484
GEOM50a.col,50,238,61,6100,27268,OPTIMAL,50,0.00710858,0.236416,0.243524,60.14062
GEOM50b.col,50,249,54,5400,25196,OPTIMAL,35,0.00717695,0.135918,0.143095,57.79688
GEOM60.col,60,185,36,4320,15480,OPTIMAL,33,0.00474754,0.00470681,0.00945435,45.33594
GEOM60a.col,60,339,61,7320,35979,OPTIMAL,50,0.00871023,0.302664,0.311374,61.57422
GEOM60b.col,60,366,63,7560,39498,OPTIMAL,41,0.00998979,0.668619,0.678608,61.59766
GEOM70.col,70,267,44,6160,24488,OPTIMAL,38,0.00678687,0.0197618,0.0265487,45.33984
GEOM70a.col,70,459,72,10080,53978,OPTIMAL,61,0.0151261,1.39125,1.40638,66.93359
GEOM70b.col,70,488,76,10640,60398,OPTIMAL,47,0.0158345,1.18382,1.19965,67.22656
GEOM80.col,80,349,54,8640,37166,OPTIMAL,41,0.0162959,0.0616425,0.0779384,45.70312
GEOM80a.col,80,612,79,12640,74908,OPTIMAL,63,0.0207714,5.00124,5.02201,94.16016
GEOM80b.col,80,663,98,15680,99374,OPTIMAL,60,0.0312052,4.11303,4.14424,95.16797
GEOM90.col,90,441,54,9720,43974,OPTIMAL,46,0.0126059,0.0769015,0.0895074,45.33984
GEOM90a.col,90,789,80,14400,93450,OPTIMAL,63,0.0264457,5.98791,6.01436,98.47266
GEOM90b.col,90,860,109,19620,136580,OPTIMAL,69,0.0374571,22.3271,22.3646,115.03125
c21_1_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000601646,0.00211851,0.00272015,45.58984
c21_1_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000370946,0.00209173,0.00246268,45.95312
c21_2_d1.col,21,105,11,462,2121,OPTIMAL,9,0.0008216,0.00386734,0.00468894,45.33984
c21_2_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000836949,0.00452281,0.00535976,45.33594
c21_3_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000571175,0.00232956,0.00290074,44.96094
c21_3_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000578784,0.00294679,0.00352558,45.33984
c21_4_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000539716,0.00327519,0.00381491,45.40234
c21_4_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000915162,0.00345152,0.00436668,45.33594
c21_5_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000576108,0.00292526,0.00350137,45.89062
c21_5_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000582415,0.00290982,0.00349223,45.82812
c21_6_d1.col,21,105,11,462,2121,OPTIMAL,9,0.00080689,0.00456015,0.00536704,45.39844
c21_6_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000569298,0.00315547,0.00372476,45.82812
c21_7_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000606884,0.00292696,0.00353384,45.33203
c21_7_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000582968,0.00297708,0.00356005,44.40234
c21_8_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000823419,0.00298706,0.00381048,45.33984
c21_8_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000802523,0.00400206,0.00480458,45.33984
c55_1_d1.col,55,362,8,880,4711,OPTIMAL,7,0.00171088,0.00776546,0.00947634,45.33984
c55_2_d2.col,55,362,8,880,4711,OPTIMAL,7,0.00168433,0.00793082,0.00961515,45.40625
