name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62009,OPTIMAL,50,0.02056,0.382852,0.403412,67.58594
GEOM100a.col,100,992,91,18200,129173,OPTIMAL,66,0.0366681,128.16,128.197,128.25
GEOM100b.col,100,1050,121,24200,180451,OPTIMAL,71,0.0527519,63.1468,63.1995,117.61328
GEOM110.col,110,638,64,14080,70533,OPTIMAL,50,0.031488,0.431237,0.462725,69.15625
GEOM110a.col,110,1207,109,23980,183924,OPTIMAL,69,0.052286,309.886,309.939,204.97656
GEOM110b.col,110,1256,121,26620,210057,OPTIMAL,77,0.0694733,393.506,393.575,161.22656
GEOM120.col,120,773,73,17520,93150,OPTIMAL,59,0.0473666,1.53329,1.58066,78.01172
GEOM120a.col,120,1434,109,26160,211867,OPTIMAL,82,0.0641198,158.704,158.768,145.35156
GEOM120b.col,120,1491,123,29520,247234,OPTIMAL,83,0.0752733,2905.8,2905.87,278.54297
GEOM20.col,20,20,24,960,2461,OPTIMAL,21,0.00101937,0.00109871,0.00211809,45.41406
GEOM20a.col,20,37,24,960,2889,OPTIMAL,20,0.00115148,0.00137904,0.00253051,45.90234
GEOM20b.col,20,32,16,640,1853,OPTIMAL,13,0.000730094,0.000539104,0.0012692,45.83594
GEOM30.col,30,50,33,1980,5761,OPTIMAL,28,0.00232572,0.0044738,0.00679952,45.89844
GEOM30a.col,30,81,32,1920,6583,OPTIMAL,27,0.00247803,0.00480313,0.00728117,45.35156
GEOM30b.col,30,81,27,1620,5458,OPTIMAL,26,0.00223461,0.00162334,0.00385795,45.41406
GEOM40.col,40,78,33,2640,8055,OPTIMAL,28,0.00340276,0.00496615,0.00836892,45.41016
GEOM40a.col,40,146,50,4000,15821,OPTIMAL,37,0.00431777,0.0263746,0.0306923,45.47656
GEOM40b.col,40,157,40,3200,12961,OPTIMAL,33,0.00387493,0.0100419,0.0139169,45.90234
GEOM50.col,50,127,36,3600,12173,OPTIMAL,28,0.00576288,0.00637581,0.0121387,45.53906
GEOM50a.col,50,238,61,6100,27269,OPTIMAL,50,0.00761537,0.315551,0.323167,59.41016
GEOM50b.col,50,249,54,5400,25197,OPTIMAL,35,0.00983708,0.0626141,0.0724511,45.35156
GEOM60.col,60,185,36,4320,15481,OPTIMAL,33,0.00445386,0.00474616,0.00920002,45.34766
GEOM60a.col,60,339,61,7320,35980,OPTIMAL,50,0.0124666,0.305799,0.318266,62.05469
GEOM60b.col,60,366,63,7560,39499,OPTIMAL,41,0.0121433,0.901007,0.913151,61.58203
GEOM70.col,70,267,44,6160,24489,OPTIMAL,38,0.0103102,0.0201262,0.0304365,45.41406
GEOM70a.col,70,459,72,10080,53979,OPTIMAL,61,0.0169894,1.73619,1.75318,66.91016
GEOM70b.col,70,488,76,10640,60399,OPTIMAL,47,0.0184563,1.48059,1.49904,66.42188
GEOM80.col,80,349,54,8640,37167,OPTIMAL,41,0.0117815,0.0581941,0.0699757,45.96484
GEOM80a.col,80,612,79,12640,74909,OPTIMAL,63,0.0270011,3.40175,3.42875,93.8125
GEOM80b.col,80,663,98,15680,99375,OPTIMAL,60,0.0284227,4.90532,4.93374,96.84375
GEOM90.col,90,441,54,9720,43975,OPTIMAL,46,0.0150402,0.108231,0.123271,61.69141
GEOM90a.col,90,789,80,14400,93451,OPTIMAL,63,0.0273425,7.03409,7.06144,94.46484
GEOM90b.col,90,860,109,19620,136581,OPTIMAL,69,0.0404072,37.1419,37.1824,107.57812
c21_1_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000362723,0.00169305,0.00205577,45.53906
c21_1_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000562992,0.00257765,0.00314064,45.96484
c21_2_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000777772,0.00207121,0.00284898,45.90234
c21_2_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000852205,0.00254632,0.00339853,46.02344
c21_3_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000535474,0.00252307,0.00305855,45.41016
c21_3_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000364785,0.00185322,0.00221801,45.83984
c21_4_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000949652,0.00164394,0.00259359,45.66406
c21_4_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000517091,0.00152861,0.0020457,45.34766
c21_5_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000369803,0.00169455,0.00206435,46.02734
c21_5_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000564092,0.00255864,0.00312273,46.15234
c21_6_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000526646,0.00180967,0.00233631,45.41016
c21_6_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000670339,0.00249214,0.00316248,45.83984
c21_7_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000540415,0.00272894,0.00326935,45.58203
c21_7_d2.col,21,105,8,336,1534,OPTIMAL,7,0.00054778,0.00265567,0.00320345,45.41406
c21_8_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000574493,0.00154038,0.00211487,45.77734
c21_8_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000993497,0.00265418,0.00364768,45.96484
c55_1_d1.col,55,362,8,880,4712,OPTIMAL,7,0.00096061,0.00260175,0.00356236,45.47656
c55_2_d2.col,55,362,8,880,4712,OPTIMAL,7,0.00152764,0.00306281,0.00459045,45.66406
