name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,9800,46303,OPTIMAL,50,0.618887,0.457467,1.07635,68.00391
GEOM100a.col,100,992,91,13000,90380,OPTIMAL,66,2.24464,115.597,117.841,126.80469
GEOM100b.col,100,1050,121,14000,101400,OPTIMAL,71,5.58935,49.1115,54.7008,117.5
GEOM110.col,110,638,64,10780,52712,OPTIMAL,50,0.732546,0.467245,1.19979,69.92969
GEOM110a.col,110,1207,109,14960,111886,OPTIMAL,69,4.75983,97.5099,102.27,138.63672
GEOM110b.col,110,1256,121,16720,128786,OPTIMAL,77,6.00088,220.492,226.493,148.02734
GEOM120.col,120,773,73,13920,72554,OPTIMAL,59,1.00941,1.95879,2.9682,76.1875
GEOM120a.col,120,1434,109,19440,154914,OPTIMAL,82,4.16888,141.667,145.836,130.1875
GEOM120b.col,120,1491,123,19680,161502,OPTIMAL,83,6.79054,2461.4,2468.19,245.96484
GEOM20.col,20,20,24,800,1980,OPTIMAL,21,0.00682332,0.000980733,0.00780406,45.42578
GEOM20a.col,20,37,24,760,2203,OPTIMAL,20,0.00969569,0.00171577,0.0114115,45.97656
GEOM20b.col,20,32,16,480,1324,OPTIMAL,13,0.00592542,0.000724321,0.00664975,45.35938
GEOM30.col,30,50,33,1620,4560,OPTIMAL,28,0.0251341,0.00349862,0.0286327,45.54688
GEOM30a.col,30,81,32,1560,5196,OPTIMAL,27,0.0273219,0.00373782,0.0310597,45.36328
GEOM30b.col,30,81,27,1500,4995,OPTIMAL,26,0.0105526,0.000949322,0.0115019,45.42578
GEOM40.col,40,78,33,2160,6386,OPTIMAL,28,0.0355158,0.00435328,0.039869,45.54688
GEOM40a.col,40,146,50,2880,10976,OPTIMAL,37,0.13125,0.0451791,0.17643,55.33984
GEOM40b.col,40,157,40,2560,10104,OPTIMAL,33,0.0750337,0.0141879,0.0892216,45.36328
GEOM50.col,50,127,36,2700,8779,OPTIMAL,28,0.0677145,0.00647376,0.0741883,45.42578
GEOM50a.col,50,238,61,4900,21412,OPTIMAL,50,0.216609,0.256982,0.473591,59.62109
GEOM50b.col,50,249,54,3400,15216,OPTIMAL,35,0.285475,0.117699,0.403174,57.14844
GEOM60.col,60,185,36,3840,13540,OPTIMAL,33,0.0494684,0.00659977,0.0560682,45.54688
GEOM60a.col,60,339,61,5880,28311,OPTIMAL,50,0.294829,0.330551,0.62538,62.05469
GEOM60b.col,60,366,63,4800,24180,OPTIMAL,41,0.534576,0.661676,1.19625,61.27344
GEOM70.col,70,267,44,5180,20169,OPTIMAL,38,0.122147,0.0266294,0.148776,57.25781
GEOM70a.col,70,459,72,8400,44270,OPTIMAL,61,0.477836,2.38124,2.85907,67.78516
GEOM70b.col,70,488,76,6440,35258,OPTIMAL,47,1.03679,1.83338,2.87017,66.05469
GEOM80.col,80,349,54,6400,26680,OPTIMAL,41,0.346505,0.0583785,0.404883,60.75
GEOM80a.col,80,612,79,9920,57704,OPTIMAL,63,0.878922,5.65248,6.5314,103.44531
GEOM80b.col,80,663,98,9440,57917,OPTIMAL,60,2.35039,3.91115,6.26154,103.25391
GEOM90.col,90,441,54,8100,35955,OPTIMAL,46,0.292191,0.0901001,0.382291,62.46484
GEOM90a.col,90,789,80,11160,71148,OPTIMAL,63,1.20338,5.52908,6.73246,107.63281
GEOM90b.col,90,860,109,12240,82870,OPTIMAL,69,3.49726,40.7115,44.2087,118.65234
c21_1_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00343382,0.00280608,0.0062399,45.85156
c21_1_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00236226,0.00190623,0.00426849,45.91406
c21_2_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00614417,0.00335885,0.00950302,46.22656
c21_2_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00565735,0.00336943,0.00902678,45.54688
c21_3_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00231306,0.00203271,0.00434577,45.60938
c21_3_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00341602,0.0029823,0.00639832,45.42578
c21_4_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00475377,0.00289601,0.00764978,45.36328
c21_4_d2.col,21,105,11,336,1491,OPTIMAL,9,0.0060822,0.00433835,0.0104206,45.35938
c21_5_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00335561,0.00253333,0.00588893,45.55078
c21_5_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00332539,0.00304637,0.00637176,45.85156
c21_6_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00520277,0.00329868,0.00850144,45.35938
c21_6_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00606201,0.00360733,0.00966934,45.91406
c21_7_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00338547,0.00259796,0.00598344,45.71875
c21_7_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00328988,0.00212766,0.00541755,45.85156
c21_8_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00439472,0.0029389,0.00733361,45.91406
c21_8_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00574803,0.00321193,0.00895996,45.97656
c55_1_d1.col,55,362,8,660,3437,OPTIMAL,7,0.0107243,0.00407088,0.0147951,45.48828
c55_2_d2.col,55,362,8,660,3437,OPTIMAL,7,0.00968984,0.00346913,0.013159,45.36328
