name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,9800,46303,OPTIMAL,50,0.141983,0.978752,1.12073,67.79688
GEOM100a.col,100,992,91,13000,90380,OPTIMAL,66,0.479658,132.84,133.32,102.23438
GEOM100b.col,100,1050,121,14000,101400,OPTIMAL,71,1.19215,73.3418,74.534,96.08203
GEOM110.col,110,638,64,10780,52712,OPTIMAL,50,0.164926,1.00752,1.17245,68.97266
GEOM110a.col,110,1207,109,14960,111886,OPTIMAL,69,1.04373,127.589,128.632,107.46875
GEOM110b.col,110,1256,121,16720,128786,OPTIMAL,77,1.30359,239.655,240.958,150.77344
GEOM120.col,120,773,73,13920,72554,OPTIMAL,59,0.224438,2.34269,2.56712,73.35938
GEOM120a.col,120,1434,109,19440,154914,OPTIMAL,82,0.895119,140.985,141.88,118.05078
GEOM120b.col,120,1491,123,19680,161502,OPTIMAL,83,1.43012,3447.21,3448.64,204.71484
GEOM20.col,20,20,24,800,1980,OPTIMAL,21,0.00136395,0.0163739,0.0177378,45.44531
GEOM20a.col,20,37,24,760,2203,OPTIMAL,20,0.0018762,0.0198643,0.0217405,45.38281
GEOM20b.col,20,32,16,480,1324,OPTIMAL,13,0.00147289,0.0150128,0.0164857,45.4375
GEOM30.col,30,50,33,1620,4560,OPTIMAL,28,0.00496106,0.0300595,0.0350206,45.375
GEOM30a.col,30,81,32,1560,5196,OPTIMAL,27,0.00546823,0.0314474,0.0369157,45.87109
GEOM30b.col,30,81,27,1500,4995,OPTIMAL,26,0.00228062,0.0448042,0.0470848,45.38281
GEOM40.col,40,78,33,2160,6386,OPTIMAL,28,0.007752,0.0335614,0.0413134,45.375
GEOM40a.col,40,146,50,2880,10976,OPTIMAL,37,0.0311207,0.140503,0.171624,52.84375
GEOM40b.col,40,157,40,2560,10104,OPTIMAL,33,0.0135665,0.0666838,0.0802503,45.57031
GEOM50.col,50,127,36,2700,8779,OPTIMAL,28,0.014962,0.0557934,0.0707555,45.44141
GEOM50a.col,50,238,61,4900,21412,OPTIMAL,50,0.0502709,0.511306,0.561577,63.41406
GEOM50b.col,50,249,54,3400,15216,OPTIMAL,35,0.0626276,0.283795,0.346423,62.125
GEOM60.col,60,185,36,3840,13540,OPTIMAL,33,0.0110531,0.0367138,0.0477669,44.5625
GEOM60a.col,60,339,61,5880,28311,OPTIMAL,50,0.0661683,0.590232,0.6564,64.71875
GEOM60b.col,60,366,63,4800,24180,OPTIMAL,41,0.116023,0.930047,1.04607,64.75391
GEOM70.col,70,267,44,5180,20169,OPTIMAL,38,0.0293836,0.0862255,0.115609,61.91016
GEOM70a.col,70,459,72,8400,44270,OPTIMAL,61,0.106451,3.09257,3.19902,68.75391
GEOM70b.col,70,488,76,6440,35258,OPTIMAL,47,0.228273,2.33901,2.56728,67.88281
GEOM80.col,80,349,54,6400,26680,OPTIMAL,41,0.0819264,0.239763,0.321689,63.55078
GEOM80a.col,80,612,79,9920,57704,OPTIMAL,63,0.196531,5.86655,6.06308,72.98438
GEOM80b.col,80,663,98,9440,57917,OPTIMAL,60,0.494774,5.77624,6.27101,74.58984
GEOM90.col,90,441,54,8100,35955,OPTIMAL,46,0.0645052,0.247711,0.312216,64.65234
GEOM90a.col,90,789,80,11160,71148,OPTIMAL,63,0.2583,7.38589,7.64419,75.32031
GEOM90b.col,90,860,109,12240,82870,OPTIMAL,69,0.744325,26.3913,27.1356,90.63281
c21_1_d1.col,21,105,8,252,1113,OPTIMAL,7,0.000741767,0.0105446,0.0112864,45.92969
c21_1_d2.col,21,105,8,252,1113,OPTIMAL,7,0.000653072,0.0105008,0.0111539,45.44531
c21_2_d1.col,21,105,11,336,1491,OPTIMAL,9,0.0013793,0.014967,0.0163463,45.44531
c21_2_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00131423,0.0139094,0.0152236,45.3125
c21_3_d1.col,21,105,8,252,1113,OPTIMAL,7,0.000599522,0.0109605,0.01156,45.375
c21_3_d2.col,21,105,8,252,1113,OPTIMAL,7,0.000660563,0.0112639,0.0119244,45.80859
c21_4_d1.col,21,105,11,336,1491,OPTIMAL,9,0.000838772,0.0143853,0.015224,45.44531
c21_4_d2.col,21,105,11,336,1491,OPTIMAL,9,0.000831826,0.0150816,0.0159135,45.1875
c21_5_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00069696,0.0107788,0.0114757,45.74219
c21_5_d2.col,21,105,8,252,1113,OPTIMAL,7,0.000720889,0.0113972,0.0121181,45.44531
c21_6_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00134818,0.0147616,0.0161098,45.375
c21_6_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00125107,0.0146979,0.015949,45.63281
c21_7_d1.col,21,105,8,252,1113,OPTIMAL,7,0.000671693,0.0110958,0.0117675,45.4375
c21_7_d2.col,21,105,8,252,1113,OPTIMAL,7,0.000681065,0.0112689,0.01195,45.38281
c21_8_d1.col,21,105,11,336,1491,OPTIMAL,9,0.000963494,0.0153537,0.0163172,46.05859
c21_8_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00136299,0.0143853,0.0157483,45.80859
c55_1_d1.col,55,362,8,660,3437,OPTIMAL,7,0.00241096,0.0139037,0.0163147,45.50781
c55_2_d2.col,55,362,8,660,3437,OPTIMAL,7,0.00249149,0.0138285,0.01632,45.63281
