name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,9800,46303,OPTIMAL,50,0.606521,0.48772,1.09424,67.79297
GEOM100a.col,100,992,91,13000,90380,OPTIMAL,66,2.19936,106.13,108.329,118.09375
GEOM100b.col,100,1050,121,14000,101400,OPTIMAL,71,5.37742,84.5688,89.9463,120.78906
GEOM110.col,110,638,64,10780,52712,OPTIMAL,50,0.694895,0.438855,1.13375,69.68359
GEOM110a.col,110,1207,109,14960,111886,OPTIMAL,69,4.58007,284.769,289.349,145.75391
GEOM110b.col,110,1256,121,16720,128786,OPTIMAL,77,5.71446,202.578,208.292,143.62109
GEOM120.col,120,773,73,13920,72554,OPTIMAL,59,0.978404,1.82324,2.80164,75.50781
GEOM120a.col,120,1434,109,19440,154914,OPTIMAL,82,3.95135,108.351,112.302,135.29688
GEOM120b.col,120,1491,123,19680,161502,OPTIMAL,83,6.4114,2255.28,2261.69,239.67578
GEOM20.col,20,20,24,800,1980,OPTIMAL,21,0.0102127,0.0015826,0.0117953,45.4375
GEOM20a.col,20,37,24,760,2203,OPTIMAL,20,0.0107365,0.00161982,0.0123564,45.92578
GEOM20b.col,20,32,16,480,1324,OPTIMAL,13,0.00507478,0.000852696,0.00592748,45.49219
GEOM30.col,30,50,33,1620,4560,OPTIMAL,28,0.0268787,0.0035587,0.0304374,45.98047
GEOM30a.col,30,81,32,1560,5196,OPTIMAL,27,0.0262279,0.00363914,0.029867,45.92578
GEOM30b.col,30,81,27,1500,4995,OPTIMAL,26,0.0103907,0.00113722,0.0115279,45.375
GEOM40.col,40,78,33,2160,6386,OPTIMAL,28,0.0326315,0.00344137,0.0360728,45.42969
GEOM40a.col,40,146,50,2880,10976,OPTIMAL,37,0.131289,0.045389,0.176678,55.33203
GEOM40b.col,40,157,40,2560,10104,OPTIMAL,33,0.0675584,0.0133242,0.0808826,45.5
GEOM50.col,50,127,36,2700,8779,OPTIMAL,28,0.0702974,0.00661086,0.0769083,46.05078
GEOM50a.col,50,238,61,4900,21412,OPTIMAL,50,0.218236,0.264272,0.482508,59.01953
GEOM50b.col,50,249,54,3400,15216,OPTIMAL,35,0.278613,0.0968933,0.375507,56.96875
GEOM60.col,60,185,36,3840,13540,OPTIMAL,33,0.0514614,0.00657143,0.0580328,45.42969
GEOM60a.col,60,339,61,5880,28311,OPTIMAL,50,0.286589,0.319519,0.606108,60.82812
GEOM60b.col,60,366,63,4800,24180,OPTIMAL,41,0.504852,1.30456,1.80941,61.24609
GEOM70.col,70,267,44,5180,20169,OPTIMAL,38,0.121429,0.0264374,0.147866,57.25781
GEOM70a.col,70,459,72,8400,44270,OPTIMAL,61,0.451249,2.61541,3.06666,67.63281
GEOM70b.col,70,488,76,6440,35258,OPTIMAL,47,1.00404,2.12622,3.13026,65.59375
GEOM80.col,80,349,54,6400,26680,OPTIMAL,41,0.327454,0.0582586,0.385713,59.85547
GEOM80a.col,80,612,79,9920,57704,OPTIMAL,63,0.845258,4.12839,4.97365,95.30469
GEOM80b.col,80,663,98,9440,57917,OPTIMAL,60,2.2238,4.43528,6.65908,105.67188
GEOM90.col,90,441,54,8100,35955,OPTIMAL,46,0.28109,0.0855402,0.36663,61.21875
GEOM90a.col,90,789,80,11160,71148,OPTIMAL,63,1.12059,6.04656,7.16715,103.90625
GEOM90b.col,90,860,109,12240,82870,OPTIMAL,69,3.44237,23.3525,26.7948,113.76953
c21_1_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00284779,0.00396352,0.00681131,45.37109
c21_1_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00215678,0.00363849,0.00579527,45.5
c21_2_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00554965,0.00510864,0.0106583,45.4375
c21_2_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00424229,0.0035009,0.00774319,45.91797
c21_3_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00232113,0.00350884,0.00582997,45.55469
c21_3_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00240784,0.00343532,0.00584315,45.98828
c21_4_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00461676,0.00375051,0.00836727,45.5625
c21_4_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00454937,0.00384783,0.00839719,45.85547
c21_5_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00286151,0.00500822,0.00786973,46.05078
c21_5_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00281794,0.00493462,0.00775255,45.375
c21_6_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00544656,0.00496394,0.0104105,45.36719
c21_6_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00558848,0.00429392,0.0098824,45.98828
c21_7_d1.col,21,105,8,252,1113,OPTIMAL,7,0.0028105,0.00501324,0.00782375,45.91406
c21_7_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00278887,0.00497516,0.00776403,45.375
c21_8_d1.col,21,105,11,336,1491,OPTIMAL,9,0.0042493,0.00361483,0.00786413,45.80078
c21_8_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00418884,0.00352533,0.00771418,45.375
c55_1_d1.col,55,362,8,660,3437,OPTIMAL,7,0.00625126,0.00312351,0.00937477,45.4375
c55_2_d2.col,55,362,8,660,3437,OPTIMAL,7,0.00695372,0.00315006,0.0101038,45.4375
