name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,9800,46304,OPTIMAL,50,0.610238,0.593009,1.20325,67.25391
GEOM100a.col,100,992,91,13000,90381,OPTIMAL,66,2.19837,124.404,126.603,122.03516
GEOM100b.col,100,1050,121,14000,101401,OPTIMAL,71,5.35141,77.2646,82.616,118.80078
GEOM110.col,110,638,64,10780,52713,OPTIMAL,50,0.690903,0.575397,1.2663,70.55859
GEOM110a.col,110,1207,109,14960,111887,OPTIMAL,69,4.5397,219.105,223.644,154.45312
GEOM110b.col,110,1256,121,16720,128787,OPTIMAL,77,5.71511,151.227,156.942,141.74219
GEOM120.col,120,773,73,13920,72555,OPTIMAL,59,0.997946,1.92736,2.9253,77.10938
GEOM120a.col,120,1434,109,19440,154915,OPTIMAL,82,3.94995,101.867,105.817,127.75781
GEOM120b.col,120,1491,123,19680,161503,OPTIMAL,83,6.4862,1952.47,1958.95,219.93359
GEOM20.col,20,20,24,800,1981,OPTIMAL,21,0.00749507,0.00122878,0.00872385,45.85156
GEOM20a.col,20,37,24,760,2204,OPTIMAL,20,0.0116254,0.00145544,0.0130809,45.78906
GEOM20b.col,20,32,16,480,1325,OPTIMAL,13,0.00683985,0.000848236,0.00768809,45.42188
GEOM30.col,30,50,33,1620,4561,OPTIMAL,28,0.0268269,0.00363416,0.030461,45.42188
GEOM30a.col,30,81,32,1560,5197,OPTIMAL,27,0.0262647,0.00325238,0.0295171,45.36328
GEOM30b.col,30,81,27,1500,4996,OPTIMAL,26,0.0107295,0.00101606,0.0117456,45.30078
GEOM40.col,40,78,33,2160,6387,OPTIMAL,28,0.0346879,0.00412834,0.0388162,45.35938
GEOM40a.col,40,146,50,2880,10977,OPTIMAL,37,0.127544,0.0446904,0.172234,55.41406
GEOM40b.col,40,157,40,2560,10105,OPTIMAL,33,0.0701566,0.0150237,0.0851804,45.36328
GEOM50.col,50,127,36,2700,8780,OPTIMAL,28,0.0670853,0.00623456,0.0733199,45.30078
GEOM50a.col,50,238,61,4900,21413,OPTIMAL,50,0.214671,0.266175,0.480846,59.38281
GEOM50b.col,50,249,54,3400,15217,OPTIMAL,35,0.275087,0.0812417,0.356329,57.89844
GEOM60.col,60,185,36,3840,13541,OPTIMAL,33,0.0516984,0.00600078,0.0576992,45.35938
GEOM60a.col,60,339,61,5880,28312,OPTIMAL,50,0.280308,0.316522,0.59683,59.93359
GEOM60b.col,60,366,63,4800,24181,OPTIMAL,41,0.505428,0.752266,1.25769,61.17578
GEOM70.col,70,267,44,5180,20170,OPTIMAL,38,0.124757,0.0291872,0.153944,57.5
GEOM70a.col,70,459,72,8400,44271,OPTIMAL,61,0.469173,1.31002,1.7792,68.92969
GEOM70b.col,70,488,76,6440,35259,OPTIMAL,47,1.01953,2.30545,3.32497,65.98438
GEOM80.col,80,349,54,6400,26681,OPTIMAL,41,0.326601,0.0486107,0.375212,58.30078
GEOM80a.col,80,612,79,9920,57705,OPTIMAL,63,0.84506,2.79343,3.63849,99.94531
GEOM80b.col,80,663,98,9440,57918,OPTIMAL,60,2.20466,5.15296,7.35761,99.86719
GEOM90.col,90,441,54,8100,35956,OPTIMAL,46,0.283039,0.0887096,0.371748,61.26953
GEOM90a.col,90,789,80,11160,71149,OPTIMAL,63,1.10747,6.48341,7.59088,103.92969
GEOM90b.col,90,860,109,12240,82871,OPTIMAL,69,3.34834,37.4623,40.8106,107.08203
c21_1_d1.col,21,105,8,252,1114,OPTIMAL,7,0.00275816,0.00118797,0.00394613,45.36328
c21_1_d2.col,21,105,8,252,1114,OPTIMAL,7,0.002769,0.0017031,0.0044721,45.72656
c21_2_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00476153,0.00264655,0.00740809,45.36328
c21_2_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00552518,0.00329251,0.0088177,45.35938
c21_3_d1.col,21,105,8,252,1114,OPTIMAL,7,0.0021917,0.00136044,0.00355213,45.42188
c21_3_d2.col,21,105,8,252,1114,OPTIMAL,7,0.00245046,0.00138614,0.00383659,45.36328
c21_4_d1.col,21,105,11,336,1492,OPTIMAL,9,0.0037543,0.00223224,0.00598654,45.30078
c21_4_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00475396,0.00262067,0.00737463,45.42188
c21_5_d1.col,21,105,8,252,1114,OPTIMAL,7,0.00286741,0.00164765,0.00451506,45.85156
c21_5_d2.col,21,105,8,252,1114,OPTIMAL,7,0.00261592,0.00125478,0.0038707,45.17578
c21_6_d1.col,21,105,11,336,1492,OPTIMAL,9,0.0054721,0.00312254,0.00859463,45.42188
c21_6_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00453313,0.00239349,0.00692662,45.36328
c21_7_d1.col,21,105,8,252,1114,OPTIMAL,7,0.0028541,0.00170279,0.00455689,45.66797
c21_7_d2.col,21,105,8,252,1114,OPTIMAL,7,0.00200055,0.00155608,0.00355663,45.42578
c21_8_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00392258,0.00247416,0.00639674,45.55078
c21_8_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00432383,0.00229508,0.00661891,45.36328
c55_1_d1.col,55,362,8,660,3438,OPTIMAL,7,0.00877678,0.00529433,0.0140711,45.11328
c55_2_d2.col,55,362,8,660,3438,OPTIMAL,7,0.00875388,0.0053787,0.0141326,45.61328
