name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62008,OPTIMAL,50,0.0162408,0.3513,0.36754,67.42188
GEOM100a.col,100,992,91,18200,129172,OPTIMAL,66,0.037104,225.587,225.624,149.23438
GEOM100b.col,100,1050,121,24200,180450,OPTIMAL,71,0.0520747,86.019,86.0711,124.87109
GEOM110.col,110,638,64,14080,70532,OPTIMAL,50,0.0194585,0.403862,0.42332,69.39453
GEOM110a.col,110,1207,109,23980,183923,OPTIMAL,69,0.0508662,47.6473,47.6982,120.77344
GEOM110b.col,110,1256,121,26620,210056,OPTIMAL,77,0.0579826,265.965,266.023,157.06641
GEOM120.col,120,773,73,17520,93149,OPTIMAL,59,0.0343802,1.40377,1.43815,76.26172
GEOM120a.col,120,1434,109,26160,211866,OPTIMAL,82,0.0597818,159.559,159.618,135.52344
GEOM120b.col,120,1491,123,29520,247233,OPTIMAL,83,0.0718096,2986.02,2986.09,277.99609
GEOM20.col,20,20,24,960,2460,OPTIMAL,21,0.00111116,0.00108403,0.0021952,45.40234
GEOM20a.col,20,37,24,960,2888,OPTIMAL,20,0.00108545,0.0014226,0.00250805,45.27734
GEOM20b.col,20,32,16,640,1852,OPTIMAL,13,0.000472152,0.000372415,0.000844567,45.32031
GEOM30.col,30,50,33,1980,5760,OPTIMAL,28,0.00174775,0.00303606,0.00478381,45.32031
GEOM30a.col,30,81,32,1920,6582,OPTIMAL,27,0.00238585,0.00368736,0.00607321,45.95312
GEOM30b.col,30,81,27,1620,5457,OPTIMAL,26,0.00201167,0.00107678,0.00308844,45.21484
GEOM40.col,40,78,33,2640,8054,OPTIMAL,28,0.00232703,0.00391644,0.00624347,45.80859
GEOM40a.col,40,146,50,4000,15820,OPTIMAL,37,0.00622139,0.0308003,0.0370217,45.33984
GEOM40b.col,40,157,40,3200,12960,OPTIMAL,33,0.0049469,0.0156522,0.0205991,45.33984
GEOM50.col,50,127,36,3600,12172,OPTIMAL,28,0.00375976,0.00435672,0.00811647,45.39844
GEOM50a.col,50,238,61,6100,27268,OPTIMAL,50,0.00735056,0.269728,0.277079,59.29297
GEOM50b.col,50,249,54,5400,25196,OPTIMAL,35,0.00690186,0.171334,0.178235,57.57031
GEOM60.col,60,185,36,4320,15480,OPTIMAL,33,0.00415745,0.00553479,0.00969224,45.32031
GEOM60a.col,60,339,61,7320,35979,OPTIMAL,50,0.011163,0.336495,0.347658,61.27734
GEOM60b.col,60,366,63,7560,39498,OPTIMAL,41,0.0100075,0.5495,0.559508,61.37109
GEOM70.col,70,267,44,6160,24488,OPTIMAL,38,0.00699655,0.0252168,0.0322133,45.95312
GEOM70a.col,70,459,72,10080,53978,OPTIMAL,61,0.0143893,2.19032,2.20471,66.41406
GEOM70b.col,70,488,76,10640,60398,OPTIMAL,47,0.0162411,1.63415,1.65039,65.39062
GEOM80.col,80,349,54,8640,37166,OPTIMAL,41,0.00977598,0.0503709,0.0601469,45.14844
GEOM80a.col,80,612,79,12640,74908,OPTIMAL,63,0.0208592,4.60025,4.62111,91.91797
GEOM80b.col,80,663,98,15680,99374,OPTIMAL,60,0.0263946,3.55963,3.58602,91.60938
GEOM90.col,90,441,54,9720,43974,OPTIMAL,46,0.0119711,0.13936,0.151331,62.33203
GEOM90a.col,90,789,80,14400,93450,OPTIMAL,63,0.0235684,4.99629,5.01986,97.96094
GEOM90b.col,90,860,109,19620,136580,OPTIMAL,69,0.0381168,15.1513,15.1894,107.16797
c21_1_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000522227,0.00376625,0.00428847,45.33594
c21_1_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000528486,0.00378065,0.00430913,45.82812
c21_2_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000764789,0.00442665,0.00519144,45.33984
c21_2_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000771452,0.00543191,0.00620336,45.99609
c21_3_d1.col,21,105,8,336,1533,OPTIMAL,7,0.00052633,0.00379157,0.0043179,45.32031
c21_3_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000639335,0.00348721,0.00412654,45.33984
c21_4_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000773934,0.00414984,0.00492378,45.40234
c21_4_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000864299,0.00388147,0.00474577,45.93359
c21_5_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000552104,0.00497293,0.00552504,45.88672
c21_5_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000521215,0.00370443,0.00422564,45.76562
c21_6_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000929061,0.00387099,0.00480005,45.32031
c21_6_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000766708,0.00412949,0.0048962,45.82422
c21_7_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000517329,0.00505828,0.00557561,45.79688
c21_7_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000536327,0.00370711,0.00424344,45.40234
c21_8_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000781602,0.00404425,0.00482586,45.40234
c21_8_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000536446,0.00375463,0.00429108,45.40234
c55_1_d1.col,55,362,8,880,4711,OPTIMAL,7,0.00142693,0.00468784,0.00611477,45.33594
c55_2_d2.col,55,362,8,880,4711,OPTIMAL,7,0.00130631,0.00328276,0.00458907,45.40234
