name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62008,OPTIMAL,50,0.0203351,0.354976,0.375311,67.65234
GEOM100a.col,100,992,91,18200,129172,OPTIMAL,66,0.0393718,125.215,125.255,131.875
GEOM100b.col,100,1050,121,24200,180450,OPTIMAL,71,0.0532841,69.6349,69.6882,118.32031
GEOM110.col,110,638,64,14080,70532,OPTIMAL,50,0.0224494,0.428259,0.450708,68.69531
GEOM110a.col,110,1207,109,23980,183923,OPTIMAL,69,0.0680257,97.5775,97.6455,136.63672
GEOM110b.col,110,1256,121,26620,210056,OPTIMAL,77,0.069306,301.498,301.567,148.86328
GEOM120.col,120,773,73,17520,93149,OPTIMAL,59,0.0283296,1.60019,1.62852,77.32812
GEOM120a.col,120,1434,109,26160,211866,OPTIMAL,82,0.0662761,171.673,171.739,134.71875
GEOM120b.col,120,1491,123,29520,247233,OPTIMAL,83,0.0777006,2877.64,2877.72,292.35156
GEOM20.col,20,20,24,960,2460,OPTIMAL,21,0.000656013,0.00091923,0.00157524,46.00781
GEOM20a.col,20,37,24,960,2888,OPTIMAL,20,0.00117634,0.00152747,0.00270381,46.00781
GEOM20b.col,20,32,16,640,1852,OPTIMAL,13,0.000777104,0.000533334,0.00131044,45.49609
GEOM30.col,30,50,33,1980,5760,OPTIMAL,28,0.0023357,0.00438757,0.00672326,45.92188
GEOM30a.col,30,81,32,1920,6582,OPTIMAL,27,0.00285467,0.00393955,0.00679422,46.07031
GEOM30b.col,30,81,27,1620,5457,OPTIMAL,26,0.00234258,0.00153842,0.00388101,46.07031
GEOM40.col,40,78,33,2640,8054,OPTIMAL,28,0.00369298,0.00492674,0.00861972,45.98438
GEOM40a.col,40,146,50,4000,15820,OPTIMAL,37,0.00691102,0.0403991,0.0473101,46.00781
GEOM40b.col,40,157,40,3200,12960,OPTIMAL,33,0.00552538,0.0249142,0.0304395,45.88281
GEOM50.col,50,127,36,3600,12172,OPTIMAL,28,0.00520651,0.00648648,0.011693,46.00781
GEOM50a.col,50,238,61,6100,27268,OPTIMAL,50,0.0102819,0.302024,0.312306,58.91406
GEOM50b.col,50,249,54,5400,25196,OPTIMAL,35,0.0110816,0.0894011,0.100483,46.07031
GEOM60.col,60,185,36,4320,15480,OPTIMAL,33,0.00473382,0.00524845,0.00998227,45.43359
GEOM60a.col,60,339,61,7320,35979,OPTIMAL,50,0.01469,0.332361,0.347051,62.10547
GEOM60b.col,60,366,63,7560,39498,OPTIMAL,41,0.0116993,0.803806,0.815505,61.65234
GEOM70.col,70,267,44,6160,24488,OPTIMAL,38,0.0110855,0.0309891,0.0420746,46.19531
GEOM70a.col,70,459,72,10080,53978,OPTIMAL,61,0.0183886,1.91311,1.9315,66.99219
GEOM70b.col,70,488,76,10640,60398,OPTIMAL,47,0.0220793,1.3386,1.36068,66.28906
GEOM80.col,80,349,54,8640,37166,OPTIMAL,41,0.0115864,0.0511604,0.0627468,45.94531
GEOM80a.col,80,612,79,12640,74908,OPTIMAL,63,0.0223861,6.18196,6.20435,94.03125
GEOM80b.col,80,663,98,15680,99374,OPTIMAL,60,0.0319047,4.12219,4.1541,101.80469
GEOM90.col,90,441,54,9720,43974,OPTIMAL,46,0.0126222,0.0968221,0.109444,61.67969
GEOM90a.col,90,789,80,14400,93450,OPTIMAL,63,0.0263,6.05445,6.08075,98.33984
GEOM90b.col,90,860,109,19620,136580,OPTIMAL,69,0.0427468,20.9363,20.979,106.92578
c21_1_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000607966,0.00236046,0.00296843,45.4375
c21_1_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000603086,0.00315279,0.00375588,46.00781
c21_2_d1.col,21,105,11,462,2121,OPTIMAL,9,0.00090556,0.00452543,0.00543099,46.07031
c21_2_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000896651,0.00474452,0.00564117,45.92188
c21_3_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000578779,0.00266184,0.00324062,45.43359
c21_3_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000642319,0.00234633,0.00298865,46.00781
c21_4_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000615785,0.0030971,0.00371288,45.94531
c21_4_d2.col,21,105,11,462,2121,OPTIMAL,9,0.00056707,0.00317559,0.00374266,45.37109
c21_5_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000634515,0.00289459,0.00352911,46.00781
c21_5_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000573836,0.00316793,0.00374177,45.39453
c21_6_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000813516,0.00377859,0.0045921,45.24609
c21_6_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000799208,0.00447433,0.00527354,45.94531
c21_7_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000588101,0.00272026,0.00330836,45.43359
c21_7_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000580847,0.0029165,0.00349735,45.39453
c21_8_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000838116,0.00446525,0.00530337,46.07031
c21_8_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000810683,0.00321944,0.00403012,45.58203
c55_1_d1.col,55,362,8,880,4711,OPTIMAL,7,0.00170282,0.00681282,0.00851563,46.00781
c55_2_d2.col,55,362,8,880,4711,OPTIMAL,7,0.001288,0.00522306,0.00651105,46.25781
