name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62009,OPTIMAL,50,0.0154165,0.357542,0.372958,67.58594
GEOM100a.col,100,992,91,18200,129173,OPTIMAL,66,0.0373077,166.27,166.307,138.33203
GEOM100b.col,100,1050,121,24200,180451,OPTIMAL,71,0.0597686,62.8413,62.9011,121.03516
GEOM110.col,110,638,64,14080,70533,OPTIMAL,50,0.0219666,0.323183,0.34515,69.92969
GEOM110a.col,110,1207,109,23980,183924,OPTIMAL,69,0.0584578,207.217,207.276,200.91406
GEOM110b.col,110,1256,121,26620,210057,OPTIMAL,77,0.0614678,227.788,227.85,136.98047
GEOM120.col,120,773,73,17520,93150,OPTIMAL,59,0.0299741,1.48506,1.51504,77.48438
GEOM120a.col,120,1434,109,26160,211867,OPTIMAL,82,0.0613321,191.407,191.468,142.99219
GEOM120b.col,120,1491,123,29520,247234,OPTIMAL,83,0.0709667,3128.92,3128.99,289.51953
GEOM20.col,20,20,24,960,2461,OPTIMAL,21,0.00103726,0.000983558,0.00202082,45.33984
GEOM20a.col,20,37,24,960,2889,OPTIMAL,20,0.000807698,0.00132167,0.00212936,45.33984
GEOM20b.col,20,32,16,640,1853,OPTIMAL,13,0.000765604,0.000511564,0.00127717,45.64844
GEOM30.col,30,50,33,1980,5761,OPTIMAL,28,0.00231094,0.00465574,0.00696669,45.82422
GEOM30a.col,30,81,32,1920,6583,OPTIMAL,27,0.00246455,0.00475761,0.00722215,45.40234
GEOM30b.col,30,81,27,1620,5458,OPTIMAL,26,0.00226214,0.001536,0.00379814,46.13672
GEOM40.col,40,78,33,2640,8055,OPTIMAL,28,0.00339672,0.00551081,0.00890753,45.27344
GEOM40a.col,40,146,50,4000,15821,OPTIMAL,37,0.00467698,0.0295289,0.0342059,45.33984
GEOM40b.col,40,157,40,3200,12961,OPTIMAL,33,0.00388922,0.0143806,0.0182698,45.82812
GEOM50.col,50,127,36,3600,12173,OPTIMAL,28,0.00370586,0.00478598,0.00849184,45.52734
GEOM50a.col,50,238,61,6100,27269,OPTIMAL,50,0.00894833,0.230802,0.23975,59.37109
GEOM50b.col,50,249,54,5400,25197,OPTIMAL,35,0.00702851,0.0761799,0.0832084,45.33984
GEOM60.col,60,185,36,4320,15481,OPTIMAL,33,0.00651246,0.00800946,0.0145219,45.82422
GEOM60a.col,60,339,61,7320,35980,OPTIMAL,50,0.0145475,0.280793,0.29534,60.27734
GEOM60b.col,60,366,63,7560,39499,OPTIMAL,41,0.0096036,0.449354,0.458958,61.15234
GEOM70.col,70,267,44,6160,24489,OPTIMAL,38,0.0101121,0.0226519,0.032764,46.13672
GEOM70a.col,70,459,72,10080,53979,OPTIMAL,61,0.0152164,1.19777,1.21298,66.05859
GEOM70b.col,70,488,76,10640,60399,OPTIMAL,47,0.0208945,2.02832,2.04921,65.53516
GEOM80.col,80,349,54,8640,37167,OPTIMAL,41,0.0152314,0.0570557,0.0722871,45.82812
GEOM80a.col,80,612,79,12640,74909,OPTIMAL,63,0.032147,2.67711,2.70926,93.77734
GEOM80b.col,80,663,98,15680,99375,OPTIMAL,60,0.027913,3.56878,3.59669,94.46875
GEOM90.col,90,441,54,9720,43975,OPTIMAL,46,0.0127184,0.0814375,0.0941559,48.08594
GEOM90a.col,90,789,80,14400,93451,OPTIMAL,63,0.0337496,5.3616,5.39535,98.71094
GEOM90b.col,90,860,109,19620,136581,OPTIMAL,69,0.0375792,25.5955,25.6331,112.1875
c21_1_d1.col,21,105,8,336,1534,OPTIMAL,7,0.00056483,0.00216603,0.00273086,45.88672
c21_1_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000578222,0.00226345,0.00284167,45.33984
c21_2_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000812774,0.00257649,0.00338926,45.82812
c21_2_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000840717,0.00236064,0.00320136,45.39844
c21_3_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000569825,0.0023019,0.00287172,45.33594
c21_3_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000577015,0.00230471,0.00288172,46.01172
c21_4_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000977939,0.00213712,0.00311506,45.82812
c21_4_d2.col,21,105,11,462,2122,OPTIMAL,9,0.00081958,0.00247671,0.00329629,45.33594
c21_5_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000556157,0.00240568,0.00296184,45.70312
c21_5_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000554962,0.00245459,0.00300955,45.94922
c21_6_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000824046,0.00270944,0.00353348,45.69922
c21_6_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000831438,0.00318503,0.00401647,46.19922
c21_7_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000573939,0.00230202,0.00287596,45.33594
c21_7_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000549831,0.0023566,0.00290643,45.76562
c21_8_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000565755,0.00211418,0.00267993,45.58984
c21_8_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000793772,0.0032636,0.00405738,45.94922
c55_1_d1.col,55,362,8,880,4712,OPTIMAL,7,0.0016312,0.00902959,0.0106608,45.33984
c55_2_d2.col,55,362,8,880,4712,OPTIMAL,7,0.00169621,0.00725266,0.00894887,45.76562
