name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,9800,46303,OPTIMAL,50,0.64393,0.376857,1.02079,66.375
GEOM100a.col,100,992,91,13000,90380,OPTIMAL,66,2.2241,207.697,209.921,131.41016
GEOM100b.col,100,1050,121,14000,101400,OPTIMAL,71,5.48852,55.3966,60.8851,116.25
GEOM110.col,110,638,64,10780,52712,OPTIMAL,50,0.763081,0.643435,1.40652,69.84766
GEOM110a.col,110,1207,109,14960,111886,OPTIMAL,69,4.87742,171.862,176.739,133.10156
GEOM110b.col,110,1256,121,16720,128786,OPTIMAL,77,6.29514,249.248,255.543,139.70703
GEOM120.col,120,773,73,13920,72554,OPTIMAL,59,1.01968,2.09071,3.11039,75.60547
GEOM120a.col,120,1434,109,19440,154914,OPTIMAL,82,4.20699,137.849,142.056,145.91406
GEOM120b.col,120,1491,123,19680,161502,OPTIMAL,83,6.77546,2122.95,2129.73,245.57422
GEOM20.col,20,20,24,800,1980,OPTIMAL,21,0.00721937,0.00121163,0.008431,45.46484
GEOM20a.col,20,37,24,760,2203,OPTIMAL,20,0.00915302,0.00141207,0.0105651,45.875
GEOM20b.col,20,32,16,480,1324,OPTIMAL,13,0.00520122,0.000843521,0.00604475,45.92969
GEOM30.col,30,50,33,1620,4560,OPTIMAL,28,0.0236267,0.00345305,0.0270797,45.92969
GEOM30a.col,30,81,32,1560,5196,OPTIMAL,27,0.027309,0.00403238,0.0313414,45.51172
GEOM30b.col,30,81,27,1500,4995,OPTIMAL,26,0.0101994,0.00131259,0.011512,45.75
GEOM40.col,40,78,33,2160,6386,OPTIMAL,28,0.0332315,0.00379444,0.037026,45.37891
GEOM40a.col,40,146,50,2880,10976,OPTIMAL,37,0.134302,0.0354602,0.169762,55.19141
GEOM40b.col,40,157,40,2560,10104,OPTIMAL,33,0.0692563,0.018981,0.0882373,45.26172
GEOM50.col,50,127,36,2700,8779,OPTIMAL,28,0.0712925,0.00652139,0.0778139,45.38672
GEOM50a.col,50,238,61,4900,21412,OPTIMAL,50,0.231742,0.314493,0.546235,60.03906
GEOM50b.col,50,249,54,3400,15216,OPTIMAL,35,0.292755,0.0998891,0.392644,56.98828
GEOM60.col,60,185,36,3840,13540,OPTIMAL,33,0.0497125,0.00673049,0.056443,45.92969
GEOM60a.col,60,339,61,5880,28311,OPTIMAL,50,0.301802,0.341873,0.643674,62.13672
GEOM60b.col,60,366,63,4800,24180,OPTIMAL,41,0.533148,0.980502,1.51365,61.11328
GEOM70.col,70,267,44,5180,20169,OPTIMAL,38,0.129312,0.0305133,0.159825,56.98438
GEOM70a.col,70,459,72,8400,44270,OPTIMAL,61,0.493714,2.43668,2.93039,67.85938
GEOM70b.col,70,488,76,6440,35258,OPTIMAL,47,1.06064,1.83814,2.89877,65.78906
GEOM80.col,80,349,54,6400,26680,OPTIMAL,41,0.354596,0.0717609,0.426357,59.73828
GEOM80a.col,80,612,79,9920,57704,OPTIMAL,63,0.935478,6.42163,7.35711,103.38281
GEOM80b.col,80,663,98,9440,57917,OPTIMAL,60,2.45613,4.24554,6.70168,102.75
GEOM90.col,90,441,54,8100,35955,OPTIMAL,46,0.299719,0.0842299,0.383949,60.84766
GEOM90a.col,90,789,80,11160,71148,OPTIMAL,63,1.24069,6.6236,7.86429,108.42188
GEOM90b.col,90,860,109,12240,82870,OPTIMAL,69,3.6135,24.5531,28.1666,116.85547
c21_1_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00282575,0.002208,0.00503375,45.44531
c21_1_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00230513,0.00205745,0.00436257,45.9375
c21_2_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00540443,0.00393172,0.00933615,45.875
c21_2_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00603691,0.00540972,0.0114466,45.80469
c21_3_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00263725,0.00211161,0.00474886,45.92969
c21_3_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00230231,0.00229213,0.00459444,45.44922
c21_4_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00476211,0.00385529,0.00861739,45.32422
c21_4_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00478575,0.00365995,0.0084457,45.92969
c21_5_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00328214,0.00298858,0.00627072,45.38672
c21_5_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00331455,0.00292712,0.00624168,45.75
c21_6_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00606972,0.00559341,0.0116631,45.92969
c21_6_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00422571,0.00369839,0.0079241,45.9375
c21_7_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00280038,0.00213306,0.00493343,45.73438
c21_7_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00284187,0.00211424,0.00495611,45.44922
c21_8_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00411423,0.00382168,0.00793591,45.9375
c21_8_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00464642,0.00390864,0.00855506,45.9375
c55_1_d1.col,55,362,8,660,3437,OPTIMAL,7,0.00777387,0.00323235,0.0110062,45.9375
c55_2_d2.col,55,362,8,660,3437,OPTIMAL,7,0.00753932,0.00316896,0.0107083,45.46484
