name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,9800,46303,OPTIMAL,50,0.144953,0.920311,1.06526,67.85156
GEOM100a.col,100,992,91,13000,90380,OPTIMAL,66,0.505776,173.612,174.118,102.19922
GEOM100b.col,100,1050,121,14000,101400,OPTIMAL,71,1.22979,62.138,63.3678,100.32031
GEOM110.col,110,638,64,10780,52712,OPTIMAL,50,0.16827,1.34414,1.51242,69.51953
GEOM110a.col,110,1207,109,14960,111886,OPTIMAL,69,1.06839,152.656,153.724,114.68359
GEOM110b.col,110,1256,121,16720,128786,OPTIMAL,77,1.3319,302.194,303.526,135.64062
GEOM120.col,120,773,73,13920,72554,OPTIMAL,59,0.230855,2.20289,2.43374,73.22266
GEOM120a.col,120,1434,109,19440,154914,OPTIMAL,82,0.922325,160.506,161.428,106.73828
GEOM120b.col,120,1491,123,19680,161502,OPTIMAL,83,1.48629,2904.33,2905.82,215.57812
GEOM20.col,20,20,24,800,1980,OPTIMAL,21,0.00196493,0.0159484,0.0179133,45.46875
GEOM20a.col,20,37,24,760,2203,OPTIMAL,20,0.00232944,0.0211665,0.023496,45.59375
GEOM20b.col,20,32,16,480,1324,OPTIMAL,13,0.00141259,0.014726,0.0161386,45.50781
GEOM30.col,30,50,33,1620,4560,OPTIMAL,28,0.00770342,0.0298124,0.0375158,45.32031
GEOM30a.col,30,81,32,1560,5196,OPTIMAL,27,0.0064961,0.0316005,0.0380966,45.83203
GEOM30b.col,30,81,27,1500,4995,OPTIMAL,26,0.00198246,0.0130457,0.0150281,45.40625
GEOM40.col,40,78,33,2160,6386,OPTIMAL,28,0.00913255,0.0339129,0.0430454,45.63281
GEOM40a.col,40,146,50,2880,10976,OPTIMAL,37,0.0293001,0.150689,0.179989,52.86719
GEOM40b.col,40,157,40,2560,10104,OPTIMAL,33,0.0149671,0.0562146,0.0711817,45.34375
GEOM50.col,50,127,36,2700,8779,OPTIMAL,28,0.0179481,0.0579252,0.0758734,45.76562
GEOM50a.col,50,238,61,4900,21412,OPTIMAL,50,0.0484542,0.650323,0.698777,63.13672
GEOM50b.col,50,249,54,3400,15216,OPTIMAL,35,0.0620117,0.340369,0.40238,61.84766
GEOM60.col,60,185,36,3840,13540,OPTIMAL,33,0.0123655,0.0365493,0.0489147,45.44531
GEOM60a.col,60,339,61,5880,28311,OPTIMAL,50,0.0678802,0.549566,0.617446,64.29688
GEOM60b.col,60,366,63,4800,24180,OPTIMAL,41,0.116597,1.42944,1.54604,65.48828
GEOM70.col,70,267,44,5180,20169,OPTIMAL,38,0.0281565,0.0809349,0.109091,62.00781
GEOM70a.col,70,459,72,8400,44270,OPTIMAL,61,0.101846,2.98384,3.08569,69.03516
GEOM70b.col,70,488,76,6440,35258,OPTIMAL,47,0.22972,3.40879,3.63851,68.13672
GEOM80.col,80,349,54,6400,26680,OPTIMAL,41,0.0799029,0.216969,0.296872,63.10156
GEOM80a.col,80,612,79,9920,57704,OPTIMAL,63,0.190205,5.27894,5.46914,73.73828
GEOM80b.col,80,663,98,9440,57917,OPTIMAL,60,0.509231,6.84621,7.35544,73.96094
GEOM90.col,90,441,54,8100,35955,OPTIMAL,46,0.069022,0.297907,0.366929,64.52344
GEOM90a.col,90,789,80,11160,71148,OPTIMAL,63,0.257205,6.82041,7.07762,75.88281
GEOM90b.col,90,860,109,12240,82870,OPTIMAL,69,0.757948,33.5737,34.3317,87.67578
c21_1_d1.col,21,105,8,252,1113,OPTIMAL,7,0.000579898,0.0110399,0.0116197,45.40234
c21_1_d2.col,21,105,8,252,1113,OPTIMAL,7,0.000580634,0.0111663,0.011747,45.40625
c21_2_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00090674,0.0139429,0.0148497,45.53125
c21_2_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00122696,0.0148236,0.0160506,45.38281
c21_3_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00060015,0.0109997,0.0115999,45.44531
c21_3_d2.col,21,105,8,252,1113,OPTIMAL,7,0.000596905,0.0109626,0.0115595,45.89453
c21_4_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00131038,0.0135651,0.0148755,45.95703
c21_4_d2.col,21,105,11,336,1491,OPTIMAL,9,0.0012283,0.0137622,0.0149905,45.44531
c21_5_d1.col,21,105,8,252,1113,OPTIMAL,7,0.000584854,0.0412767,0.0418615,45.46484
c21_5_d2.col,21,105,8,252,1113,OPTIMAL,7,0.000619851,0.0107293,0.0113492,45.40625
c21_6_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00106984,0.0144285,0.0154984,45.38281
c21_6_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00125983,0.0149201,0.0161799,45.40625
c21_7_d1.col,21,105,8,252,1113,OPTIMAL,7,0.000582449,0.0111946,0.0117771,45.37109
c21_7_d2.col,21,105,8,252,1113,OPTIMAL,7,0.000598805,0.0113492,0.011948,45.09375
c21_8_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00080321,0.0148578,0.015661,45.34375
c21_8_d2.col,21,105,11,336,1491,OPTIMAL,9,0.000790421,0.0154521,0.0162425,45.40625
c55_1_d1.col,55,362,8,660,3437,OPTIMAL,7,0.00194547,0.0132719,0.0152173,45.76953
c55_2_d2.col,55,362,8,660,3437,OPTIMAL,7,0.00155761,0.0425191,0.0440767,46.01953
