name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,9800,46304,OPTIMAL,50,0.143275,0.955211,1.09849,68.125
GEOM100a.col,100,992,91,13000,90381,OPTIMAL,66,0.490866,250.462,250.953,107.50781
GEOM100b.col,100,1050,121,14000,101401,OPTIMAL,71,1.2113,86.0141,87.2254,98.55859
GEOM110.col,110,638,64,10780,52713,OPTIMAL,50,0.173732,1.24658,1.42032,68.69922
GEOM110a.col,110,1207,109,14960,111887,OPTIMAL,69,1.05485,141.557,142.611,106.81641
GEOM110b.col,110,1256,121,16720,128787,OPTIMAL,77,1.34671,232.265,233.612,109.64844
GEOM120.col,120,773,73,13920,72555,OPTIMAL,59,0.237729,2.2774,2.51513,73.35156
GEOM120a.col,120,1434,109,19440,154915,OPTIMAL,82,0.92648,145.741,146.667,110.5
GEOM120b.col,120,1491,123,19680,161503,OPTIMAL,83,1.47627,2743.66,2745.14,198.77734
GEOM20.col,20,20,24,800,1981,OPTIMAL,21,0.00231446,0.0163061,0.0186206,45.45312
GEOM20a.col,20,37,24,760,2204,OPTIMAL,20,0.00276797,0.0201921,0.02296,45.75391
GEOM20b.col,20,32,16,480,1325,OPTIMAL,13,0.0014617,0.0143367,0.0157984,45.42969
GEOM30.col,30,50,33,1620,4561,OPTIMAL,28,0.00751941,0.0305737,0.0380931,45.30469
GEOM30a.col,30,81,32,1560,5197,OPTIMAL,27,0.00560394,0.0285089,0.0341128,45.94141
GEOM30b.col,30,81,27,1500,4996,OPTIMAL,26,0.00295465,0.0137767,0.0167314,45.39062
GEOM40.col,40,78,33,2160,6387,OPTIMAL,28,0.00731122,0.0315692,0.0388804,45.30469
GEOM40a.col,40,146,50,2880,10977,OPTIMAL,37,0.0288435,0.140039,0.168883,52.91797
GEOM40b.col,40,157,40,2560,10105,OPTIMAL,33,0.0146691,0.0608053,0.0754745,45.20312
GEOM50.col,50,127,36,2700,8780,OPTIMAL,28,0.0214123,0.0596763,0.0810886,46.0
GEOM50a.col,50,238,61,4900,21413,OPTIMAL,50,0.0515655,0.605586,0.657152,63.26172
GEOM50b.col,50,249,54,3400,15217,OPTIMAL,35,0.0696622,0.253938,0.323601,61.96875
GEOM60.col,60,185,36,3840,13541,OPTIMAL,33,0.0158962,0.0387743,0.0546705,45.24219
GEOM60a.col,60,339,61,5880,28312,OPTIMAL,50,0.0653497,0.651279,0.716628,64.50391
GEOM60b.col,60,366,63,4800,24181,OPTIMAL,41,0.118385,1.21794,1.33633,65.58984
GEOM70.col,70,267,44,5180,20170,OPTIMAL,38,0.0311522,0.0919046,0.123057,57.29688
GEOM70a.col,70,459,72,8400,44271,OPTIMAL,61,0.104424,2.61059,2.71501,68.4375
GEOM70b.col,70,488,76,6440,35259,OPTIMAL,47,0.230582,2.75087,2.98145,67.85938
GEOM80.col,80,349,54,6400,26681,OPTIMAL,41,0.0810708,0.219579,0.300649,54.32422
GEOM80a.col,80,612,79,9920,57705,OPTIMAL,63,0.194802,3.83418,4.02898,71.76562
GEOM80b.col,80,663,98,9440,57918,OPTIMAL,60,0.505199,4.9169,5.4221,73.41016
GEOM90.col,90,441,54,8100,35956,OPTIMAL,46,0.0658076,0.269523,0.335331,64.88281
GEOM90a.col,90,789,80,11160,71149,OPTIMAL,63,0.277307,7.35674,7.63404,75.16016
GEOM90b.col,90,860,109,12240,82871,OPTIMAL,69,0.76271,58.0157,58.7784,87.65625
c21_1_d1.col,21,105,8,252,1114,OPTIMAL,7,0.000654347,0.0097999,0.0104542,45.30859
c21_1_d2.col,21,105,8,252,1114,OPTIMAL,7,0.000677534,0.00986689,0.0105444,45.87891
c21_2_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00135295,0.0133491,0.014702,45.45312
c21_2_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00126789,0.0135778,0.0148457,45.36719
c21_3_d1.col,21,105,8,252,1114,OPTIMAL,7,0.000664813,0.00979963,0.0104644,45.30469
c21_3_d2.col,21,105,8,252,1114,OPTIMAL,7,0.000665213,0.0102215,0.0108867,45.87891
c21_4_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00123685,0.0133138,0.0145506,44.76562
c21_4_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00129429,0.0142898,0.0155841,45.30469
c21_5_d1.col,21,105,8,252,1114,OPTIMAL,7,0.000447487,0.00934275,0.00979024,45.9375
c21_5_d2.col,21,105,8,252,1114,OPTIMAL,7,0.000570241,0.00980292,0.0103732,45.64062
c21_6_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00103545,0.0139176,0.0149531,45.17969
c21_6_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00128613,0.0139944,0.0152806,45.75391
c21_7_d1.col,21,105,8,252,1114,OPTIMAL,7,0.000553662,0.0105966,0.0111502,45.36719
c21_7_d2.col,21,105,8,252,1114,OPTIMAL,7,0.000715589,0.0093387,0.0100543,45.51562
c21_8_d1.col,21,105,11,336,1492,OPTIMAL,9,0.0013391,0.0141991,0.0155382,45.20312
c21_8_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00130911,0.014114,0.0154231,45.87891
c55_1_d1.col,55,362,8,660,3438,OPTIMAL,7,0.00236002,0.0192789,0.0216389,46.00391
c55_2_d2.col,55,362,8,660,3438,OPTIMAL,7,0.0023774,0.018891,0.0212684,46.00391
