name,nodes,edges,upper_bound,lower_bound,runtime,memory_usage,model,parameters,density,heuristic,max_clique,max_degree
GEOM100.col,100,547,50,50,0.784493,81.47656,POP-SAT,search:descending,0.110505,64,9,19
GEOM100a.col,100,992,66,66,192.416012,130.46094,POP-SAT,search:descending,0.200404,91,13,29
GEOM100b.col,100,1050,71,71,81.677274,127.09766,POP-SAT,search:descending,0.212121,121,15,38
GEOM110.col,110,638,50,50,0.851917,84.83984,POP-SAT,search:descending,0.106422,64,9,20
GEOM110a.col,110,1207,69,69,122.598303,143.96875,POP-SAT,search:descending,0.201334,109,14,33
GEOM110b.col,110,1256,77,77,266.817119,135.78125,POP-SAT,search:descending,0.209508,121,15,40
GEOM120.col,120,773,59,59,1.90088,87.50391,POP-SAT,search:descending,0.108263,73,11,22
GEOM120a.col,120,1434,82,82,182.266384,126.10156,POP-SAT,search:descending,0.20084,109,16,36
GEOM120b.col,120,1491,83,83,2277.343545,267.12891,POP-SAT,search:descending,0.208824,123,16,44
GEOM20.col,20,20,21,21,0.038516,60.33594,POP-SAT,search:descending,0.105263,24,5,5
GEOM20a.col,20,37,20,20,0.027122,60.20703,POP-SAT,search:descending,0.194737,24,5,8
GEOM20b.col,20,32,13,13,0.017549,60.26172,POP-SAT,search:descending,0.168421,16,3,7
GEOM30.col,30,50,28,28,0.033524,60.26172,POP-SAT,search:descending,0.114943,33,6,7
GEOM30a.col,30,81,27,27,0.054203,64.64844,POP-SAT,search:descending,0.186207,32,6,11
GEOM30b.col,30,81,26,26,0.01442,60.33203,POP-SAT,search:descending,0.186207,27,5,11
GEOM40.col,40,78,28,28,0.036472,64.78906,POP-SAT,search:descending,0.1,33,6,7
GEOM40a.col,40,146,37,37,0.216346,73.15625,POP-SAT,search:descending,0.187179,50,7,13
GEOM40b.col,40,157,33,33,0.060576,68.85547,POP-SAT,search:descending,0.201282,40,7,14
GEOM50.col,50,127,28,28,0.061697,65.69531,POP-SAT,search:descending,0.103673,36,6,10
GEOM50a.col,50,238,50,50,0.53784,76.64062,POP-SAT,search:descending,0.194286,61,9,17
GEOM50b.col,50,249,35,35,0.336914,75.8125,POP-SAT,search:descending,0.203265,54,8,18
GEOM60.col,60,185,33,33,0.032089,66.70312,POP-SAT,search:descending,0.10452,36,6,11
GEOM60a.col,60,339,50,50,0.509323,78.43359,POP-SAT,search:descending,0.191525,61,10,19
GEOM60b.col,60,366,41,41,1.265979,80.53516,POP-SAT,search:descending,0.20678,63,9,21
GEOM70.col,70,267,38,38,0.08077,70.74219,POP-SAT,search:descending,0.110559,44,8,14
GEOM70a.col,70,459,61,61,1.602521,81.64844,POP-SAT,search:descending,0.190062,72,11,21
GEOM70b.col,70,488,47,47,2.957176,82.60938,POP-SAT,search:descending,0.20207,76,10,25
GEOM80.col,80,349,41,41,0.272002,77.35547,POP-SAT,search:descending,0.110443,54,8,15
GEOM80a.col,80,612,63,63,4.322772,89.125,POP-SAT,search:descending,0.193671,79,12,24
GEOM80b.col,80,663,60,60,6.358934,90.37109,POP-SAT,search:descending,0.20981,98,12,30
GEOM90.col,90,441,46,46,0.271228,79.01172,POP-SAT,search:descending,0.110112,54,8,16
GEOM90a.col,90,789,63,63,7.386891,93.21875,POP-SAT,search:descending,0.197004,80,12,26
GEOM90b.col,90,860,69,69,25.198385,104.86719,POP-SAT,search:descending,0.214732,109,15,35
c21_1_d1.col,21,105,7,7,0.005278,62.34766,POP-SAT,search:descending,0.5,8,7,16
c21_1_d2.col,21,105,7,7,0.006101,62.35547,POP-SAT,search:descending,0.5,8,7,16
c21_2_d1.col,21,105,9,9,0.015987,62.35547,POP-SAT,search:descending,0.5,11,7,16
c21_2_d2.col,21,105,9,9,0.013267,62.34375,POP-SAT,search:descending,0.5,11,7,16
c21_3_d1.col,21,105,7,7,0.003828,60.19922,POP-SAT,search:descending,0.5,8,7,16
c21_3_d2.col,21,105,7,7,0.005439,62.35547,POP-SAT,search:descending,0.5,8,7,16
c21_4_d1.col,21,105,9,9,0.014591,62.35547,POP-SAT,search:descending,0.5,11,7,16
c21_4_d2.col,21,105,9,9,0.012197,62.34375,POP-SAT,search:descending,0.5,11,7,16
c21_5_d1.col,21,105,7,7,0.012054,62.34766,POP-SAT,search:descending,0.5,8,7,16
c21_5_d2.col,21,105,7,7,0.005508,62.35547,POP-SAT,search:descending,0.5,8,7,16
c21_6_d1.col,21,105,9,9,0.012599,62.34375,POP-SAT,search:descending,0.5,11,7,16
c21_6_d2.col,21,105,9,9,0.026871,63.42188,POP-SAT,search:descending,0.5,11,7,16
c21_7_d1.col,21,105,7,7,0.005237,62.32812,POP-SAT,search:descending,0.5,8,7,16
c21_7_d2.col,21,105,7,7,0.005517,62.35547,POP-SAT,search:descending,0.5,8,7,16
c21_8_d1.col,21,105,9,9,0.011717,62.35547,POP-SAT,search:descending,0.5,11,7,16
c21_8_d2.col,21,105,9,9,0.013501,62.35547,POP-SAT,search:descending,0.5,11,7,16
c55_1_d1.col,55,362,7,7,0.008277,62.52734,POP-SAT,search:descending,0.243771,8,7,19
c55_2_d2.col,55,362,7,7,0.005502,62.53516,POP-SAT,search:descending,0.243771,8,7,19
