name,nodes,edges,upper_bound,lower_bound,runtime,memory_usage,model,parameters,density,heuristic,max_clique,max_degree
GEOM100.col,100,547,50,50,1.011385,86.99609,POPHyb-SAT,search:descending,0.110505,64,9,19
GEOM100a.col,100,992,66,66,226.040281,154.77734,POPHyb-SAT,search:descending,0.200404,91,13,29
GEOM100b.col,100,1050,71,71,90.936924,125.50781,POPHyb-SAT,search:descending,0.212121,121,15,38
GEOM110.col,110,638,50,50,1.261304,91.17578,POPHyb-SAT,search:descending,0.106422,64,9,20
GEOM110a.col,110,1207,69,69,93.050545,126.17188,POPHyb-SAT,search:descending,0.201334,109,14,33
GEOM110b.col,110,1256,77,77,192.520482,146.92188,POPHyb-SAT,search:descending,0.209508,121,15,40
GEOM120.col,120,773,59,59,2.900533,97.22266,POPHyb-SAT,search:descending,0.108263,73,11,22
GEOM120a.col,120,1434,82,82,212.339601,142.33984,POPHyb-SAT,search:descending,0.20084,109,16,36
GEOM120b.col,120,1491,83,83,1845.961937,224.27734,POPHyb-SAT,search:descending,0.208824,123,16,44
GEOM20.col,20,20,21,21,0.014675,60.15234,POPHyb-SAT,search:descending,0.105263,24,5,5
GEOM20a.col,20,37,20,20,0.032236,60.27734,POPHyb-SAT,search:descending,0.194737,24,5,8
GEOM20b.col,20,32,13,13,0.018658,60.27344,POPHyb-SAT,search:descending,0.168421,16,3,7
GEOM30.col,30,50,28,28,0.038378,65.32422,POPHyb-SAT,search:descending,0.114943,33,6,7
GEOM30a.col,30,81,27,27,0.047057,65.47656,POPHyb-SAT,search:descending,0.186207,32,6,11
GEOM30b.col,30,81,26,26,0.016042,60.27734,POPHyb-SAT,search:descending,0.186207,27,5,11
GEOM40.col,40,78,28,28,0.044402,65.87891,POPHyb-SAT,search:descending,0.1,33,6,7
GEOM40a.col,40,146,37,37,0.232414,75.11328,POPHyb-SAT,search:descending,0.187179,50,7,13
GEOM40b.col,40,157,33,33,0.073247,70.11328,POPHyb-SAT,search:descending,0.201282,40,7,14
GEOM50.col,50,127,28,28,0.068611,69.55078,POPHyb-SAT,search:descending,0.103673,36,6,10
GEOM50a.col,50,238,50,50,0.668041,78.97656,POPHyb-SAT,search:descending,0.194286,61,9,17
GEOM50b.col,50,249,35,35,0.598876,77.03906,POPHyb-SAT,search:descending,0.203265,54,8,18
GEOM60.col,60,185,33,33,0.046387,74.92188,POPHyb-SAT,search:descending,0.10452,36,6,11
GEOM60a.col,60,339,50,50,0.810215,81.24609,POPHyb-SAT,search:descending,0.191525,61,10,19
GEOM60b.col,60,366,41,41,1.218703,81.73047,POPHyb-SAT,search:descending,0.20678,63,9,21
GEOM70.col,70,267,38,38,0.116586,73.30078,POPHyb-SAT,search:descending,0.110559,44,8,14
GEOM70a.col,70,459,61,61,2.043731,88.0625,POPHyb-SAT,search:descending,0.190062,72,11,21
GEOM70b.col,70,488,47,47,2.261534,88.14453,POPHyb-SAT,search:descending,0.20207,76,10,25
GEOM80.col,80,349,41,41,0.294827,80.73828,POPHyb-SAT,search:descending,0.110443,54,8,15
GEOM80a.col,80,612,63,63,3.984687,92.03125,POPHyb-SAT,search:descending,0.193671,79,12,24
GEOM80b.col,80,663,60,60,6.257199,96.65234,POPHyb-SAT,search:descending,0.20981,98,12,30
GEOM90.col,90,441,46,46,0.464128,82.89844,POPHyb-SAT,search:descending,0.110112,54,8,16
GEOM90a.col,90,789,63,63,7.059763,98.39844,POPHyb-SAT,search:descending,0.197004,80,12,26
GEOM90b.col,90,860,69,69,43.386248,111.37109,POPHyb-SAT,search:descending,0.214732,109,15,35
c21_1_d1.col,21,105,7,7,0.006157,62.33984,POPHyb-SAT,search:descending,0.5,8,7,16
c21_1_d2.col,21,105,7,7,0.006913,62.33984,POPHyb-SAT,search:descending,0.5,8,7,16
c21_2_d1.col,21,105,9,9,0.01453,62.33984,POPHyb-SAT,search:descending,0.5,11,7,16
c21_2_d2.col,21,105,9,9,0.014672,62.33594,POPHyb-SAT,search:descending,0.5,11,7,16
c21_3_d1.col,21,105,7,7,0.004654,62.33594,POPHyb-SAT,search:descending,0.5,8,7,16
c21_3_d2.col,21,105,7,7,0.006868,62.33984,POPHyb-SAT,search:descending,0.5,8,7,16
c21_4_d1.col,21,105,9,9,0.014709,62.33984,POPHyb-SAT,search:descending,0.5,11,7,16
c21_4_d2.col,21,105,9,9,0.014482,62.33594,POPHyb-SAT,search:descending,0.5,11,7,16
c21_5_d1.col,21,105,7,7,0.006083,62.33984,POPHyb-SAT,search:descending,0.5,8,7,16
c21_5_d2.col,21,105,7,7,0.005686,62.33984,POPHyb-SAT,search:descending,0.5,8,7,16
c21_6_d1.col,21,105,9,9,0.013269,62.33594,POPHyb-SAT,search:descending,0.5,11,7,16
c21_6_d2.col,21,105,9,9,0.015771,62.33984,POPHyb-SAT,search:descending,0.5,11,7,16
c21_7_d1.col,21,105,7,7,0.005088,62.30859,POPHyb-SAT,search:descending,0.5,8,7,16
c21_7_d2.col,21,105,7,7,0.005658,62.33984,POPHyb-SAT,search:descending,0.5,8,7,16
c21_8_d1.col,21,105,9,9,0.015435,62.33984,POPHyb-SAT,search:descending,0.5,11,7,16
c21_8_d2.col,21,105,9,9,0.015039,62.33984,POPHyb-SAT,search:descending,0.5,11,7,16
c55_1_d1.col,55,362,7,7,0.007548,62.52734,POPHyb-SAT,search:descending,0.243771,8,7,19
c55_2_d2.col,55,362,7,7,0.008766,62.52734,POPHyb-SAT,search:descending,0.243771,8,7,19
