name,nodes,edges,upper_bound,lower_bound,runtime,memory_usage,model,parameters,density,heuristic,max_clique,max_degree
GEOM100.col,100,547,50,50,0.990609,88.01953,POPHyb-SAT,search:descending,0.110505,64,9,19
GEOM100a.col,100,992,66,66,174.045996,128.35938,POPHyb-SAT,search:descending,0.200404,91,13,29
GEOM100b.col,100,1050,71,71,81.930061,120.01172,POPHyb-SAT,search:descending,0.212121,121,15,38
GEOM110.col,110,638,50,50,1.119512,90.44141,POPHyb-SAT,search:descending,0.106422,64,9,20
GEOM110a.col,110,1207,69,69,87.205128,128.60938,POPHyb-SAT,search:descending,0.201334,109,14,33
GEOM110b.col,110,1256,77,77,302.600973,190.85156,POPHyb-SAT,search:descending,0.209508,121,15,40
GEOM120.col,120,773,59,59,2.956643,96.73438,POPHyb-SAT,search:descending,0.108263,73,11,22
GEOM120a.col,120,1434,82,82,156.684857,147.38672,POPHyb-SAT,search:descending,0.20084,109,16,36
GEOM120b.col,120,1491,83,83,3280.998489,293.58984,POPHyb-SAT,search:descending,0.208824,123,16,44
GEOM20.col,20,20,21,21,0.02132,60.26562,POPHyb-SAT,search:descending,0.105263,24,5,5
GEOM20a.col,20,37,20,20,0.027358,60.14062,POPHyb-SAT,search:descending,0.194737,24,5,8
GEOM20b.col,20,32,13,13,0.017554,60.13281,POPHyb-SAT,search:descending,0.168421,16,3,7
GEOM30.col,30,50,28,28,0.06133,65.28516,POPHyb-SAT,search:descending,0.114943,33,6,7
GEOM30a.col,30,81,27,27,0.042863,65.59766,POPHyb-SAT,search:descending,0.186207,32,6,11
GEOM30b.col,30,81,26,26,0.015776,60.32812,POPHyb-SAT,search:descending,0.186207,27,5,11
GEOM40.col,40,78,28,28,0.058939,65.96484,POPHyb-SAT,search:descending,0.1,33,6,7
GEOM40a.col,40,146,37,37,0.184438,75.07422,POPHyb-SAT,search:descending,0.187179,50,7,13
GEOM40b.col,40,157,33,33,0.096186,69.95312,POPHyb-SAT,search:descending,0.201282,40,7,14
GEOM50.col,50,127,28,28,0.078553,69.55469,POPHyb-SAT,search:descending,0.103673,36,6,10
GEOM50a.col,50,238,50,50,0.66454,79.03125,POPHyb-SAT,search:descending,0.194286,61,9,17
GEOM50b.col,50,249,35,35,0.409794,77.21094,POPHyb-SAT,search:descending,0.203265,54,8,18
GEOM60.col,60,185,33,33,0.054405,69.80469,POPHyb-SAT,search:descending,0.10452,36,6,11
GEOM60a.col,60,339,50,50,0.651256,81.44922,POPHyb-SAT,search:descending,0.191525,61,10,19
GEOM60b.col,60,366,41,41,1.378836,82.04297,POPHyb-SAT,search:descending,0.20678,63,9,21
GEOM70.col,70,267,38,38,0.11451,72.46484,POPHyb-SAT,search:descending,0.110559,44,8,14
GEOM70a.col,70,459,61,61,3.394566,87.51953,POPHyb-SAT,search:descending,0.190062,72,11,21
GEOM70b.col,70,488,47,47,3.75696,86.37109,POPHyb-SAT,search:descending,0.20207,76,10,25
GEOM80.col,80,349,41,41,0.329521,80.22656,POPHyb-SAT,search:descending,0.110443,54,8,15
GEOM80a.col,80,612,63,63,5.971577,94.10938,POPHyb-SAT,search:descending,0.193671,79,12,24
GEOM80b.col,80,663,60,60,4.600356,96.89453,POPHyb-SAT,search:descending,0.20981,98,12,30
GEOM90.col,90,441,46,46,0.270457,83.16797,POPHyb-SAT,search:descending,0.110112,54,8,16
GEOM90a.col,90,789,63,63,6.80683,100.83984,POPHyb-SAT,search:descending,0.197004,80,12,26
GEOM90b.col,90,860,69,69,32.699758,111.15234,POPHyb-SAT,search:descending,0.214732,109,15,35
c21_1_d1.col,21,105,7,7,0.004838,60.32422,POPHyb-SAT,search:descending,0.5,8,7,16
c21_1_d2.col,21,105,7,7,0.006073,62.28516,POPHyb-SAT,search:descending,0.5,8,7,16
c21_2_d1.col,21,105,9,9,0.016278,62.28516,POPHyb-SAT,search:descending,0.5,11,7,16
c21_2_d2.col,21,105,9,9,0.011301,63.99609,POPHyb-SAT,search:descending,0.5,11,7,16
c21_3_d1.col,21,105,7,7,0.00413,62.27344,POPHyb-SAT,search:descending,0.5,8,7,16
c21_3_d2.col,21,105,7,7,0.006344,62.28516,POPHyb-SAT,search:descending,0.5,8,7,16
c21_4_d1.col,21,105,9,9,0.019778,62.28516,POPHyb-SAT,search:descending,0.5,11,7,16
c21_4_d2.col,21,105,9,9,0.018093,62.27734,POPHyb-SAT,search:descending,0.5,11,7,16
c21_5_d1.col,21,105,7,7,0.006333,62.28516,POPHyb-SAT,search:descending,0.5,8,7,16
c21_5_d2.col,21,105,7,7,0.004383,62.28516,POPHyb-SAT,search:descending,0.5,8,7,16
c21_6_d1.col,21,105,9,9,0.018564,62.27734,POPHyb-SAT,search:descending,0.5,11,7,16
c21_6_d2.col,21,105,9,9,0.019813,62.28516,POPHyb-SAT,search:descending,0.5,11,7,16
c21_7_d1.col,21,105,7,7,0.005426,62.26172,POPHyb-SAT,search:descending,0.5,8,7,16
c21_7_d2.col,21,105,7,7,0.006216,62.28516,POPHyb-SAT,search:descending,0.5,8,7,16
c21_8_d1.col,21,105,9,9,0.017513,62.28516,POPHyb-SAT,search:descending,0.5,11,7,16
c21_8_d2.col,21,105,9,9,0.017515,62.28516,POPHyb-SAT,search:descending,0.5,11,7,16
c55_1_d1.col,55,362,7,7,0.005807,62.46094,POPHyb-SAT,search:descending,0.243771,8,7,19
c55_2_d2.col,55,362,7,7,0.006077,62.46094,POPHyb-SAT,search:descending,0.243771,8,7,19
