name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,6400,41408,OPTIMAL,50,0.0397495,0.291142,0.330892,62.94531
GEOM100a.col,100,992,91,9100,99372,OPTIMAL,66,0.102143,354.447,354.549,164.31641
GEOM100b.col,100,1050,121,12100,139150,OPTIMAL,71,0.146155,141.799,141.945,150.51953
GEOM110.col,110,638,64,7040,47872,OPTIMAL,50,0.0502424,0.382613,0.432855,64.29688
GEOM110a.col,110,1207,109,11990,143553,OPTIMAL,69,0.147127,120.308,120.455,130.39453
GEOM110b.col,110,1256,121,13310,165286,OPTIMAL,77,0.172293,618.724,618.897,187.73438
GEOM120.col,120,773,73,8760,65189,OPTIMAL,59,0.0655663,1.59373,1.65929,72.58203
GEOM120a.col,120,1434,109,13080,169386,OPTIMAL,82,0.180199,296.413,296.593,168.5
GEOM120b.col,120,1491,123,14760,198153,SATISFIABLE,83,0.207825,3599.79,3600.0,290.54297
GEOM20.col,20,20,24,480,960,OPTIMAL,21,0.00104364,0.000936636,0.00198027,45.42578
GEOM20a.col,20,37,24,480,1368,OPTIMAL,20,0.0015952,0.00110637,0.00270157,45.36328
GEOM20b.col,20,32,16,320,832,OPTIMAL,13,0.000655441,0.000442726,0.00109817,45.42188
GEOM30.col,30,50,33,990,2640,OPTIMAL,28,0.00216753,0.00169093,0.00385846,45.84766
GEOM30a.col,30,81,32,960,3552,OPTIMAL,27,0.0042586,0.00274354,0.00700214,45.42578
GEOM30b.col,30,81,27,810,2997,OPTIMAL,26,0.00356368,0.000951653,0.00451533,45.36328
GEOM40.col,40,78,33,1320,3894,OPTIMAL,28,0.00497836,0.00283217,0.00781053,45.91016
GEOM40a.col,40,146,50,2000,9300,OPTIMAL,37,0.00828634,0.0204125,0.0286989,45.36328
GEOM40b.col,40,157,40,1600,7880,OPTIMAL,33,0.0100483,0.0101526,0.020201,45.91406
GEOM50.col,50,127,36,1800,6372,OPTIMAL,28,0.00574192,0.00227946,0.00802139,45.30078
GEOM50a.col,50,238,61,3050,17568,OPTIMAL,50,0.0161788,0.230724,0.246902,57.92578
GEOM50b.col,50,249,54,2700,16146,OPTIMAL,35,0.019066,0.139809,0.158875,57.16406
GEOM60.col,60,185,36,2160,8820,OPTIMAL,33,0.0103905,0.00247702,0.0128675,45.42188
GEOM60a.col,60,339,61,3660,24339,OPTIMAL,50,0.0224034,0.352671,0.375075,59.42578
GEOM60b.col,60,366,63,3780,26838,OPTIMAL,41,0.0250705,0.909512,0.934582,61.4375
GEOM70.col,70,267,44,3080,14828,OPTIMAL,38,0.0200716,0.0184641,0.0385357,45.91406
GEOM70a.col,70,459,72,5040,38088,OPTIMAL,61,0.0361706,2.00424,2.04041,65.55859
GEOM70b.col,70,488,76,5320,42408,OPTIMAL,47,0.0403185,1.75558,1.7959,65.57422
GEOM80.col,80,349,54,4320,23166,OPTIMAL,41,0.0261195,0.0471055,0.073225,45.42578
GEOM80a.col,80,612,79,6320,54668,OPTIMAL,63,0.054967,6.30918,6.36414,72.27344
GEOM80b.col,80,663,98,7840,72814,OPTIMAL,60,0.0724675,3.46662,3.53908,73.62109
GEOM90.col,90,441,54,4860,28674,OPTIMAL,46,0.027571,0.125943,0.153514,59.50781
GEOM90a.col,90,789,80,7200,70320,OPTIMAL,63,0.0697478,7.6081,7.67785,76.65625
GEOM90b.col,90,860,109,9810,103550,OPTIMAL,69,0.106227,25.6845,25.7907,95.20312
c21_1_d1.col,21,105,8,168,1008,OPTIMAL,7,0.00103254,0.00239299,0.00342553,45.36328
c21_1_d2.col,21,105,8,168,1008,OPTIMAL,7,0.00108864,0.00180453,0.00289317,45.36328
c21_2_d1.col,21,105,11,231,1386,OPTIMAL,9,0.00125156,0.00285814,0.0041097,45.48828
c21_2_d2.col,21,105,11,231,1386,OPTIMAL,9,0.00132833,0.00287632,0.00420465,45.91016
c21_3_d1.col,21,105,8,168,1008,OPTIMAL,7,0.000769886,0.00192977,0.00269966,45.35938
c21_3_d2.col,21,105,8,168,1008,OPTIMAL,7,0.000941865,0.00189557,0.00283743,45.36328
c21_4_d1.col,21,105,11,231,1386,OPTIMAL,9,0.00128649,0.00302793,0.00431442,45.97656
c21_4_d2.col,21,105,11,231,1386,OPTIMAL,9,0.00147495,0.00340813,0.00488308,45.35938
c21_5_d1.col,21,105,8,168,1008,OPTIMAL,7,0.00116002,0.00172337,0.0028834,45.48828
c21_5_d2.col,21,105,8,168,1008,OPTIMAL,7,0.00102951,0.00255661,0.00358612,45.42578
c21_6_d1.col,21,105,11,231,1386,OPTIMAL,9,0.00101373,0.00284712,0.00386085,45.35938
c21_6_d2.col,21,105,11,231,1386,OPTIMAL,9,0.00147434,0.0040649,0.00553923,45.85156
c21_7_d1.col,21,105,8,168,1008,OPTIMAL,7,0.0010431,0.0022906,0.0033337,45.78125
c21_7_d2.col,21,105,8,168,1008,OPTIMAL,7,0.00103536,0.00230175,0.00333712,45.36328
c21_8_d1.col,21,105,11,231,1386,OPTIMAL,9,0.00148598,0.0040695,0.00555549,45.42578
c21_8_d2.col,21,105,11,231,1386,OPTIMAL,9,0.00148538,0.00421025,0.00569563,45.36328
c55_1_d1.col,55,362,8,440,3336,OPTIMAL,7,0.00244679,0.00229524,0.00474202,45.97656
c55_2_d2.col,55,362,8,440,3336,OPTIMAL,7,0.00249344,0.00230807,0.00480151,45.48828
