name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,4900,31704,OPTIMAL,50,0.558569,0.382271,0.94084,62.61328
GEOM100a.col,100,992,91,6500,70981,OPTIMAL,66,2.2253,246.96,249.186,136.38281
GEOM100b.col,100,1050,121,7000,80501,OPTIMAL,71,5.67345,58.0435,63.7169,97.44922
GEOM110.col,110,638,64,5390,36653,OPTIMAL,50,0.629218,0.388143,1.01736,64.83984
GEOM110a.col,110,1207,109,7480,89557,OPTIMAL,69,4.68796,107.346,112.034,120.16797
GEOM110b.col,110,1256,121,8360,103817,OPTIMAL,77,6.07632,189.367,195.443,124.85156
GEOM120.col,120,773,73,6960,51795,OPTIMAL,59,0.898014,1.67312,2.57113,71.75
GEOM120a.col,120,1434,109,9720,125875,OPTIMAL,82,4.30566,124.527,128.832,126.40625
GEOM120b.col,120,1491,123,9840,132103,OPTIMAL,83,7.00343,2012.91,2019.91,227.00781
GEOM20.col,20,20,24,400,801,OPTIMAL,21,0.00359355,0.000877488,0.00447104,45.54297
GEOM20a.col,20,37,24,380,1084,OPTIMAL,20,0.00567195,0.000989581,0.00666153,45.41797
GEOM20b.col,20,32,16,240,625,OPTIMAL,13,0.00386544,0.000787178,0.00465262,45.22266
GEOM30.col,30,50,33,810,2161,OPTIMAL,28,0.0132545,0.00277478,0.0160292,45.34766
GEOM30a.col,30,81,32,780,2887,OPTIMAL,27,0.0176981,0.00323051,0.0209286,45.84375
GEOM30b.col,30,81,27,750,2776,OPTIMAL,26,0.00756185,0.000925152,0.008487,45.78125
GEOM40.col,40,78,33,1080,3187,OPTIMAL,28,0.0198718,0.00335756,0.0232294,45.35156
GEOM40a.col,40,146,50,1440,6697,OPTIMAL,37,0.100045,0.0327304,0.132775,54.55859
GEOM40b.col,40,157,40,1280,6305,OPTIMAL,33,0.0569469,0.0118356,0.0687825,45.54297
GEOM50.col,50,127,36,1350,4780,OPTIMAL,28,0.0470582,0.00482473,0.051883,45.66797
GEOM50a.col,50,238,61,2450,14113,OPTIMAL,50,0.183989,0.230713,0.414701,57.71875
GEOM50b.col,50,249,54,1700,10167,OPTIMAL,35,0.24224,0.0706498,0.31289,56.11328
GEOM60.col,60,185,36,1920,7841,OPTIMAL,33,0.0357106,0.0047805,0.0404911,45.71484
GEOM60a.col,60,339,61,2940,19552,OPTIMAL,50,0.254603,0.266216,0.520819,59.20312
GEOM60b.col,60,366,63,2400,17041,OPTIMAL,41,0.475739,1.10096,1.5767,59.67578
GEOM70.col,70,267,44,2590,12470,OPTIMAL,38,0.0951004,0.0159649,0.111065,55.53906
GEOM70a.col,70,459,72,4200,31741,OPTIMAL,61,0.426725,1.17685,1.60358,63.88672
GEOM70b.col,70,488,76,3220,25669,OPTIMAL,47,0.973428,1.96271,2.93614,63.25781
GEOM80.col,80,349,54,3200,17161,OPTIMAL,41,0.273699,0.0386767,0.312375,56.49609
GEOM80a.col,80,612,79,4960,42905,OPTIMAL,63,0.826391,1.9486,2.77499,66.9375
GEOM80b.col,80,663,98,4720,43838,OPTIMAL,60,2.20888,3.10278,5.31166,68.69531
GEOM90.col,90,441,54,4050,23896,OPTIMAL,46,0.247393,0.0606943,0.308087,58.95703
GEOM90a.col,90,789,80,5580,54499,OPTIMAL,63,1.13775,6.12943,7.26718,71.17578
GEOM90b.col,90,860,109,6120,64601,OPTIMAL,69,3.47154,32.9509,36.4225,83.36328
c21_1_d1.col,21,105,8,126,757,OPTIMAL,7,0.00178858,0.00104597,0.00283455,45.90625
c21_1_d2.col,21,105,8,126,757,OPTIMAL,7,0.00182009,0.00111062,0.00293071,45.48047
c21_2_d1.col,21,105,11,168,1009,OPTIMAL,9,0.0050649,0.00197709,0.007042,45.84375
c21_2_d2.col,21,105,11,168,1009,OPTIMAL,9,0.003936,0.00141465,0.00535065,45.89844
c21_3_d1.col,21,105,8,126,757,OPTIMAL,7,0.00262594,0.00155711,0.00418304,45.53906
c21_3_d2.col,21,105,8,126,757,OPTIMAL,7,0.00200207,0.00125046,0.00325253,45.48047
c21_4_d1.col,21,105,11,168,1009,OPTIMAL,9,0.0033535,0.00139732,0.00475082,45.29297
c21_4_d2.col,21,105,11,168,1009,OPTIMAL,9,0.00434621,0.00165561,0.00600182,45.53516
c21_5_d1.col,21,105,8,126,757,OPTIMAL,7,0.00184386,0.00120274,0.0030466,45.78125
c21_5_d2.col,21,105,8,126,757,OPTIMAL,7,0.00217539,0.00115339,0.00332878,45.84375
c21_6_d1.col,21,105,11,168,1009,OPTIMAL,9,0.00486462,0.00202066,0.00688528,45.41016
c21_6_d2.col,21,105,11,168,1009,OPTIMAL,9,0.00330132,0.00149091,0.00479223,45.54297
c21_7_d1.col,21,105,8,126,757,OPTIMAL,7,0.0026084,0.00140779,0.00401619,45.89453
c21_7_d2.col,21,105,8,126,757,OPTIMAL,7,0.00230263,0.00101272,0.00331535,45.41797
c21_8_d1.col,21,105,11,168,1009,OPTIMAL,9,0.00376109,0.00136942,0.00513051,45.35547
c21_8_d2.col,21,105,11,168,1009,OPTIMAL,9,0.003579,0.00137078,0.00494978,45.35547
c55_1_d1.col,55,362,8,330,2503,OPTIMAL,7,0.00611859,0.00253985,0.00865844,45.84375
c55_2_d2.col,55,362,8,330,2503,OPTIMAL,7,0.00649794,0.00270148,0.00919942,45.54297
