name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,6400,41408,OPTIMAL,50,0.0442503,0.338209,0.38246,62.41016
GEOM100a.col,100,992,91,9100,99372,OPTIMAL,66,0.0986198,158.538,158.637,142.51562
GEOM100b.col,100,1050,121,12100,139150,OPTIMAL,71,0.148444,89.8604,90.0088,123.66016
GEOM110.col,110,638,64,7040,47872,OPTIMAL,50,0.052634,0.364801,0.417435,64.96094
GEOM110a.col,110,1207,109,11990,143553,OPTIMAL,69,0.147028,133.685,133.832,143.20312
GEOM110b.col,110,1256,121,13310,165286,OPTIMAL,77,0.173903,983.153,983.326,281.33203
GEOM120.col,120,773,73,8760,65189,OPTIMAL,59,0.0642797,1.56719,1.63147,69.85547
GEOM120a.col,120,1434,109,13080,169386,OPTIMAL,82,0.174813,359.407,359.581,176.19141
GEOM120b.col,120,1491,123,14760,198153,SATISFIABLE,83,0.201776,3599.8,3600.0,311.92969
GEOM20.col,20,20,24,480,960,OPTIMAL,21,0.00107233,0.000710058,0.00178239,45.42969
GEOM20a.col,20,37,24,480,1368,OPTIMAL,20,0.00136105,0.00101624,0.00237729,45.55469
GEOM20b.col,20,32,16,320,832,OPTIMAL,13,0.00093505,0.000512876,0.00144793,45.35938
GEOM30.col,30,50,33,990,2640,OPTIMAL,28,0.00274652,0.00169638,0.0044429,45.91016
GEOM30a.col,30,81,32,960,3552,OPTIMAL,27,0.00288239,0.00189413,0.00477652,45.61719
GEOM30b.col,30,81,27,810,2997,OPTIMAL,26,0.00362958,0.00105769,0.00468727,45.36719
GEOM40.col,40,78,33,1320,3894,OPTIMAL,28,0.00349546,0.00219342,0.00568888,45.35938
GEOM40a.col,40,146,50,2000,9300,OPTIMAL,37,0.0122547,0.0225383,0.034793,45.42969
GEOM40b.col,40,157,40,1600,7880,OPTIMAL,33,0.00693351,0.00913738,0.0160709,45.67969
GEOM50.col,50,127,36,1800,6372,OPTIMAL,28,0.00579728,0.00240276,0.00820004,45.36719
GEOM50a.col,50,238,61,3050,17568,OPTIMAL,50,0.0181282,0.207843,0.225971,57.26953
GEOM50b.col,50,249,54,2700,16146,OPTIMAL,35,0.0220287,0.0500445,0.0720732,45.36719
GEOM60.col,60,185,36,2160,8820,OPTIMAL,33,0.00780862,0.00260488,0.0104135,45.84766
GEOM60a.col,60,339,61,3660,24339,OPTIMAL,50,0.0226689,0.261306,0.283975,58.02734
GEOM60b.col,60,366,63,3780,26838,OPTIMAL,41,0.0292034,0.42297,0.452174,58.87109
GEOM70.col,70,267,44,3080,14828,OPTIMAL,38,0.0159654,0.0121227,0.0280881,45.85547
GEOM70a.col,70,459,72,5040,38088,OPTIMAL,61,0.0369023,2.34148,2.37838,64.39844
GEOM70b.col,70,488,76,5320,42408,OPTIMAL,47,0.0397582,1.68391,1.72367,65.87891
GEOM80.col,80,349,54,4320,23166,OPTIMAL,41,0.026967,0.0392339,0.066201,45.36719
GEOM80a.col,80,612,79,6320,54668,OPTIMAL,63,0.0554152,5.7497,5.80511,72.44531
GEOM80b.col,80,663,98,7840,72814,OPTIMAL,60,0.0730472,2.9164,2.98945,73.55859
GEOM90.col,90,441,54,4860,28674,OPTIMAL,46,0.0270427,0.0593036,0.0863463,45.36719
GEOM90a.col,90,789,80,7200,70320,OPTIMAL,63,0.0719392,6.27121,6.34315,74.76953
GEOM90b.col,90,860,109,9810,103550,OPTIMAL,69,0.105201,25.6348,25.74,103.23438
c21_1_d1.col,21,105,8,168,1008,OPTIMAL,7,0.00103525,0.00262463,0.00365988,45.42578
c21_1_d2.col,21,105,8,168,1008,OPTIMAL,7,0.00105019,0.00279268,0.00384287,45.42969
c21_2_d1.col,21,105,11,231,1386,OPTIMAL,9,0.00150901,0.00310073,0.00460974,45.42969
c21_2_d2.col,21,105,11,231,1386,OPTIMAL,9,0.00163962,0.00208491,0.00372453,45.91016
c21_3_d1.col,21,105,8,168,1008,OPTIMAL,7,0.0010568,0.0021179,0.0031747,45.17188
c21_3_d2.col,21,105,8,168,1008,OPTIMAL,7,0.00103278,0.00287716,0.00390994,45.36719
c21_4_d1.col,21,105,11,231,1386,OPTIMAL,9,0.00150307,0.00313631,0.00463938,45.91797
c21_4_d2.col,21,105,11,231,1386,OPTIMAL,9,0.00137308,0.00220396,0.00357704,45.48438
c21_5_d1.col,21,105,8,168,1008,OPTIMAL,7,0.00107389,0.00212765,0.00320154,45.49219
c21_5_d2.col,21,105,8,168,1008,OPTIMAL,7,0.00114128,0.00204606,0.00318734,45.91797
c21_6_d1.col,21,105,11,231,1386,OPTIMAL,9,0.00125108,0.00211044,0.00336152,45.42188
c21_6_d2.col,21,105,11,231,1386,OPTIMAL,9,0.00129064,0.00231594,0.00360658,45.91797
c21_7_d1.col,21,105,8,168,1008,OPTIMAL,7,0.00105468,0.00200935,0.00306403,45.41797
c21_7_d2.col,21,105,8,168,1008,OPTIMAL,7,0.00105121,0.00285357,0.00390478,45.36719
c21_8_d1.col,21,105,11,231,1386,OPTIMAL,9,0.00147747,0.00312017,0.00459764,45.85547
c21_8_d2.col,21,105,11,231,1386,OPTIMAL,9,0.00140904,0.00247943,0.00388846,45.36719
c55_1_d1.col,55,362,8,440,3336,OPTIMAL,7,0.00245657,0.003578,0.00603457,45.85547
c55_2_d2.col,55,362,8,440,3336,OPTIMAL,7,0.00265628,0.00350107,0.00615735,45.55469
