name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,60508,OPTIMAL,50,0.0459528,0.360127,0.40608,69.37891
GEOM100a.col,100,992,91,18200,126572,OPTIMAL,66,0.100649,140.639,140.739,130.55469
GEOM100b.col,100,1050,121,24200,175350,OPTIMAL,71,0.137671,155.329,155.467,137.55078
GEOM110.col,110,638,64,14080,68882,OPTIMAL,50,0.052815,0.413916,0.466731,70.06641
GEOM110a.col,110,1207,109,23980,179413,OPTIMAL,69,0.141475,99.7683,99.9098,161.26172
GEOM110b.col,110,1256,121,26620,205106,OPTIMAL,77,0.162743,564.407,564.569,213.91406
GEOM120.col,120,773,73,17520,91349,OPTIMAL,59,0.0717918,1.60856,1.68035,80.95312
GEOM120a.col,120,1434,109,26160,208506,OPTIMAL,82,0.170767,248.461,248.632,152.42188
GEOM120b.col,120,1491,123,29520,242313,SATISFIABLE,83,0.195439,3599.81,3600.0,310.99219
GEOM20.col,20,20,24,960,2380,OPTIMAL,21,0.00231135,0.000916043,0.00322739,45.78125
GEOM20a.col,20,37,24,960,2788,OPTIMAL,20,0.00243461,0.000783071,0.00321768,45.60547
GEOM20b.col,20,32,16,640,1772,OPTIMAL,13,0.00166314,0.000459753,0.00212289,45.83594
GEOM30.col,30,50,33,1980,5580,OPTIMAL,28,0.00431652,0.0027932,0.00710972,45.83594
GEOM30a.col,30,81,32,1920,6402,OPTIMAL,27,0.00424355,0.0026242,0.00686775,45.90625
GEOM30b.col,30,81,27,1620,5397,OPTIMAL,26,0.00538986,0.00122503,0.00661489,45.60547
GEOM40.col,40,78,33,2640,7814,OPTIMAL,28,0.00686843,0.00349015,0.0103586,45.34766
GEOM40a.col,40,146,50,4000,15260,OPTIMAL,37,0.0113366,0.0231295,0.0344661,45.41797
GEOM40b.col,40,157,40,3200,12640,OPTIMAL,33,0.00931239,0.0118509,0.0211632,45.41797
GEOM50.col,50,127,36,3600,11722,OPTIMAL,28,0.00884294,0.00327821,0.0121211,45.35547
GEOM50a.col,50,238,61,6100,26668,OPTIMAL,50,0.0197725,0.330751,0.350524,61.38281
GEOM50b.col,50,249,54,5400,24196,OPTIMAL,35,0.0240214,0.191875,0.215897,59.88281
GEOM60.col,60,185,36,4320,15240,OPTIMAL,33,0.0158319,0.00340041,0.0192324,45.34766
GEOM60a.col,60,339,61,7320,35259,OPTIMAL,50,0.0271432,0.294572,0.321715,63.78125
GEOM60b.col,60,366,63,7560,38118,OPTIMAL,41,0.0281759,0.490443,0.518619,64.59375
GEOM70.col,70,267,44,6160,23998,OPTIMAL,38,0.0178045,0.022253,0.0400575,45.29297
GEOM70a.col,70,459,72,10080,53138,OPTIMAL,61,0.0403013,2.35701,2.39731,67.30469
GEOM70b.col,70,488,76,10640,58298,OPTIMAL,47,0.0437283,1.92389,1.96762,72.74219
GEOM80.col,80,349,54,8640,36046,OPTIMAL,41,0.0303479,0.053823,0.0841709,45.35547
GEOM80a.col,80,612,79,12640,73548,OPTIMAL,63,0.0579262,6.1615,6.21942,94.91797
GEOM80b.col,80,663,98,15680,96254,OPTIMAL,60,0.0758193,3.37501,3.45083,98.74219
GEOM90.col,90,441,54,9720,43164,OPTIMAL,46,0.0341794,0.0559827,0.0901622,45.96875
GEOM90a.col,90,789,80,14400,91830,OPTIMAL,63,0.0722551,5.68883,5.76108,101.26172
GEOM90b.col,90,860,109,19620,132890,OPTIMAL,69,0.105278,15.1878,15.293,109.85938
c21_1_d1.col,21,105,8,336,1491,OPTIMAL,7,0.00116497,0.00573642,0.00690139,45.71875
c21_1_d2.col,21,105,8,336,1491,OPTIMAL,7,0.00112197,0.00418959,0.00531156,45.41797
c21_2_d1.col,21,105,11,462,2058,OPTIMAL,9,0.00116548,0.00473741,0.00590288,45.96875
c21_2_d2.col,21,105,11,462,2058,OPTIMAL,9,0.00169904,0.00516067,0.00685971,45.89844
c21_3_d1.col,21,105,8,336,1491,OPTIMAL,7,0.00112534,0.00573936,0.0068647,45.41016
c21_3_d2.col,21,105,8,336,1491,OPTIMAL,7,0.00114349,0.00580617,0.00694967,45.41797
c21_4_d1.col,21,105,11,462,2058,OPTIMAL,9,0.00118661,0.00499945,0.00618607,45.35547
c21_4_d2.col,21,105,11,462,2058,OPTIMAL,9,0.00174321,0.00486792,0.00661113,45.47266
c21_5_d1.col,21,105,8,336,1491,OPTIMAL,7,0.00115604,0.00456995,0.00572599,45.90625
c21_5_d2.col,21,105,8,336,1491,OPTIMAL,7,0.001133,0.00579424,0.00692724,45.41797
c21_6_d1.col,21,105,11,462,2058,OPTIMAL,9,0.00146749,0.00512492,0.00659241,45.83594
c21_6_d2.col,21,105,11,462,2058,OPTIMAL,9,0.00173125,0.00507271,0.00680396,45.41797
c21_7_d1.col,21,105,8,336,1491,OPTIMAL,7,0.00113412,0.00427217,0.00540629,45.70703
c21_7_d2.col,21,105,8,336,1491,OPTIMAL,7,0.0011786,0.00586269,0.00704128,45.41797
c21_8_d1.col,21,105,11,462,2058,OPTIMAL,9,0.00161517,0.0051175,0.00673266,45.90625
c21_8_d2.col,21,105,11,462,2058,OPTIMAL,9,0.00172126,0.00732511,0.00904637,45.35547
c55_1_d1.col,55,362,8,880,4601,OPTIMAL,7,0.00272185,0.00390658,0.00662843,45.35547
c55_2_d2.col,55,362,8,880,4601,OPTIMAL,7,0.00359863,0.00449912,0.00809775,45.66797
