name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,60508,OPTIMAL,50,0.0555488,0.457074,0.512623,68.67969
GEOM100a.col,100,992,91,18200,126572,OPTIMAL,66,0.101608,327.111,327.213,182.70703
GEOM100b.col,100,1050,121,24200,175350,OPTIMAL,71,0.145019,90.6952,90.8403,135.46094
GEOM110.col,110,638,64,14080,68882,OPTIMAL,50,0.0563474,0.427435,0.483782,71.20312
GEOM110a.col,110,1207,109,23980,179413,OPTIMAL,69,0.148418,93.6968,93.8452,145.52344
GEOM110b.col,110,1256,121,26620,205106,OPTIMAL,77,0.168104,655.657,655.825,192.58594
GEOM120.col,120,773,73,17520,91349,OPTIMAL,59,0.0788465,1.54903,1.62788,80.30859
GEOM120a.col,120,1434,109,26160,208506,OPTIMAL,82,0.169871,290.961,291.131,169.66016
GEOM120b.col,120,1491,123,29520,242313,SATISFIABLE,83,0.197351,3599.8,3600.0,306.16406
GEOM20.col,20,20,24,960,2380,OPTIMAL,21,0.00174822,0.000902459,0.00265068,45.4375
GEOM20a.col,20,37,24,960,2788,OPTIMAL,20,0.00219345,0.000738271,0.00293172,45.375
GEOM20b.col,20,32,16,640,1772,OPTIMAL,13,0.00169478,0.000569348,0.00226413,45.37109
GEOM30.col,30,50,33,1980,5580,OPTIMAL,28,0.00570224,0.00410351,0.00980576,45.37109
GEOM30a.col,30,81,32,1920,6402,OPTIMAL,27,0.00603882,0.00242703,0.00846584,45.375
GEOM30b.col,30,81,27,1620,5397,OPTIMAL,26,0.00548044,0.00114043,0.00662087,45.1875
GEOM40.col,40,78,33,2640,7814,OPTIMAL,28,0.00826378,0.00491404,0.0131778,44.625
GEOM40a.col,40,146,50,4000,15260,OPTIMAL,37,0.0132603,0.0272926,0.0405528,45.3125
GEOM40b.col,40,157,40,3200,12640,OPTIMAL,33,0.00967427,0.0113127,0.0209869,45.4375
GEOM50.col,50,127,36,3600,11722,OPTIMAL,28,0.0126599,0.00531801,0.0179779,45.375
GEOM50a.col,50,238,61,6100,26668,OPTIMAL,50,0.025182,0.367572,0.392755,60.32031
GEOM50b.col,50,249,54,5400,24196,OPTIMAL,35,0.0181623,0.133618,0.151781,59.15625
GEOM60.col,60,185,36,4320,15240,OPTIMAL,33,0.0160543,0.0035671,0.0196214,45.92188
GEOM60a.col,60,339,61,7320,35259,OPTIMAL,50,0.0262193,0.356376,0.382595,61.76172
GEOM60b.col,60,366,63,7560,38118,OPTIMAL,41,0.0288009,0.396771,0.425572,62.83984
GEOM70.col,70,267,44,6160,23998,OPTIMAL,38,0.0179247,0.0196574,0.0375821,45.375
GEOM70a.col,70,459,72,10080,53138,OPTIMAL,61,0.0414198,1.88153,1.92295,67.23438
GEOM70b.col,70,488,76,10640,58298,OPTIMAL,47,0.0446602,1.49575,1.54041,68.25781
GEOM80.col,80,349,54,8640,36046,OPTIMAL,41,0.0282324,0.0459419,0.0741743,45.4375
GEOM80a.col,80,612,79,12640,73548,OPTIMAL,63,0.0589001,5.78309,5.84199,96.63281
GEOM80b.col,80,663,98,15680,96254,OPTIMAL,60,0.0765944,3.10561,3.18221,99.90625
GEOM90.col,90,441,54,9720,43164,OPTIMAL,46,0.0396619,0.0564272,0.0960891,45.4375
GEOM90a.col,90,789,80,14400,91830,OPTIMAL,63,0.0732946,6.11628,6.18958,102.80469
GEOM90b.col,90,860,109,19620,132890,OPTIMAL,69,0.109265,36.3768,36.4861,117.48047
c21_1_d1.col,21,105,8,336,1491,OPTIMAL,7,0.00134041,0.00420737,0.00554778,45.86328
c21_1_d2.col,21,105,8,336,1491,OPTIMAL,7,0.00131739,0.00421889,0.00553628,45.4375
c21_2_d1.col,21,105,11,462,2058,OPTIMAL,9,0.00184859,0.0061333,0.00798189,45.375
c21_2_d2.col,21,105,11,462,2058,OPTIMAL,9,0.00188318,0.00468306,0.00656625,45.92188
c21_3_d1.col,21,105,8,336,1491,OPTIMAL,7,0.00093295,0.0028019,0.00373485,45.79688
c21_3_d2.col,21,105,8,336,1491,OPTIMAL,7,0.000961323,0.00289096,0.00385229,45.5625
c21_4_d1.col,21,105,11,462,2058,OPTIMAL,9,0.00189322,0.00610379,0.00799701,45.125
c21_4_d2.col,21,105,11,462,2058,OPTIMAL,9,0.00186334,0.00606571,0.00792905,45.49609
c21_5_d1.col,21,105,8,336,1491,OPTIMAL,7,0.00128723,0.0029745,0.00426173,45.375
c21_5_d2.col,21,105,8,336,1491,OPTIMAL,7,0.000949702,0.00289365,0.00384335,45.5625
c21_6_d1.col,21,105,11,462,2058,OPTIMAL,9,0.00166634,0.00429405,0.00596039,45.37109
c21_6_d2.col,21,105,11,462,2058,OPTIMAL,9,0.00190381,0.00615532,0.00805913,45.375
c21_7_d1.col,21,105,8,336,1491,OPTIMAL,7,0.00133414,0.00430417,0.00563831,45.55469
c21_7_d2.col,21,105,8,336,1491,OPTIMAL,7,0.00134959,0.00427146,0.00562105,45.375
c21_8_d1.col,21,105,11,462,2058,OPTIMAL,9,0.0019379,0.00611767,0.00805557,45.4375
c21_8_d2.col,21,105,11,462,2058,OPTIMAL,9,0.00150757,0.00431131,0.00581889,45.5
c55_1_d1.col,55,362,8,880,4601,OPTIMAL,7,0.00424455,0.0102426,0.0144871,45.86328
c55_2_d2.col,55,362,8,880,4601,OPTIMAL,7,0.00436007,0.00773218,0.0120922,45.5625
