name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,60509,OPTIMAL,50,0.0461483,0.415976,0.462124,68.78125
GEOM100a.col,100,992,91,18200,126573,OPTIMAL,66,0.100008,158.338,158.438,133.11719
GEOM100b.col,100,1050,121,24200,175351,OPTIMAL,71,0.140204,78.9865,79.1267,141.56641
GEOM110.col,110,638,64,14080,68883,OPTIMAL,50,0.0548228,0.363796,0.418618,72.37109
GEOM110a.col,110,1207,109,23980,179414,OPTIMAL,69,0.141662,178.143,178.284,156.74219
GEOM110b.col,110,1256,121,26620,205107,OPTIMAL,77,0.164791,614.735,614.9,195.71094
GEOM120.col,120,773,73,17520,91350,OPTIMAL,59,0.0718919,1.39122,1.46311,77.31641
GEOM120a.col,120,1434,109,26160,208507,OPTIMAL,82,0.171056,290.84,291.011,167.66406
GEOM120b.col,120,1491,123,29520,242314,SATISFIABLE,83,0.19326,3599.81,3600.0,320.47266
GEOM20.col,20,20,24,960,2381,OPTIMAL,21,0.00172823,0.000977386,0.00270562,45.37109
GEOM20a.col,20,37,24,960,2789,OPTIMAL,20,0.00243238,0.000861786,0.00329416,45.79688
GEOM20b.col,20,32,16,640,1773,OPTIMAL,13,0.0016282,0.00056254,0.00219074,45.36719
GEOM30.col,30,50,33,1980,5581,OPTIMAL,28,0.00490961,0.00291337,0.00782298,45.24219
GEOM30a.col,30,81,32,1920,6403,OPTIMAL,27,0.00593719,0.00201583,0.00795302,45.37109
GEOM30b.col,30,81,27,1620,5398,OPTIMAL,26,0.00449809,0.000846736,0.00534483,45.92188
GEOM40.col,40,78,33,2640,7815,OPTIMAL,28,0.00823818,0.00494567,0.0131838,45.36719
GEOM40a.col,40,146,50,4000,15261,OPTIMAL,37,0.0113248,0.0230116,0.0343364,45.37109
GEOM40b.col,40,157,40,3200,12641,OPTIMAL,33,0.00946973,0.00722317,0.0166929,45.49609
GEOM50.col,50,127,36,3600,11723,OPTIMAL,28,0.00942625,0.0033922,0.0128185,45.43359
GEOM50a.col,50,238,61,6100,26669,OPTIMAL,50,0.0225785,0.336207,0.358785,60.53906
GEOM50b.col,50,249,54,5400,24197,OPTIMAL,35,0.0180826,0.0749442,0.0930269,45.43359
GEOM60.col,60,185,36,4320,15241,OPTIMAL,33,0.0153342,0.00350691,0.0188411,45.91797
GEOM60a.col,60,339,61,7320,35260,OPTIMAL,50,0.0260815,0.30622,0.332302,63.50781
GEOM60b.col,60,366,63,7560,38119,OPTIMAL,41,0.0295884,0.899009,0.928597,63.35156
GEOM70.col,70,267,44,6160,23999,OPTIMAL,38,0.0178504,0.0215446,0.039395,45.79688
GEOM70a.col,70,459,72,10080,53139,OPTIMAL,61,0.0442922,1.72407,1.76836,67.42969
GEOM70b.col,70,488,76,10640,58299,OPTIMAL,47,0.0439357,2.14029,2.18423,72.32031
GEOM80.col,80,349,54,8640,36047,OPTIMAL,41,0.0273872,0.0429434,0.0703306,45.92188
GEOM80a.col,80,612,79,12640,73549,OPTIMAL,63,0.0594368,3.60027,3.6597,92.83594
GEOM80b.col,80,663,98,15680,96255,OPTIMAL,60,0.0744795,3.10171,3.17619,98.84375
GEOM90.col,90,441,54,9720,43165,OPTIMAL,46,0.0330665,0.16643,0.199497,62.96875
GEOM90a.col,90,789,80,14400,91831,OPTIMAL,63,0.0698947,5.80958,5.87947,102.28125
GEOM90b.col,90,860,109,19620,132891,OPTIMAL,69,0.111055,26.5364,26.6474,111.23047
c21_1_d1.col,21,105,8,336,1492,OPTIMAL,7,0.00112328,0.006096,0.00721928,45.30859
c21_1_d2.col,21,105,8,336,1492,OPTIMAL,7,0.00109914,0.00521813,0.00631726,45.43359
c21_2_d1.col,21,105,11,462,2059,OPTIMAL,9,0.00120392,0.00144308,0.00264701,45.43359
c21_2_d2.col,21,105,11,462,2059,OPTIMAL,9,0.00170918,0.00146848,0.00317765,45.73047
c21_3_d1.col,21,105,8,336,1492,OPTIMAL,7,0.00113478,0.00744006,0.00857484,45.36719
c21_3_d2.col,21,105,8,336,1492,OPTIMAL,7,0.00113506,0.00548528,0.00662034,45.37109
c21_4_d1.col,21,105,11,462,2059,OPTIMAL,9,0.00172012,0.00204576,0.00376587,45.37109
c21_4_d2.col,21,105,11,462,2059,OPTIMAL,9,0.00132923,0.00153747,0.0028667,45.36719
c21_5_d1.col,21,105,8,336,1492,OPTIMAL,7,0.00113129,0.00682563,0.00795691,46.04688
c21_5_d2.col,21,105,8,336,1492,OPTIMAL,7,0.00105696,0.00526147,0.00631843,45.37109
c21_6_d1.col,21,105,11,462,2059,OPTIMAL,9,0.00173323,0.00209603,0.00382925,45.36719
c21_6_d2.col,21,105,11,462,2059,OPTIMAL,9,0.00158679,0.00165891,0.0032457,45.43359
c21_7_d1.col,21,105,8,336,1492,OPTIMAL,7,0.00116684,0.00745242,0.00861926,45.78906
c21_7_d2.col,21,105,8,336,1492,OPTIMAL,7,0.00104761,0.0051955,0.00624311,45.37109
c21_8_d1.col,21,105,11,462,2059,OPTIMAL,9,0.00170404,0.0019745,0.00367854,45.24609
c21_8_d2.col,21,105,11,462,2059,OPTIMAL,9,0.00152868,0.00141347,0.00294215,45.85938
c55_1_d1.col,55,362,8,880,4602,OPTIMAL,7,0.00347153,0.00431957,0.0077911,45.43359
c55_2_d2.col,55,362,8,880,4602,OPTIMAL,7,0.00251875,0.00321119,0.00572995,45.37109
