name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,60509,OPTIMAL,50,0.046391,0.385037,0.431428,68.95703
GEOM100a.col,100,992,91,18200,126573,OPTIMAL,66,0.102136,146.664,146.766,132.46484
GEOM100b.col,100,1050,121,24200,175351,OPTIMAL,71,0.143089,146.05,146.194,136.71484
GEOM110.col,110,638,64,14080,68883,OPTIMAL,50,0.0539219,0.393537,0.447458,72.38672
GEOM110a.col,110,1207,109,23980,179414,OPTIMAL,69,0.145571,115.247,115.393,150.65625
GEOM110b.col,110,1256,121,26620,205107,OPTIMAL,77,0.171899,630.497,630.669,189.91406
GEOM120.col,120,773,73,17520,91350,OPTIMAL,59,0.0749016,1.45933,1.53423,81.02344
GEOM120a.col,120,1434,109,26160,208507,OPTIMAL,82,0.172125,322.585,322.757,168.12891
GEOM120b.col,120,1491,123,29520,242314,SATISFIABLE,83,0.196919,3599.8,3600.0,311.51953
GEOM20.col,20,20,24,960,2381,OPTIMAL,21,0.00234291,0.000799376,0.00314229,45.42969
GEOM20a.col,20,37,24,960,2789,OPTIMAL,20,0.00270525,0.000911146,0.00361639,45.91797
GEOM20b.col,20,32,16,640,1773,OPTIMAL,13,0.00114228,0.000413222,0.0015555,45.91406
GEOM30.col,30,50,33,1980,5581,OPTIMAL,28,0.00575969,0.00422152,0.00998121,45.36328
GEOM30a.col,30,81,32,1920,6403,OPTIMAL,27,0.00477557,0.00214321,0.00691878,45.79297
GEOM30b.col,30,81,27,1620,5398,OPTIMAL,26,0.00411495,0.000652563,0.00476752,45.73047
GEOM40.col,40,78,33,2640,7815,OPTIMAL,28,0.00841391,0.00352922,0.0119431,45.36328
GEOM40a.col,40,146,50,4000,15261,OPTIMAL,37,0.0118519,0.0273815,0.0392334,45.36719
GEOM40b.col,40,157,40,3200,12641,OPTIMAL,33,0.00915979,0.00733905,0.0164988,45.85547
GEOM50.col,50,127,36,3600,11723,OPTIMAL,28,0.0104255,0.00350491,0.0139304,45.30469
GEOM50a.col,50,238,61,6100,26669,OPTIMAL,50,0.0214705,0.365803,0.387274,60.34375
GEOM50b.col,50,249,54,5400,24197,OPTIMAL,35,0.0181895,0.0540159,0.0722055,45.36719
GEOM60.col,60,185,36,4320,15241,OPTIMAL,33,0.0142816,0.0037118,0.0179934,45.36328
GEOM60a.col,60,339,61,7320,35260,OPTIMAL,50,0.026367,0.301831,0.328198,63.70703
GEOM60b.col,60,366,63,7560,38119,OPTIMAL,41,0.0306135,0.65776,0.688374,63.03906
GEOM70.col,70,267,44,6160,23999,OPTIMAL,38,0.0260081,0.0196396,0.0456477,45.36719
GEOM70a.col,70,459,72,10080,53139,OPTIMAL,61,0.0459654,1.58566,1.63162,68.78125
GEOM70b.col,70,488,76,10640,58299,OPTIMAL,47,0.0467805,1.8808,1.92758,67.53125
GEOM80.col,80,349,54,8640,36047,OPTIMAL,41,0.0288006,0.0464515,0.0752521,45.42969
GEOM80a.col,80,612,79,12640,73549,OPTIMAL,63,0.0581029,3.76498,3.82308,99.40625
GEOM80b.col,80,663,98,15680,96255,OPTIMAL,60,0.0770499,4.51862,4.59567,99.54688
GEOM90.col,90,441,54,9720,43165,OPTIMAL,46,0.0356684,0.143296,0.178964,63.04688
GEOM90a.col,90,789,80,14400,91831,OPTIMAL,63,0.0735044,5.97621,6.04972,101.51172
GEOM90b.col,90,860,109,19620,132891,OPTIMAL,69,0.10712,30.9567,31.0638,115.04297
c21_1_d1.col,21,105,8,336,1492,OPTIMAL,7,0.00132024,0.00338171,0.00470194,45.36719
c21_1_d2.col,21,105,8,336,1492,OPTIMAL,7,0.00135641,0.00250505,0.00386146,45.42969
c21_2_d1.col,21,105,11,462,2059,OPTIMAL,9,0.0018506,0.00292209,0.00477268,45.36719
c21_2_d2.col,21,105,11,462,2059,OPTIMAL,9,0.00193177,0.00302172,0.00495349,45.42578
c21_3_d1.col,21,105,8,336,1492,OPTIMAL,7,0.00113286,0.00246044,0.0035933,45.36328
c21_3_d2.col,21,105,8,336,1492,OPTIMAL,7,0.00133058,0.00333297,0.00466355,45.55469
c21_4_d1.col,21,105,11,462,2059,OPTIMAL,9,0.00192615,0.00273876,0.00466491,45.42969
c21_4_d2.col,21,105,11,462,2059,OPTIMAL,9,0.00185507,0.00296231,0.00481738,45.85156
c21_5_d1.col,21,105,8,336,1492,OPTIMAL,7,0.00131433,0.00321517,0.0045295,45.36719
c21_5_d2.col,21,105,8,336,1492,OPTIMAL,7,0.00131775,0.00238507,0.00370282,44.55859
c21_6_d1.col,21,105,11,462,2059,OPTIMAL,9,0.00175694,0.00220052,0.00395746,45.36328
c21_6_d2.col,21,105,11,462,2059,OPTIMAL,9,0.00186892,0.00262841,0.00449733,45.36719
c21_7_d1.col,21,105,8,336,1492,OPTIMAL,7,0.00133,0.00336127,0.00469127,45.48438
c21_7_d2.col,21,105,8,336,1492,OPTIMAL,7,0.00133812,0.00319051,0.00452863,45.36719
c21_8_d1.col,21,105,11,462,2059,OPTIMAL,9,0.00190539,0.00289848,0.00480388,45.73047
c21_8_d2.col,21,105,11,462,2059,OPTIMAL,9,0.00188352,0.00294702,0.00483053,45.30469
c55_1_d1.col,55,362,8,880,4602,OPTIMAL,7,0.00427386,0.00561406,0.00988792,45.36719
c55_2_d2.col,55,362,8,880,4602,OPTIMAL,7,0.00328619,0.00385138,0.00713758,45.49219
