name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,9800,46303,OPTIMAL,50,0.656756,0.377187,1.03394,68.01953
GEOM100a.col,100,992,91,13000,90380,OPTIMAL,66,2.32678,232.237,234.563,127.57422
GEOM100b.col,100,1050,121,14000,101400,OPTIMAL,71,5.54063,83.9127,89.4533,119.74609
GEOM110.col,110,638,64,10780,52712,OPTIMAL,50,0.743364,0.489775,1.23314,69.67578
GEOM110a.col,110,1207,109,14960,111886,OPTIMAL,69,4.89538,233.352,238.248,156.47266
GEOM110b.col,110,1256,121,16720,128786,OPTIMAL,77,6.1335,257.111,263.244,147.05078
GEOM120.col,120,773,73,13920,72554,OPTIMAL,59,1.01702,2.0974,3.11442,75.40625
GEOM120a.col,120,1434,109,19440,154914,OPTIMAL,82,4.15033,125.868,130.019,123.73438
GEOM120b.col,120,1491,123,19680,161502,OPTIMAL,83,6.87559,2101.14,2108.02,248.90234
GEOM20.col,20,20,24,800,1980,OPTIMAL,21,0.0100697,0.00173642,0.0118061,45.875
GEOM20a.col,20,37,24,760,2203,OPTIMAL,20,0.0094144,0.00173175,0.0111462,45.9375
GEOM20b.col,20,32,16,480,1324,OPTIMAL,13,0.00452307,0.000923131,0.0054462,45.37891
GEOM30.col,30,50,33,1620,4560,OPTIMAL,28,0.0236439,0.00369915,0.0273431,45.37891
GEOM30a.col,30,81,32,1560,5196,OPTIMAL,27,0.0261781,0.0038152,0.0299933,45.38672
GEOM30b.col,30,81,27,1500,4995,OPTIMAL,26,0.0101934,0.00127089,0.0114643,45.38672
GEOM40.col,40,78,33,2160,6386,OPTIMAL,28,0.0332244,0.00375801,0.0369824,45.37891
GEOM40a.col,40,146,50,2880,10976,OPTIMAL,37,0.131347,0.0357625,0.16711,55.14453
GEOM40b.col,40,157,40,2560,10104,OPTIMAL,33,0.068377,0.0187144,0.0870914,44.76172
GEOM50.col,50,127,36,2700,8779,OPTIMAL,28,0.0762324,0.00680673,0.0830391,45.38672
GEOM50a.col,50,238,61,4900,21412,OPTIMAL,50,0.222058,0.323168,0.545226,59.92969
GEOM50b.col,50,249,54,3400,15216,OPTIMAL,35,0.287444,0.111025,0.398469,57.03906
GEOM60.col,60,185,36,3840,13540,OPTIMAL,33,0.0495342,0.00670965,0.0562439,45.86719
GEOM60a.col,60,339,61,5880,28311,OPTIMAL,50,0.295231,0.334495,0.629726,61.87109
GEOM60b.col,60,366,63,4800,24180,OPTIMAL,41,0.527362,1.03539,1.56275,62.16016
GEOM70.col,70,267,44,5180,20169,OPTIMAL,38,0.124279,0.0295194,0.153799,57.04297
GEOM70a.col,70,459,72,8400,44270,OPTIMAL,61,0.477669,2.30996,2.78763,68.12109
GEOM70b.col,70,488,76,6440,35258,OPTIMAL,47,1.05919,2.60768,3.66687,65.24609
GEOM80.col,80,349,54,6400,26680,OPTIMAL,41,0.352073,0.0729782,0.425051,59.82812
GEOM80a.col,80,612,79,9920,57704,OPTIMAL,63,0.914353,5.26245,6.1768,99.38672
GEOM80b.col,80,663,98,9440,57917,OPTIMAL,60,2.3513,4.58437,6.93567,101.73438
GEOM90.col,90,441,54,8100,35955,OPTIMAL,46,0.297015,0.0827695,0.379784,61.09375
GEOM90a.col,90,789,80,11160,71148,OPTIMAL,63,1.18174,6.77019,7.95193,104.95703
GEOM90b.col,90,860,109,12240,82870,OPTIMAL,69,3.49537,28.6677,32.1631,105.36328
c21_1_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00218188,0.00267913,0.00486101,45.38281
c21_1_d2.col,21,105,8,252,1113,OPTIMAL,7,0.0022629,0.00263242,0.00489532,45.44922
c21_2_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00458751,0.00342626,0.00801377,45.44922
c21_2_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00480359,0.00335733,0.00816093,45.37891
c21_3_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00195078,0.00270237,0.00465315,45.86719
c21_3_d2.col,21,105,8,252,1113,OPTIMAL,7,0.0019391,0.00269333,0.00463243,45.38672
c21_4_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00426595,0.00323155,0.0074975,45.38672
c21_4_d2.col,21,105,11,336,1491,OPTIMAL,9,0.005453,0.00394565,0.00939865,45.86719
c21_5_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00276004,0.00376077,0.00652081,45.57422
c21_5_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00277096,0.00395006,0.00672102,45.38672
c21_6_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00415144,0.00317076,0.0073222,45.37891
c21_6_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00376047,0.00319769,0.00695816,45.9375
c21_7_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00278488,0.00332251,0.00610739,45.72656
c21_7_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00240246,0.00266616,0.00506862,45.9375
c21_8_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00400899,0.00314384,0.00715283,45.38672
c21_8_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00415187,0.00299785,0.00714972,45.875
c55_1_d1.col,55,362,8,660,3437,OPTIMAL,7,0.00596449,0.00341589,0.00938038,46.0
c55_2_d2.col,55,362,8,660,3437,OPTIMAL,7,0.00881795,0.00475897,0.0135769,45.57422
