name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,60508,OPTIMAL,50,0.0484272,0.467617,0.516044,68.28516
GEOM100a.col,100,992,91,18200,126572,OPTIMAL,66,0.103524,162.189,162.293,138.09375
GEOM100b.col,100,1050,121,24200,175350,OPTIMAL,71,0.14674,96.2504,96.3971,126.45312
GEOM110.col,110,638,64,14080,68882,OPTIMAL,50,0.05458,0.471376,0.525956,70.23438
GEOM110a.col,110,1207,109,23980,179413,OPTIMAL,69,0.151029,135.475,135.626,154.44141
GEOM110b.col,110,1256,121,26620,205106,OPTIMAL,77,0.168003,634.175,634.343,192.03516
GEOM120.col,120,773,73,17520,91349,OPTIMAL,59,0.0745172,1.47778,1.55229,79.41016
GEOM120a.col,120,1434,109,26160,208506,OPTIMAL,82,0.173148,379.526,379.699,163.26953
GEOM120b.col,120,1491,123,29520,242313,SATISFIABLE,83,0.200253,3599.8,3600.0,309.90234
GEOM20.col,20,20,24,960,2380,OPTIMAL,21,0.00161259,0.00104779,0.00266038,45.42969
GEOM20a.col,20,37,24,960,2788,OPTIMAL,20,0.00262137,0.00111677,0.00373814,45.85547
GEOM20b.col,20,32,16,640,1772,OPTIMAL,13,0.00161708,0.000554213,0.00217129,45.97266
GEOM30.col,30,50,33,1980,5580,OPTIMAL,28,0.00417729,0.00253243,0.00670972,45.35938
GEOM30a.col,30,81,32,1920,6402,OPTIMAL,27,0.00446567,0.00258529,0.00705095,45.85547
GEOM30b.col,30,81,27,1620,5397,OPTIMAL,26,0.00526903,0.00136221,0.00663124,45.85547
GEOM40.col,40,78,33,2640,7814,OPTIMAL,28,0.00586569,0.00298226,0.00884794,45.42188
GEOM40a.col,40,146,50,4000,15260,OPTIMAL,37,0.0111922,0.0243605,0.0355527,45.42969
GEOM40b.col,40,157,40,3200,12640,OPTIMAL,33,0.0134294,0.0185436,0.031973,45.73047
GEOM50.col,50,127,36,3600,11722,OPTIMAL,28,0.0111166,0.00430845,0.0154251,45.42969
GEOM50a.col,50,238,61,6100,26668,OPTIMAL,50,0.0193712,0.391499,0.41087,60.12109
GEOM50b.col,50,249,54,5400,24196,OPTIMAL,35,0.0176974,0.207283,0.22498,58.69141
GEOM60.col,60,185,36,4320,15240,OPTIMAL,33,0.0113736,0.00353778,0.0149114,45.42188
GEOM60a.col,60,339,61,7320,35259,OPTIMAL,50,0.0261046,0.33044,0.356544,61.52344
GEOM60b.col,60,366,63,7560,38118,OPTIMAL,41,0.0279491,1.40448,1.43243,63.92578
GEOM70.col,70,267,44,6160,23998,OPTIMAL,38,0.0223045,0.0230867,0.0453911,45.85547
GEOM70a.col,70,459,72,10080,53138,OPTIMAL,61,0.0442326,2.11719,2.16142,69.54688
GEOM70b.col,70,488,76,10640,58298,OPTIMAL,47,0.0444794,1.61363,1.65811,67.91016
GEOM80.col,80,349,54,8640,36046,OPTIMAL,41,0.032194,0.0473224,0.0795163,45.42969
GEOM80a.col,80,612,79,12640,73548,OPTIMAL,63,0.0617782,6.35626,6.41803,99.19141
GEOM80b.col,80,663,98,15680,96254,OPTIMAL,60,0.0798997,4.37797,4.45787,99.85938
GEOM90.col,90,441,54,9720,43164,OPTIMAL,46,0.0423327,0.0729979,0.115331,62.78125
GEOM90a.col,90,789,80,14400,91830,OPTIMAL,63,0.0744908,7.04058,7.11507,101.46094
GEOM90b.col,90,860,109,19620,132890,OPTIMAL,69,0.109668,34.0831,34.1927,112.26562
c21_1_d1.col,21,105,8,336,1491,OPTIMAL,7,0.000798466,0.00504416,0.00584262,45.85547
c21_1_d2.col,21,105,8,336,1491,OPTIMAL,7,0.0011294,0.00684258,0.00797198,45.36719
c21_2_d1.col,21,105,11,462,2058,OPTIMAL,9,0.00119048,0.00480731,0.0059978,45.42969
c21_2_d2.col,21,105,11,462,2058,OPTIMAL,9,0.00144572,0.00470345,0.00614918,45.97266
c21_3_d1.col,21,105,8,336,1491,OPTIMAL,7,0.00109414,0.00677926,0.0078734,45.42188
c21_3_d2.col,21,105,8,336,1491,OPTIMAL,7,0.00112851,0.00622587,0.00735438,45.42969
c21_4_d1.col,21,105,11,462,2058,OPTIMAL,9,0.00171797,0.0048657,0.00658368,45.91797
c21_4_d2.col,21,105,11,462,2058,OPTIMAL,9,0.00166369,0.0066419,0.0083056,45.91016
c21_5_d1.col,21,105,8,336,1491,OPTIMAL,7,0.00110447,0.00680398,0.00790845,45.36719
c21_5_d2.col,21,105,8,336,1491,OPTIMAL,7,0.000761492,0.00478823,0.00554972,45.36719
c21_6_d1.col,21,105,11,462,2058,OPTIMAL,9,0.00158764,0.00475844,0.00634607,45.35938
c21_6_d2.col,21,105,11,462,2058,OPTIMAL,9,0.00168502,0.00696221,0.00864723,45.85547
c21_7_d1.col,21,105,8,336,1491,OPTIMAL,7,0.00112961,0.00487734,0.00600695,45.54297
c21_7_d2.col,21,105,8,336,1491,OPTIMAL,7,0.0010944,0.00679183,0.00788623,45.85547
c21_8_d1.col,21,105,11,462,2058,OPTIMAL,9,0.00157164,0.00520668,0.00677833,45.36719
c21_8_d2.col,21,105,11,462,2058,OPTIMAL,9,0.00167008,0.0070556,0.00872568,45.36719
c55_1_d1.col,55,362,8,880,4601,OPTIMAL,7,0.00256954,0.00429781,0.00686736,45.85547
c55_2_d2.col,55,362,8,880,4601,OPTIMAL,7,0.00344947,0.00427534,0.00772481,45.79297
