name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,60508,OPTIMAL,50,0.0480847,0.513339,0.561424,69.10547
GEOM100a.col,100,992,91,18200,126572,OPTIMAL,66,0.108902,365.371,365.48,176.32031
GEOM100b.col,100,1050,121,24200,175350,OPTIMAL,71,0.148512,101.219,101.367,146.40234
GEOM110.col,110,638,64,14080,68882,OPTIMAL,50,0.055543,0.42111,0.476653,70.65234
GEOM110a.col,110,1207,109,23980,179413,OPTIMAL,69,0.149892,79.7179,79.8678,149.42969
GEOM110b.col,110,1256,121,26620,205106,OPTIMAL,77,0.171304,744.217,744.388,259.52344
GEOM120.col,120,773,73,17520,91349,OPTIMAL,59,0.0770588,1.57583,1.65289,82.02734
GEOM120a.col,120,1434,109,26160,208506,OPTIMAL,82,0.176793,348.076,348.253,170.28125
GEOM120b.col,120,1491,123,29520,242313,SATISFIABLE,83,0.210791,3599.79,3600.0,305.62109
GEOM20.col,20,20,24,960,2380,OPTIMAL,21,0.00228614,0.00106067,0.00334681,45.49609
GEOM20a.col,20,37,24,960,2788,OPTIMAL,20,0.00260274,0.00112092,0.00372366,45.55859
GEOM20b.col,20,32,16,640,1772,OPTIMAL,13,0.00156627,0.000538809,0.00210508,45.42969
GEOM30.col,30,50,33,1980,5580,OPTIMAL,28,0.00407491,0.00251377,0.00658868,45.36719
GEOM30a.col,30,81,32,1920,6402,OPTIMAL,27,0.00428329,0.00223718,0.00652047,45.49609
GEOM30b.col,30,81,27,1620,5397,OPTIMAL,26,0.00364735,0.00102531,0.00467265,45.43359
GEOM40.col,40,78,33,2640,7814,OPTIMAL,28,0.00752258,0.00288576,0.0104083,45.42969
GEOM40a.col,40,146,50,4000,15260,OPTIMAL,37,0.0111057,0.0247422,0.0358479,45.37109
GEOM40b.col,40,157,40,3200,12640,OPTIMAL,33,0.00881643,0.0161512,0.0249676,45.43359
GEOM50.col,50,127,36,3600,11722,OPTIMAL,28,0.00875688,0.0044162,0.0131731,45.43359
GEOM50a.col,50,238,61,6100,26668,OPTIMAL,50,0.0201054,0.332201,0.352306,60.57422
GEOM50b.col,50,249,54,5400,24196,OPTIMAL,35,0.0178239,0.0874502,0.105274,58.43359
GEOM60.col,60,185,36,4320,15240,OPTIMAL,33,0.0115352,0.00367095,0.0152061,45.36719
GEOM60a.col,60,339,61,7320,35259,OPTIMAL,50,0.027089,0.365158,0.392247,61.13281
GEOM60b.col,60,366,63,7560,38118,OPTIMAL,41,0.0292568,0.533175,0.562431,63.15625
GEOM70.col,70,267,44,6160,23998,OPTIMAL,38,0.0186322,0.0243062,0.0429384,45.73438
GEOM70a.col,70,459,72,10080,53138,OPTIMAL,61,0.0425974,2.57407,2.61667,67.35938
GEOM70b.col,70,488,76,10640,58298,OPTIMAL,47,0.0483448,2.00995,2.05829,68.41406
GEOM80.col,80,349,54,8640,36046,OPTIMAL,41,0.0329775,0.0424132,0.0753907,45.79688
GEOM80a.col,80,612,79,12640,73548,OPTIMAL,63,0.064556,7.38705,7.45161,98.88672
GEOM80b.col,80,663,98,15680,96254,OPTIMAL,60,0.0787716,3.29114,3.36991,99.82422
GEOM90.col,90,441,54,9720,43164,OPTIMAL,46,0.0378191,0.148938,0.186757,62.77734
GEOM90a.col,90,789,80,14400,91830,OPTIMAL,63,0.0761323,8.32344,8.39957,102.87109
GEOM90b.col,90,860,109,19620,132890,OPTIMAL,69,0.118003,34.3931,34.5111,117.62891
c21_1_d1.col,21,105,8,336,1491,OPTIMAL,7,0.00120948,0.00281873,0.00402821,45.49609
c21_1_d2.col,21,105,8,336,1491,OPTIMAL,7,0.00130426,0.00446597,0.00577024,45.49609
c21_2_d1.col,21,105,11,462,2058,OPTIMAL,9,0.00187206,0.00456318,0.00643523,45.55859
c21_2_d2.col,21,105,11,462,2058,OPTIMAL,9,0.00172625,0.003317,0.00504325,45.42969
c21_3_d1.col,21,105,8,336,1491,OPTIMAL,7,0.0012311,0.00321684,0.00444794,45.49219
c21_3_d2.col,21,105,8,336,1491,OPTIMAL,7,0.00130764,0.00435225,0.00565989,45.49609
c21_4_d1.col,21,105,11,462,2058,OPTIMAL,9,0.00131144,0.00327479,0.00458623,45.79688
c21_4_d2.col,21,105,11,462,2058,OPTIMAL,9,0.00168754,0.00315925,0.00484679,45.49219
c21_5_d1.col,21,105,8,336,1491,OPTIMAL,7,0.0012502,0.00306947,0.00431967,45.37109
c21_5_d2.col,21,105,8,336,1491,OPTIMAL,7,0.00134923,0.00308532,0.00443454,45.79688
c21_6_d1.col,21,105,11,462,2058,OPTIMAL,9,0.00186151,0.00458754,0.00644905,45.42969
c21_6_d2.col,21,105,11,462,2058,OPTIMAL,9,0.00187305,0.00463894,0.00651198,45.92188
c21_7_d1.col,21,105,8,336,1491,OPTIMAL,7,0.00131451,0.00391263,0.00522714,45.41016
c21_7_d2.col,21,105,8,336,1491,OPTIMAL,7,0.00134651,0.003116,0.00446251,45.68359
c21_8_d1.col,21,105,11,462,2058,OPTIMAL,9,0.00184067,0.00389421,0.00573488,45.55859
c21_8_d2.col,21,105,11,462,2058,OPTIMAL,9,0.00129708,0.00331886,0.00461595,45.55859
c55_1_d1.col,55,362,8,880,4601,OPTIMAL,7,0.00315439,0.00453907,0.00769346,45.55859
c55_2_d2.col,55,362,8,880,4601,OPTIMAL,7,0.00403897,0.00452393,0.0085629,45.68359
