name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,60509,OPTIMAL,50,0.0475025,0.36682,0.414323,69.0
GEOM100a.col,100,992,91,18200,126573,OPTIMAL,66,0.101969,340.546,340.648,162.94141
GEOM100b.col,100,1050,121,24200,175351,OPTIMAL,71,0.147135,69.5253,69.6725,128.97656
GEOM110.col,110,638,64,14080,68883,OPTIMAL,50,0.055453,0.52092,0.576373,70.76172
GEOM110a.col,110,1207,109,23980,179414,OPTIMAL,69,0.153634,95.0123,95.166,147.09766
GEOM110b.col,110,1256,121,26620,205107,OPTIMAL,77,0.175724,1164.58,1164.76,230.91797
GEOM120.col,120,773,73,17520,91350,OPTIMAL,59,0.0778517,1.51208,1.58993,80.79297
GEOM120a.col,120,1434,109,26160,208507,OPTIMAL,82,0.170618,265.541,265.712,153.86719
GEOM120b.col,120,1491,123,29520,242314,SATISFIABLE,83,0.199906,3599.8,3600.0,337.04297
GEOM20.col,20,20,24,960,2381,OPTIMAL,21,0.00255927,0.00108802,0.00364729,46.05078
GEOM20a.col,20,37,24,960,2789,OPTIMAL,20,0.00262017,0.00110139,0.00372155,45.30859
GEOM20b.col,20,32,16,640,1773,OPTIMAL,13,0.001142,0.000475905,0.0016179,45.36719
GEOM30.col,30,50,33,1980,5581,OPTIMAL,28,0.00414196,0.00258399,0.00672595,45.42969
GEOM30a.col,30,81,32,1920,6403,OPTIMAL,27,0.00625662,0.00395063,0.0102072,44.19141
GEOM30b.col,30,81,27,1620,5398,OPTIMAL,26,0.00540916,0.0013723,0.00678146,45.375
GEOM40.col,40,78,33,2640,7815,OPTIMAL,28,0.00591513,0.0030087,0.00892384,45.36719
GEOM40a.col,40,146,50,4000,15261,OPTIMAL,37,0.0116257,0.0243097,0.0359354,45.98828
GEOM40b.col,40,157,40,3200,12641,OPTIMAL,33,0.00892665,0.0107289,0.0196556,45.5625
GEOM50.col,50,127,36,3600,11723,OPTIMAL,28,0.00819322,0.0037488,0.011942,45.30859
GEOM50a.col,50,238,61,6100,26669,OPTIMAL,50,0.0270299,0.257015,0.284045,60.40234
GEOM50b.col,50,249,54,5400,24197,OPTIMAL,35,0.0178774,0.193921,0.211798,58.8125
GEOM60.col,60,185,36,4320,15241,OPTIMAL,33,0.0109453,0.00337206,0.0143174,45.36719
GEOM60a.col,60,339,61,7320,35260,OPTIMAL,50,0.0255814,0.286175,0.311756,63.25781
GEOM60b.col,60,366,63,7560,38119,OPTIMAL,41,0.028702,0.614499,0.643201,64.38281
GEOM70.col,70,267,44,6160,23999,OPTIMAL,38,0.0180741,0.0233176,0.0413917,45.92578
GEOM70a.col,70,459,72,10080,53139,OPTIMAL,61,0.0420493,1.47334,1.51539,68.02734
GEOM70b.col,70,488,76,10640,58299,OPTIMAL,47,0.0479192,2.13752,2.18544,69.82422
GEOM80.col,80,349,54,8640,36047,OPTIMAL,41,0.0287234,0.0487579,0.0774813,45.79688
GEOM80a.col,80,612,79,12640,73549,OPTIMAL,63,0.0579268,3.27034,3.32827,92.93359
GEOM80b.col,80,663,98,15680,96255,OPTIMAL,60,0.0810818,4.37054,4.45162,99.73438
GEOM90.col,90,441,54,9720,43165,OPTIMAL,46,0.0336956,0.0796769,0.113372,62.9375
GEOM90a.col,90,789,80,14400,91831,OPTIMAL,63,0.0777302,8.39777,8.4755,103.76172
GEOM90b.col,90,860,109,19620,132891,OPTIMAL,69,0.111522,33.6368,33.7484,112.51953
c21_1_d1.col,21,105,8,336,1492,OPTIMAL,7,0.00108755,0.00547017,0.00655772,45.98438
c21_1_d2.col,21,105,8,336,1492,OPTIMAL,7,0.00115112,0.00553839,0.00668951,45.86328
c21_2_d1.col,21,105,11,462,2059,OPTIMAL,9,0.00178402,0.00243005,0.00421408,45.98828
c21_2_d2.col,21,105,11,462,2059,OPTIMAL,9,0.00167894,0.00347816,0.0051571,46.04297
c21_3_d1.col,21,105,8,336,1492,OPTIMAL,7,0.00117095,0.0039198,0.00509075,45.36719
c21_3_d2.col,21,105,8,336,1492,OPTIMAL,7,0.00113222,0.00406274,0.00519497,45.86328
c21_4_d1.col,21,105,11,462,2059,OPTIMAL,9,0.001817,0.00231731,0.00413431,45.55859
c21_4_d2.col,21,105,11,462,2059,OPTIMAL,9,0.00168547,0.00332341,0.00500889,45.91797
c21_5_d1.col,21,105,8,336,1492,OPTIMAL,7,0.00110751,0.00398348,0.00509099,45.43359
c21_5_d2.col,21,105,8,336,1492,OPTIMAL,7,0.00109039,0.00563035,0.00672074,44.99609
c21_6_d1.col,21,105,11,462,2059,OPTIMAL,9,0.00118549,0.00239526,0.00358075,45.36719
c21_6_d2.col,21,105,11,462,2059,OPTIMAL,9,0.00171346,0.00337139,0.00508485,46.04688
c21_7_d1.col,21,105,8,336,1492,OPTIMAL,7,0.000823101,0.00390161,0.00472471,45.30078
c21_7_d2.col,21,105,8,336,1492,OPTIMAL,7,0.00112062,0.00556,0.00668062,45.30859
c21_8_d1.col,21,105,11,462,2059,OPTIMAL,9,0.00174243,0.00339063,0.00513305,45.375
c21_8_d2.col,21,105,11,462,2059,OPTIMAL,9,0.00166981,0.00221608,0.00388589,45.37109
c55_1_d1.col,55,362,8,880,4602,OPTIMAL,7,0.0024089,0.00432081,0.00672971,45.85938
c55_2_d2.col,55,362,8,880,4602,OPTIMAL,7,0.00304309,0.00436357,0.00740667,45.98828
