name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,60509,OPTIMAL,50,0.0482494,0.475275,0.523525,69.20703
GEOM100a.col,100,992,91,18200,126573,OPTIMAL,66,0.104614,181.066,181.171,151.80469
GEOM100b.col,100,1050,121,24200,175351,OPTIMAL,71,0.154826,101.181,101.335,138.99609
GEOM110.col,110,638,64,14080,68883,OPTIMAL,50,0.0567474,0.496012,0.552759,71.63281
GEOM110a.col,110,1207,109,23980,179414,OPTIMAL,69,0.149638,94.1929,94.3425,143.14453
GEOM110b.col,110,1256,121,26620,205107,OPTIMAL,77,0.174258,585.763,585.937,207.63672
GEOM120.col,120,773,73,17520,91350,OPTIMAL,59,0.0782789,1.4672,1.54548,81.39453
GEOM120a.col,120,1434,109,26160,208507,OPTIMAL,82,0.18452,362.176,362.361,172.28125
GEOM120b.col,120,1491,123,29520,242314,SATISFIABLE,83,0.211225,3599.79,3600.0,310.79297
GEOM20.col,20,20,24,960,2381,OPTIMAL,21,0.00233763,0.000982494,0.00332012,45.56641
GEOM20a.col,20,37,24,960,2789,OPTIMAL,20,0.00182324,0.000994493,0.00281773,45.99219
GEOM20b.col,20,32,16,640,1773,OPTIMAL,13,0.00168725,0.000725383,0.00241263,45.98828
GEOM30.col,30,50,33,1980,5581,OPTIMAL,28,0.00566516,0.003747,0.00941216,45.375
GEOM30a.col,30,81,32,1920,6403,OPTIMAL,27,0.00497817,0.00181521,0.00679339,45.19141
GEOM30b.col,30,81,27,1620,5398,OPTIMAL,26,0.0040072,0.00133996,0.00534716,45.44141
GEOM40.col,40,78,33,2640,7815,OPTIMAL,28,0.00817818,0.00438662,0.0125648,45.86328
GEOM40a.col,40,146,50,4000,15261,OPTIMAL,37,0.011406,0.0248802,0.0362862,45.80469
GEOM40b.col,40,157,40,3200,12641,OPTIMAL,33,0.0136453,0.0118923,0.0255377,45.44141
GEOM50.col,50,127,36,3600,11723,OPTIMAL,28,0.00827087,0.00396922,0.0122401,45.44141
GEOM50a.col,50,238,61,6100,26669,OPTIMAL,50,0.0202784,0.332597,0.352875,60.26953
GEOM50b.col,50,249,54,5400,24197,OPTIMAL,35,0.0176313,0.20358,0.221211,59.05469
GEOM60.col,60,185,36,4320,15241,OPTIMAL,33,0.011382,0.00335944,0.0147415,45.4375
GEOM60a.col,60,339,61,7320,35260,OPTIMAL,50,0.0270673,0.4101,0.437168,62.44531
GEOM60b.col,60,366,63,7560,38119,OPTIMAL,41,0.0337079,0.583911,0.617619,63.30469
GEOM70.col,70,267,44,6160,23999,OPTIMAL,38,0.0185737,0.0237317,0.0423055,45.92969
GEOM70a.col,70,459,72,10080,53139,OPTIMAL,61,0.0429621,1.51644,1.55941,68.11328
GEOM70b.col,70,488,76,10640,58299,OPTIMAL,47,0.0456006,1.79768,1.84328,68.18359
GEOM80.col,80,349,54,8640,36047,OPTIMAL,41,0.028693,0.0521153,0.0808083,45.56641
GEOM80a.col,80,612,79,12640,73549,OPTIMAL,63,0.0609982,3.2136,3.2746,101.27344
GEOM80b.col,80,663,98,15680,96255,OPTIMAL,60,0.0786124,4.42516,4.50377,101.01172
GEOM90.col,90,441,54,9720,43165,OPTIMAL,46,0.0343927,0.176707,0.211099,63.13672
GEOM90a.col,90,789,80,14400,91831,OPTIMAL,63,0.0768322,7.71853,7.79536,103.59375
GEOM90b.col,90,860,109,19620,132891,OPTIMAL,69,0.110063,24.0018,24.1118,111.52734
c21_1_d1.col,21,105,8,336,1492,OPTIMAL,7,0.00129043,0.00376387,0.00505431,46.05469
c21_1_d2.col,21,105,8,336,1492,OPTIMAL,7,0.00134053,0.00267913,0.00401966,45.37891
c21_2_d1.col,21,105,11,462,2059,OPTIMAL,9,0.00163912,0.00301575,0.00465488,45.44141
c21_2_d2.col,21,105,11,462,2059,OPTIMAL,9,0.00185082,0.00406542,0.00591623,45.92578
c21_3_d1.col,21,105,8,336,1492,OPTIMAL,7,0.00131384,0.00334159,0.00465543,45.375
c21_3_d2.col,21,105,8,336,1492,OPTIMAL,7,0.000916076,0.00274918,0.00366526,45.99219
c21_4_d1.col,21,105,11,462,2059,OPTIMAL,9,0.00162726,0.00276131,0.00438857,45.37891
c21_4_d2.col,21,105,11,462,2059,OPTIMAL,9,0.00180831,0.00265949,0.0044678,45.4375
c21_5_d1.col,21,105,8,336,1492,OPTIMAL,7,0.00131123,0.00336168,0.0046729,45.74219
c21_5_d2.col,21,105,8,336,1492,OPTIMAL,7,0.00130914,0.00283784,0.00414698,45.86719
c21_6_d1.col,21,105,11,462,2059,OPTIMAL,9,0.00183764,0.00413906,0.0059767,46.05078
c21_6_d2.col,21,105,11,462,2059,OPTIMAL,9,0.00154719,0.00292041,0.0044676,45.37891
c21_7_d1.col,21,105,8,336,1492,OPTIMAL,7,0.00126032,0.00247575,0.00373607,45.91016
c21_7_d2.col,21,105,8,336,1492,OPTIMAL,7,0.00134143,0.00268972,0.00403115,45.37891
c21_8_d1.col,21,105,11,462,2059,OPTIMAL,9,0.00166365,0.00282618,0.00448983,45.37891
c21_8_d2.col,21,105,11,462,2059,OPTIMAL,9,0.00165047,0.00286983,0.00452031,45.37891
c55_1_d1.col,55,362,8,880,4602,OPTIMAL,7,0.00427373,0.00670368,0.0109774,45.37891
c55_2_d2.col,55,362,8,880,4602,OPTIMAL,7,0.00309469,0.00454429,0.00763899,45.62891
