name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12514,88935,OPTIMAL,50,0.575466,0.694886,1.27035,79.05078
GEOM100a.col,100,992,91,17098,186361,OPTIMAL,66,2.02267,91.0543,93.0769,122.86719
GEOM100b.col,100,1050,121,18098,207850,OPTIMAL,71,5.14636,203.258,208.405,145.49609
GEOM110.col,110,638,64,13757,101686,OPTIMAL,50,0.651554,0.789882,1.44144,84.42969
GEOM110a.col,110,1207,109,19468,234301,OPTIMAL,69,4.60826,239.356,243.964,162.90234
GEOM110b.col,110,1256,121,21991,268833,OPTIMAL,77,5.86649,803.189,809.055,178.64453
GEOM120.col,120,773,73,18012,143526,OPTIMAL,59,0.89305,2.83866,3.73171,97.22266
GEOM120a.col,120,1434,109,25216,325837,OPTIMAL,82,4.02965,951.356,955.386,187.22656
GEOM120b.col,120,1491,123,26260,340273,OPTIMAL,83,6.31301,1217.18,1223.5,215.99219
GEOM20.col,20,20,24,890,2843,OPTIMAL,21,0.00501163,0.00109732,0.00610896,45.55859
GEOM20a.col,20,37,24,860,3258,OPTIMAL,20,0.00666482,0.00160928,0.00827411,45.91797
GEOM20b.col,20,32,16,448,1470,OPTIMAL,13,0.00397162,0.000909782,0.0048814,45.36328
GEOM30.col,30,50,33,1887,7434,OPTIMAL,28,0.0173169,0.00375754,0.0210745,45.42578
GEOM30a.col,30,81,32,1792,8299,OPTIMAL,27,0.0205563,0.00388579,0.0244421,45.42969
GEOM30b.col,30,81,27,1726,7779,OPTIMAL,26,0.00747619,0.00109977,0.00857595,45.36719
GEOM40.col,40,78,33,2481,10181,OPTIMAL,28,0.024566,0.00432842,0.0288944,45.72656
GEOM40a.col,40,146,50,3428,18960,OPTIMAL,37,0.10995,0.0355017,0.145451,57.65625
GEOM40b.col,40,157,40,3077,17306,OPTIMAL,33,0.0567861,0.0141965,0.0709825,45.17969
GEOM50.col,50,127,36,3094,13946,OPTIMAL,28,0.0529999,0.0065248,0.0595247,45.42969
GEOM50a.col,50,238,61,6268,41328,OPTIMAL,50,0.19875,0.408198,0.606948,65.20703
GEOM50b.col,50,249,54,4103,26494,OPTIMAL,35,0.243171,0.0834894,0.32666,59.38281
GEOM60.col,60,185,36,4616,23237,OPTIMAL,33,0.0412234,0.00628345,0.0475068,45.36328
GEOM60a.col,60,339,61,7521,54918,OPTIMAL,50,0.26648,0.521926,0.788406,68.11719
GEOM60b.col,60,366,63,5968,44561,OPTIMAL,41,0.458717,1.49509,1.95381,70.68359
GEOM70.col,70,267,44,6537,36432,OPTIMAL,38,0.104486,0.0361361,0.140622,59.76953
GEOM70a.col,70,459,72,10786,88886,OPTIMAL,61,0.421567,4.14833,4.5699,79.32422
GEOM70b.col,70,488,76,8295,66869,OPTIMAL,47,0.930364,3.96059,4.89095,76.47656
GEOM80.col,80,349,54,7949,48951,OPTIMAL,41,0.293666,0.0489215,0.342587,62.60156
GEOM80a.col,80,612,79,12652,115919,OPTIMAL,63,0.828472,8.28282,9.11129,87.95703
GEOM80b.col,80,663,98,12166,115041,OPTIMAL,60,2.18565,5.63154,7.81719,92.61328
GEOM90.col,90,441,54,9965,65404,OPTIMAL,46,0.250161,0.106293,0.356455,66.37891
GEOM90a.col,90,789,80,14228,142969,OPTIMAL,63,1.09162,10.1086,11.2002,93.50391
GEOM90b.col,90,860,109,15926,169462,OPTIMAL,69,3.30974,90.664,93.9737,113.98828
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.00118244,0.00396486,0.00514729,45.91797
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.0013672,0.00380074,0.00516794,45.85547
c21_2_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00300555,0.00234804,0.00535359,45.17969
c21_2_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00292189,0.00234574,0.00526763,45.42578
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.00179607,0.00561267,0.00740874,45.42578
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.00151551,0.0040184,0.00553391,45.42969
c21_4_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00295067,0.00238072,0.00533138,45.79297
c21_4_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00290996,0.00231091,0.00522087,45.48828
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.00130179,0.00369519,0.00499698,45.91797
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.00127721,0.00376443,0.00504165,45.42969
c21_6_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00286628,0.00238082,0.0052471,45.61328
c21_6_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00278191,0.00211957,0.00490148,45.55469
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00180954,0.0055831,0.00739264,45.72656
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.0017461,0.00437751,0.00612361,45.36719
c21_8_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00300981,0.0021361,0.00514591,45.85547
c21_8_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00411636,0.00325925,0.00737561,45.36719
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00367501,0.00364134,0.00731634,45.91797
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00376187,0.00363678,0.00739865,45.43359
