name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12514,88935,OPTIMAL,50,0.546086,0.639277,1.18536,79.60938
GEOM100a.col,100,992,91,17098,186361,OPTIMAL,66,2.07701,257.386,259.463,138.29688
GEOM100b.col,100,1050,121,18098,207850,OPTIMAL,71,5.53123,152.316,157.848,130.83203
GEOM110.col,110,638,64,13757,101686,OPTIMAL,50,0.615926,0.820199,1.43613,84.17578
GEOM110a.col,110,1207,109,19468,234301,OPTIMAL,69,4.26198,201.563,205.825,142.32812
GEOM110b.col,110,1256,121,21991,268833,OPTIMAL,77,5.47784,974.855,980.333,189.98047
GEOM120.col,120,773,73,18012,143526,OPTIMAL,59,0.963367,3.84653,4.8099,97.35938
GEOM120a.col,120,1434,109,25216,325837,OPTIMAL,82,3.80362,844.989,848.793,203.83203
GEOM120b.col,120,1491,123,26260,340273,OPTIMAL,83,6.22786,2148.46,2154.69,214.86719
GEOM20.col,20,20,24,890,2843,OPTIMAL,21,0.00453911,0.0010084,0.00554751,45.42188
GEOM20a.col,20,37,24,860,3258,OPTIMAL,20,0.00706653,0.00139183,0.00845835,45.35938
GEOM20b.col,20,32,16,448,1470,OPTIMAL,13,0.00331266,0.000682371,0.00399503,45.96875
GEOM30.col,30,50,33,1887,7434,OPTIMAL,28,0.0171217,0.00394537,0.0210671,45.10547
GEOM30a.col,30,81,32,1792,8299,OPTIMAL,27,0.0238065,0.00400716,0.0278137,45.72266
GEOM30b.col,30,81,27,1726,7779,OPTIMAL,26,0.00772739,0.00120231,0.0089297,45.42188
GEOM40.col,40,78,33,2481,10181,OPTIMAL,28,0.0239208,0.0042476,0.0281684,45.78125
GEOM40a.col,40,146,50,3428,18960,OPTIMAL,37,0.107721,0.0380978,0.145819,57.50781
GEOM40b.col,40,157,40,3077,17306,OPTIMAL,33,0.0534351,0.0147476,0.0681828,45.42188
GEOM50.col,50,127,36,3094,13946,OPTIMAL,28,0.0510345,0.0064736,0.0575081,45.72266
GEOM50a.col,50,238,61,6268,41328,OPTIMAL,50,0.184512,0.479882,0.664393,65.33984
GEOM50b.col,50,249,54,4103,26494,OPTIMAL,35,0.23724,0.11375,0.35099,59.98828
GEOM60.col,60,185,36,4616,23237,OPTIMAL,33,0.0388547,0.00605975,0.0449145,45.35547
GEOM60a.col,60,339,61,7521,54918,OPTIMAL,50,0.246738,0.874122,1.12086,69.74219
GEOM60b.col,60,366,63,5968,44561,OPTIMAL,41,0.461855,1.05138,1.51324,68.98828
GEOM70.col,70,267,44,6537,36432,OPTIMAL,38,0.0967748,0.0359206,0.132695,59.71875
GEOM70a.col,70,459,72,10786,88886,OPTIMAL,61,0.393193,5.92081,6.31401,79.32422
GEOM70b.col,70,488,76,8295,66869,OPTIMAL,47,0.921372,2.6317,3.55307,75.16797
GEOM80.col,80,349,54,7949,48951,OPTIMAL,41,0.280152,0.0491027,0.329255,63.36328
GEOM80a.col,80,612,79,12652,115919,OPTIMAL,63,0.772122,10.0955,10.8677,87.68359
GEOM80b.col,80,663,98,12166,115041,OPTIMAL,60,2.03444,6.88987,8.92432,92.14062
GEOM90.col,90,441,54,9965,65404,OPTIMAL,46,0.251788,0.106166,0.357953,66.19922
GEOM90a.col,90,789,80,14228,142969,OPTIMAL,63,1.03048,9.56307,10.5936,94.36328
GEOM90b.col,90,860,109,15926,169462,OPTIMAL,69,3.09618,57.154,60.2502,107.94141
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.00105249,0.00385909,0.00491159,45.35938
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.00103983,0.00454857,0.00558841,45.48438
c21_2_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00306006,0.00266818,0.00572823,45.72266
c21_2_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00343164,0.0039329,0.00736454,46.34375
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.000762978,0.00387749,0.00464047,45.41797
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.000998073,0.00391133,0.0049094,45.48438
c21_4_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00247777,0.00263748,0.00511525,45.78516
c21_4_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00237612,0.00242486,0.00480098,45.35547
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.000775827,0.00388623,0.00466206,45.91016
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.000734885,0.00378722,0.0045221,45.54688
c21_6_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00258022,0.00278962,0.00536983,45.84375
c21_6_d2.col,21,105,11,315,1914,OPTIMAL,9,0.0032292,0.00388454,0.00711374,45.91016
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00108214,0.00404999,0.00513213,45.48047
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00106216,0.00383673,0.00489889,45.42188
c21_8_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00259024,0.00275977,0.00535001,45.35938
c21_8_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00233583,0.00280927,0.0051451,45.35938
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.0028013,0.00388993,0.00669123,45.35938
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00271899,0.00375239,0.00647138,45.54688
