name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12514,88960,OPTIMAL,50,0.564907,0.76583,1.33074,81.02734
GEOM100a.col,100,992,91,17098,186394,OPTIMAL,66,2.12872,120.204,122.333,121.92969
GEOM100b.col,100,1050,121,18098,207885,OPTIMAL,71,5.43783,187.883,193.321,129.16016
GEOM110.col,110,638,64,13757,101711,OPTIMAL,50,0.660875,1.23743,1.8983,82.35547
GEOM110a.col,110,1207,109,19468,234335,OPTIMAL,69,4.62831,162.286,166.914,144.65625
GEOM110b.col,110,1256,121,21991,268871,OPTIMAL,77,5.8568,675.337,681.194,165.98828
GEOM120.col,120,773,73,18012,143555,OPTIMAL,59,0.912364,3.63138,4.54375,94.19922
GEOM120a.col,120,1434,109,25216,325878,OPTIMAL,82,4.03463,1046.7,1050.73,209.625
GEOM120b.col,120,1491,123,26260,340314,OPTIMAL,83,6.59186,2657.38,2663.97,403.35547
GEOM20.col,20,20,24,890,2853,OPTIMAL,21,0.00534374,0.000883132,0.00622687,45.55859
GEOM20a.col,20,37,24,860,3268,OPTIMAL,20,0.00742323,0.00168927,0.00911251,45.36719
GEOM20b.col,20,32,16,448,1476,OPTIMAL,13,0.00335891,0.00106064,0.00441955,45.36328
GEOM30.col,30,50,33,1887,7448,OPTIMAL,28,0.0216675,0.00453543,0.0262029,45.17578
GEOM30a.col,30,81,32,1792,8312,OPTIMAL,27,0.0226843,0.00719222,0.0298765,46.04688
GEOM30b.col,30,81,27,1726,7792,OPTIMAL,26,0.00799515,0.00150489,0.00950004,45.30859
GEOM40.col,40,78,33,2481,10195,OPTIMAL,28,0.0246253,0.00471627,0.0293416,45.42578
GEOM40a.col,40,146,50,3428,18978,OPTIMAL,37,0.109619,0.0338438,0.143463,56.61328
GEOM40b.col,40,157,40,3077,17322,OPTIMAL,33,0.0564697,0.0131962,0.0696659,44.93359
GEOM50.col,50,127,36,3094,13960,OPTIMAL,28,0.0597882,0.00747118,0.0672594,45.30469
GEOM50a.col,50,238,61,6268,41353,OPTIMAL,50,0.194579,0.412956,0.607535,65.0625
GEOM50b.col,50,249,54,4103,26511,OPTIMAL,35,0.25387,0.0697827,0.323652,59.58203
GEOM60.col,60,185,36,4616,23253,OPTIMAL,33,0.0430022,0.00607359,0.0490758,45.36328
GEOM60a.col,60,339,61,7521,54943,OPTIMAL,50,0.263158,0.500585,0.763743,68.72656
GEOM60b.col,60,366,63,5968,44581,OPTIMAL,41,0.481329,0.977161,1.45849,67.50391
GEOM70.col,70,267,44,6537,36451,OPTIMAL,38,0.10423,0.0361167,0.140346,59.84766
GEOM70a.col,70,459,72,10786,88916,OPTIMAL,61,0.414988,1.95424,2.36922,78.45312
GEOM70b.col,70,488,76,8295,66892,OPTIMAL,47,0.948641,3.66389,4.61253,78.52344
GEOM80.col,80,349,54,7949,48971,OPTIMAL,41,0.294955,0.0513188,0.346274,63.80859
GEOM80a.col,80,612,79,12652,115950,OPTIMAL,63,0.815723,5.08318,5.8989,87.79688
GEOM80b.col,80,663,98,12166,115071,OPTIMAL,60,2.17267,6.21159,8.38425,92.28906
GEOM90.col,90,441,54,9965,65427,OPTIMAL,46,0.252283,0.0943536,0.346636,66.01172
GEOM90a.col,90,789,80,14228,143000,OPTIMAL,63,1.09213,10.8852,11.9773,97.85938
GEOM90b.col,90,860,109,15926,169496,OPTIMAL,69,3.31332,41.4257,44.739,110.63281
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.00116004,0.00213185,0.00329189,45.36719
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.00156438,0.00210268,0.00366706,45.85938
c21_2_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00414425,0.00251392,0.00665817,45.05859
c21_2_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00318585,0.00179654,0.0049824,45.42578
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.00111754,0.00213232,0.00324986,45.48828
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.00140744,0.00210635,0.00351379,45.85938
c21_4_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00417199,0.0025945,0.00676649,45.42969
c21_4_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00319138,0.00191273,0.00510411,45.36328
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.00141086,0.00218009,0.00359095,44.74219
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.00175652,0.00264649,0.00440302,45.36719
c21_6_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00416875,0.00262787,0.00679661,45.17578
c21_6_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00311405,0.00160559,0.00471965,45.30469
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00152389,0.00217519,0.00369908,45.67578
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.00176262,0.00283101,0.00459363,45.42969
c21_8_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00390808,0.00218152,0.00608959,45.37109
c21_8_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00320007,0.00206466,0.00526473,45.42969
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00475629,0.00517066,0.00992695,45.42969
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.0035428,0.00453264,0.00807544,45.73438
