name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12514,88960,OPTIMAL,50,0.538362,0.755816,1.29418,80.80078
GEOM100a.col,100,992,91,17098,186394,OPTIMAL,66,1.97891,105.596,107.575,116.12109
GEOM100b.col,100,1050,121,18098,207885,OPTIMAL,71,4.9782,148.488,153.467,135.36328
GEOM110.col,110,638,64,13757,101711,OPTIMAL,50,0.612707,0.800533,1.41324,82.12109
GEOM110a.col,110,1207,109,19468,234335,OPTIMAL,69,4.4478,220.694,225.142,148.01172
GEOM110b.col,110,1256,121,21991,268871,OPTIMAL,77,5.42843,906.064,911.493,174.5
GEOM120.col,120,773,73,18012,143555,OPTIMAL,59,0.850893,4.04145,4.89235,93.66016
GEOM120a.col,120,1434,109,25216,325878,OPTIMAL,82,3.8785,893.592,897.471,207.26172
GEOM120b.col,120,1491,123,26260,340314,OPTIMAL,83,6.1412,2291.45,2297.59,236.82422
GEOM20.col,20,20,24,890,2853,OPTIMAL,21,0.00665156,0.00125943,0.00791099,45.36328
GEOM20a.col,20,37,24,860,3268,OPTIMAL,20,0.00686998,0.00144825,0.00831823,45.23828
GEOM20b.col,20,32,16,448,1476,OPTIMAL,13,0.0040102,0.00124598,0.00525618,45.35938
GEOM30.col,30,50,33,1887,7448,OPTIMAL,28,0.0171865,0.00372747,0.020914,45.78516
GEOM30a.col,30,81,32,1792,8312,OPTIMAL,27,0.0215053,0.00718503,0.0286903,45.91406
GEOM30b.col,30,81,27,1726,7792,OPTIMAL,26,0.007742,0.00159738,0.00933938,45.36328
GEOM40.col,40,78,33,2481,10195,OPTIMAL,28,0.0243181,0.0043202,0.0286383,45.97266
GEOM40a.col,40,146,50,3428,18978,OPTIMAL,37,0.103953,0.0337641,0.137717,56.74609
GEOM40b.col,40,157,40,3077,17322,OPTIMAL,33,0.053083,0.01239,0.065473,45.48828
GEOM50.col,50,127,36,3094,13960,OPTIMAL,28,0.0504525,0.00696698,0.0574194,45.17578
GEOM50a.col,50,238,61,6268,41353,OPTIMAL,50,0.17911,0.418129,0.597239,64.58594
GEOM50b.col,50,249,54,4103,26511,OPTIMAL,35,0.231775,0.0778425,0.309617,59.64062
GEOM60.col,60,185,36,4616,23253,OPTIMAL,33,0.0372085,0.00550025,0.0427087,45.91016
GEOM60a.col,60,339,61,7521,54943,OPTIMAL,50,0.247236,0.867367,1.1146,70.03125
GEOM60b.col,60,366,63,5968,44581,OPTIMAL,41,0.444356,1.0079,1.45226,67.45312
GEOM70.col,70,267,44,6537,36451,OPTIMAL,38,0.0985418,0.0367096,0.135251,59.78906
GEOM70a.col,70,459,72,10786,88916,OPTIMAL,61,0.389593,3.01842,3.40802,81.87891
GEOM70b.col,70,488,76,8295,66892,OPTIMAL,47,0.876834,3.54025,4.41709,78.06641
GEOM80.col,80,349,54,7949,48971,OPTIMAL,41,0.283391,0.0511486,0.334539,63.16016
GEOM80a.col,80,612,79,12652,115950,OPTIMAL,63,0.76725,5.03363,5.80088,87.14453
GEOM80b.col,80,663,98,12166,115071,OPTIMAL,60,2.01295,5.24123,7.25418,94.81641
GEOM90.col,90,441,54,9965,65427,OPTIMAL,46,0.237998,0.0914057,0.329403,66.07812
GEOM90a.col,90,789,80,14228,143000,OPTIMAL,63,1.03344,11.6442,12.6777,92.97656
GEOM90b.col,90,860,109,15926,169496,OPTIMAL,69,3.09662,53.3124,56.409,110.07422
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.00105165,0.0029357,0.00398735,45.97656
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.00109583,0.00289311,0.00398894,45.30078
c21_2_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00267489,0.0016922,0.00436709,45.85156
c21_2_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00257262,0.00155612,0.00412874,45.35938
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.000767544,0.00196404,0.00273159,45.35938
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.000726881,0.00217046,0.00289734,45.23828
c21_4_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00216864,0.00144022,0.00360887,45.91406
c21_4_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00249632,0.00140876,0.00390508,45.35938
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.00108894,0.00272815,0.00381709,45.85156
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.00103693,0.00216354,0.00320047,45.85156
c21_6_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00277657,0.00160465,0.00438121,45.91016
c21_6_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00324,0.00205536,0.00529537,45.78906
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00102122,0.00211712,0.00313834,45.72266
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.00104993,0.00206121,0.00311114,45.97656
c21_8_d1.col,21,105,11,315,1918,OPTIMAL,9,0.0025512,0.00155501,0.00410621,45.42578
c21_8_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00279905,0.0015334,0.00433245,45.36328
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00244361,0.00453159,0.0069752,45.85156
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.00254721,0.00520518,0.0077524,45.42578
