name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12500,89521,OPTIMAL,50,0.298062,0.827079,1.12514,71.38281
GEOM100a.col,100,992,91,17100,187432,OPTIMAL,66,1.16992,139.842,141.011,100.83984
GEOM100b.col,100,1050,121,18100,208507,OPTIMAL,71,3.12314,161.952,165.075,107.42188
GEOM110.col,110,638,64,13750,102274,OPTIMAL,50,0.350966,0.971206,1.32217,74.10547
GEOM110a.col,110,1207,109,19470,234818,OPTIMAL,69,2.65988,197.679,200.339,113.08203
GEOM110b.col,110,1256,121,22000,269629,OPTIMAL,77,3.39484,1356.6,1360.0,135.42578
GEOM120.col,120,773,73,18000,144280,OPTIMAL,59,0.480334,2.91389,3.39422,82.12891
GEOM120a.col,120,1434,109,25200,326219,OPTIMAL,82,2.34172,1464.96,1467.3,141.15234
GEOM120b.col,120,1491,123,26280,341175,OPTIMAL,83,3.80121,3042.21,3046.01,173.19141
GEOM20.col,20,20,24,906,2749,OPTIMAL,21,0.00337372,0.016899,0.0202727,45.875
GEOM20a.col,20,37,24,873,3128,OPTIMAL,20,0.00367355,0.0218572,0.0255307,45.38672
GEOM20b.col,20,32,16,440,1392,OPTIMAL,13,0.00135169,0.0142579,0.0156096,45.37891
GEOM30.col,30,50,33,1800,6740,OPTIMAL,28,0.011114,0.0329568,0.0440708,45.19141
GEOM30a.col,30,81,32,1740,8041,OPTIMAL,27,0.0109399,0.035432,0.0463719,45.8125
GEOM30b.col,30,81,27,1680,7512,OPTIMAL,26,0.00528364,0.0138424,0.019126,45.9375
GEOM40.col,40,78,33,2393,9397,OPTIMAL,28,0.0147879,0.0400467,0.0548346,45.19141
GEOM40a.col,40,146,50,3400,18800,OPTIMAL,37,0.0570092,0.142424,0.199433,53.87109
GEOM40b.col,40,157,40,3080,17322,OPTIMAL,33,0.0292826,0.0723278,0.10161,47.86328
GEOM50.col,50,127,36,2993,13155,OPTIMAL,28,0.0333741,0.0673104,0.100684,47.86328
GEOM50a.col,50,238,61,6250,41693,OPTIMAL,50,0.0985238,0.632106,0.730629,65.55469
GEOM50b.col,50,249,54,4050,26370,OPTIMAL,35,0.134833,0.249259,0.384092,58.73438
GEOM60.col,60,185,36,4620,23216,OPTIMAL,33,0.0227529,0.0388804,0.0616333,45.56641
GEOM60a.col,60,339,61,7500,55541,OPTIMAL,50,0.134409,0.720054,0.854463,67.73828
GEOM60b.col,60,366,63,6000,45037,OPTIMAL,41,0.254112,1.39098,1.64509,68.05469
GEOM70.col,70,267,44,6580,36435,OPTIMAL,38,0.0533736,0.107902,0.161275,54.90234
GEOM70a.col,70,459,72,10780,89401,OPTIMAL,61,0.223416,5.18653,5.40994,75.39062
GEOM70b.col,70,488,76,8330,67255,OPTIMAL,47,0.507505,2.93159,3.43909,73.72266
GEOM80.col,80,349,54,8000,49315,OPTIMAL,41,0.149761,0.223311,0.373072,65.26953
GEOM80a.col,80,612,79,12640,116511,OPTIMAL,63,0.442984,10.8577,11.3007,82.12109
GEOM80b.col,80,663,98,12160,115720,OPTIMAL,60,1.17879,9.20332,10.3821,83.04688
GEOM90.col,90,441,54,9900,65068,OPTIMAL,46,0.130888,0.265357,0.396244,57.43359
GEOM90a.col,90,789,80,14220,143734,OPTIMAL,63,0.589408,12.2473,12.8367,84.44531
GEOM90b.col,90,860,109,15930,170283,OPTIMAL,69,1.87999,103.351,105.231,95.82031
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.000482797,0.0165069,0.0169897,45.57031
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.000481708,0.0162907,0.0167724,45.57422
c21_2_d1.col,21,105,11,315,1914,OPTIMAL,9,0.001095,0.0142929,0.0153879,45.38672
c21_2_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00110979,0.0130988,0.0142086,45.74219
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.000325259,0.0171117,0.0174369,45.37891
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.000473516,0.0160979,0.0165714,45.26172
c21_4_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00167908,0.0136368,0.0153159,45.875
c21_4_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00164709,0.0137491,0.0153962,45.37891
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.000328997,0.0141753,0.0145043,45.93359
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.000504461,0.0142761,0.0147806,45.38672
c21_6_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00168416,0.0132554,0.0149395,45.37891
c21_6_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00166362,0.013733,0.0153966,45.19922
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.000485281,0.0160163,0.0165016,45.49219
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.000477645,0.0172248,0.0177025,45.32422
c21_8_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00108182,0.0141429,0.0152247,45.32422
c21_8_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00164273,0.0137947,0.0154375,45.875
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00143031,0.0224375,0.0238678,45.38672
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00142012,0.0198931,0.0213132,45.8125
