name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12500,89546,OPTIMAL,50,0.58213,0.69566,1.27779,78.91797
GEOM100a.col,100,992,91,17100,187465,OPTIMAL,66,2.41346,152.047,154.461,119.43359
GEOM100b.col,100,1050,121,18100,208542,OPTIMAL,71,6.11829,143.559,149.678,145.15625
GEOM110.col,110,638,64,13750,102299,OPTIMAL,50,0.693514,1.4635,2.15701,85.00781
GEOM110a.col,110,1207,109,19470,234852,OPTIMAL,69,5.04935,317.645,322.695,140.93359
GEOM110b.col,110,1256,121,22000,269667,OPTIMAL,77,6.27071,928.885,935.155,176.45703
GEOM120.col,120,773,73,18000,144309,OPTIMAL,59,0.980214,3.8409,4.82111,94.40234
GEOM120a.col,120,1434,109,25200,326260,OPTIMAL,82,5.17379,1033.64,1038.82,199.97266
GEOM120b.col,120,1491,123,26280,341216,OPTIMAL,83,6.96739,1031.4,1038.37,211.5
GEOM20.col,20,20,24,906,2759,OPTIMAL,21,0.0062998,0.00126216,0.00756197,46.02344
GEOM20a.col,20,37,24,873,3138,OPTIMAL,20,0.00904343,0.00242601,0.0114694,45.46875
GEOM20b.col,20,32,16,440,1398,OPTIMAL,13,0.00399125,0.0007378,0.00472905,45.95312
GEOM30.col,30,50,33,1800,6754,OPTIMAL,28,0.0182973,0.00387337,0.0221707,45.40234
GEOM30a.col,30,81,32,1740,8054,OPTIMAL,27,0.0203113,0.00682628,0.0271376,45.95703
GEOM30b.col,30,81,27,1680,7525,OPTIMAL,26,0.00771896,0.00104396,0.00876292,45.89453
GEOM40.col,40,78,33,2393,9411,OPTIMAL,28,0.0267976,0.00472102,0.0315187,45.52734
GEOM40a.col,40,146,50,3400,18818,OPTIMAL,37,0.119802,0.0400463,0.159848,56.63672
GEOM40b.col,40,157,40,3080,17338,OPTIMAL,33,0.0617757,0.0133854,0.0751611,45.83203
GEOM50.col,50,127,36,2993,13169,OPTIMAL,28,0.0544632,0.0072545,0.0617177,45.89453
GEOM50a.col,50,238,61,6250,41718,OPTIMAL,50,0.204155,0.464145,0.6683,64.57812
GEOM50b.col,50,249,54,4050,26387,OPTIMAL,35,0.301184,0.0929981,0.394182,60.03125
GEOM60.col,60,185,36,4620,23232,OPTIMAL,33,0.0395515,0.00584561,0.0453971,45.40234
GEOM60a.col,60,339,61,7500,55566,OPTIMAL,50,0.307383,0.640012,0.947395,69.94141
GEOM60b.col,60,366,63,6000,45057,OPTIMAL,41,0.49732,1.10882,1.60614,69.07422
GEOM70.col,70,267,44,6580,36454,OPTIMAL,38,0.123612,0.0413395,0.164951,59.40234
GEOM70a.col,70,459,72,10780,89431,OPTIMAL,61,0.456055,4.59463,5.05069,79.15234
GEOM70b.col,70,488,76,8330,67278,OPTIMAL,47,1.03265,3.18015,4.2128,77.04297
GEOM80.col,80,349,54,8000,49335,OPTIMAL,41,0.307425,0.0582189,0.365644,63.86719
GEOM80a.col,80,612,79,12640,116542,OPTIMAL,63,1.27075,7.10432,8.37507,87.83984
GEOM80b.col,80,663,98,12160,115750,OPTIMAL,60,2.51347,8.07463,10.5881,94.71094
GEOM90.col,90,441,54,9900,65091,OPTIMAL,46,0.258462,0.0824412,0.340903,66.08594
GEOM90a.col,90,789,80,14220,143765,OPTIMAL,63,1.7496,15.4275,17.1771,94.53906
GEOM90b.col,90,860,109,15930,170317,OPTIMAL,69,4.99146,45.1233,50.1147,109.96875
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.00178778,0.00281856,0.00460634,45.40625
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.00177366,0.00229107,0.00406473,45.40625
c21_2_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00428227,0.00250033,0.0067826,45.95703
c21_2_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00278318,0.00182475,0.00460793,45.58984
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.00177116,0.00288223,0.00465339,45.40234
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.0017478,0.0029396,0.0046874,45.76953
c21_4_d1.col,21,105,11,315,1918,OPTIMAL,9,0.0031215,0.00201001,0.00513152,45.83203
c21_4_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00367172,0.00195785,0.00562957,45.70312
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.00179396,0.00240343,0.00419739,46.01953
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.00179462,0.00297027,0.00476488,45.15625
c21_6_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00417146,0.00253747,0.00670892,45.40234
c21_6_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00400112,0.00207706,0.00607818,45.70703
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.0012689,0.00202545,0.00329435,45.94141
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.00191859,0.0030176,0.00493619,45.89453
c21_8_d1.col,21,105,11,315,1918,OPTIMAL,9,0.0041509,0.0025639,0.0067148,45.40625
c21_8_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00325068,0.00170777,0.00495845,45.40625
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00422041,0.00532041,0.00954083,45.83203
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.00567807,0.00674831,0.0124264,45.34766
