name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12500,89546,OPTIMAL,50,0.294422,0.814131,1.10855,72.46094
GEOM100a.col,100,992,91,17100,187465,OPTIMAL,66,1.17932,184.855,186.034,104.05469
GEOM100b.col,100,1050,121,18100,208542,OPTIMAL,71,3.11888,176.624,179.743,106.78906
GEOM110.col,110,638,64,13750,102299,OPTIMAL,50,0.344374,0.947137,1.29151,74.41797
GEOM110a.col,110,1207,109,19470,234852,OPTIMAL,69,2.66245,234.254,236.916,114.3125
GEOM110b.col,110,1256,121,22000,269667,OPTIMAL,77,3.38963,1075.41,1078.8,133.88672
GEOM120.col,120,773,73,18000,144309,OPTIMAL,59,0.481519,3.19607,3.67759,80.58203
GEOM120a.col,120,1434,109,25200,326260,OPTIMAL,82,2.45707,1659.82,1662.28,142.86328
GEOM120b.col,120,1491,123,26280,341216,OPTIMAL,83,3.82096,2848.44,2852.26,171.36328
GEOM20.col,20,20,24,906,2759,OPTIMAL,21,0.00339619,0.0175791,0.0209753,45.45312
GEOM20a.col,20,37,24,873,3138,OPTIMAL,20,0.00400668,0.0221471,0.0261538,45.875
GEOM20b.col,20,32,16,440,1398,OPTIMAL,13,0.00199456,0.0143159,0.0163104,45.44141
GEOM30.col,30,50,33,1800,6754,OPTIMAL,28,0.0091194,0.0331273,0.0422467,45.37891
GEOM30a.col,30,81,32,1740,8054,OPTIMAL,27,0.0114393,0.0397091,0.0511485,45.38672
GEOM30b.col,30,81,27,1680,7525,OPTIMAL,26,0.00538935,0.0136224,0.0190118,45.44922
GEOM40.col,40,78,33,2393,9411,OPTIMAL,28,0.0128791,0.0375659,0.050445,45.74219
GEOM40a.col,40,146,50,3400,18818,OPTIMAL,37,0.0610547,0.135628,0.196682,61.81641
GEOM40b.col,40,157,40,3080,17338,OPTIMAL,33,0.0302597,0.0693963,0.099656,47.99219
GEOM50.col,50,127,36,2993,13169,OPTIMAL,28,0.0317004,0.0657833,0.0974837,45.50781
GEOM50a.col,50,238,61,6250,41718,OPTIMAL,50,0.10169,0.657363,0.759053,65.58594
GEOM50b.col,50,249,54,4050,26387,OPTIMAL,35,0.134578,0.272669,0.407246,62.99609
GEOM60.col,60,185,36,4620,23232,OPTIMAL,33,0.0202407,0.0406655,0.0609062,45.44141
GEOM60a.col,60,339,61,7500,55566,OPTIMAL,50,0.142754,0.668782,0.811536,67.625
GEOM60b.col,60,366,63,6000,45057,OPTIMAL,41,0.249659,0.870515,1.12017,66.50781
GEOM70.col,70,267,44,6580,36454,OPTIMAL,38,0.0552664,0.105965,0.161232,56.72266
GEOM70a.col,70,459,72,10780,89431,OPTIMAL,61,0.226633,3.74484,3.97147,73.92969
GEOM70b.col,70,488,76,8330,67278,OPTIMAL,47,0.512881,3.57842,4.0913,73.22266
GEOM80.col,80,349,54,8000,49335,OPTIMAL,41,0.154734,0.225233,0.379966,65.89062
GEOM80a.col,80,612,79,12640,116542,OPTIMAL,63,0.440134,6.19249,6.63262,80.76562
GEOM80b.col,80,663,98,12160,115750,OPTIMAL,60,1.1773,8.34113,9.51844,83.08594
GEOM90.col,90,441,54,9900,65091,OPTIMAL,46,0.130932,0.272512,0.403444,57.44531
GEOM90a.col,90,789,80,14220,143765,OPTIMAL,63,0.594724,13.4916,14.0863,85.69141
GEOM90b.col,90,860,109,15930,170317,OPTIMAL,69,1.91047,111.095,113.005,95.57812
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.000478539,0.0101303,0.0106089,46.05859
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.000476553,0.0109596,0.0114362,45.44922
c21_2_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00173146,0.0132283,0.0149598,45.69922
c21_2_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00167545,0.0133114,0.0149869,45.44141
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.000485178,0.0111917,0.0116769,45.37891
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.000557155,0.0102044,0.0107615,45.57422
c21_4_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00110638,0.0132441,0.0143505,45.38672
c21_4_d2.col,21,105,11,315,1918,OPTIMAL,9,0.0016815,0.013365,0.0150465,45.37891
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.000484501,0.00976755,0.0102521,45.44531
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.000485913,0.0104815,0.0109674,45.38672
c21_6_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00163737,0.0128708,0.0145082,45.25391
c21_6_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00165476,0.0128112,0.0144659,45.44922
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.000496949,0.0112239,0.0117208,45.44141
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.000472747,0.0118948,0.0123676,45.57422
c21_8_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00166748,0.0125121,0.0141795,45.44922
c21_8_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00130105,0.0133002,0.0146013,45.38672
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00142464,0.0178356,0.0192602,45.44922
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.00121981,0.0177417,0.0189615,45.75391
