name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,16802,120874,OPTIMAL,50,0.0418715,0.765832,0.807704,82.05859
GEOM100a.col,100,992,91,24371,270898,OPTIMAL,66,0.0997244,212.044,212.143,144.64062
GEOM100b.col,100,1050,121,32496,380795,OPTIMAL,71,0.127932,120.262,120.39,133.75781
GEOM110.col,110,638,64,18502,138180,OPTIMAL,50,0.0467637,1.01938,1.06615,85.53906
GEOM110a.col,110,1207,109,32318,391963,OPTIMAL,69,0.13175,215.761,215.893,157.00391
GEOM110b.col,110,1256,121,35750,445752,OPTIMAL,77,0.158236,1094.55,1094.71,184.20312
GEOM120.col,120,773,73,23244,186286,OPTIMAL,59,0.0662418,2.86644,2.93268,103.83203
GEOM120a.col,120,1434,109,35258,457014,OPTIMAL,82,0.161232,990.722,990.883,204.83594
GEOM120b.col,120,1491,123,39480,530219,OPTIMAL,83,0.186188,1795.02,1795.21,234.20703
GEOM20.col,20,20,24,1080,3642,OPTIMAL,21,0.00170203,0.00113102,0.00283305,45.41406
GEOM20a.col,20,37,24,1084,4387,OPTIMAL,20,0.00198007,0.00191098,0.00389105,45.53516
GEOM20b.col,20,32,16,657,2356,OPTIMAL,13,0.00105468,0.000943139,0.00199782,45.02734
GEOM30.col,30,50,33,2406,9913,OPTIMAL,28,0.00433061,0.00380839,0.00813901,45.15234
GEOM30a.col,30,81,32,2306,11111,OPTIMAL,27,0.0050056,0.00342222,0.00842782,45.71484
GEOM30b.col,30,81,27,1849,8401,OPTIMAL,26,0.00401424,0.00172204,0.00573628,45.96484
GEOM40.col,40,78,33,3175,13604,OPTIMAL,28,0.00629765,0.00430878,0.0106064,45.21484
GEOM40a.col,40,146,50,5092,29508,OPTIMAL,37,0.00947369,0.0161102,0.0255839,45.22656
GEOM40b.col,40,157,40,3976,22960,OPTIMAL,33,0.00789728,0.0163276,0.0242248,45.35156
GEOM50.col,50,127,36,4324,20423,OPTIMAL,28,0.00997089,0.00708325,0.0170541,45.95703
GEOM50a.col,50,238,61,7810,53039,OPTIMAL,50,0.0212535,0.460419,0.481673,65.01953
GEOM50b.col,50,249,54,6777,45627,OPTIMAL,35,0.0211847,0.0726915,0.0938762,46.21484
GEOM60.col,60,185,36,5192,26354,OPTIMAL,33,0.00918959,0.00526479,0.0144544,45.52734
GEOM60a.col,60,339,61,9372,70466,OPTIMAL,50,0.0299128,0.585132,0.615044,69.43359
GEOM60b.col,60,366,63,9611,74357,OPTIMAL,41,0.0249101,0.506952,0.531862,69.19141
GEOM70.col,70,267,44,7617,44311,OPTIMAL,38,0.0140333,0.025637,0.0396702,45.83984
GEOM70a.col,70,459,72,12948,107610,OPTIMAL,61,0.0474635,4.18979,4.23725,79.40234
GEOM70b.col,70,488,76,13984,119771,OPTIMAL,47,0.0389237,2.38102,2.41995,78.24609
GEOM80.col,80,349,54,10820,68630,OPTIMAL,41,0.022286,0.0434153,0.0657012,45.83203
GEOM80a.col,80,612,79,16469,153867,OPTIMAL,63,0.0517683,8.72173,8.77349,89.44141
GEOM80b.col,80,663,98,20661,201202,OPTIMAL,60,0.0741358,5.4022,5.47634,93.51172
GEOM90.col,90,441,54,12182,81495,OPTIMAL,46,0.026779,0.107065,0.133844,68.35156
GEOM90a.col,90,789,80,18713,191273,OPTIMAL,63,0.0646106,9.6367,9.70132,97.43359
GEOM90b.col,90,860,109,26409,284264,OPTIMAL,69,0.0967525,48.2059,48.3026,117.48047
c21_1_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000478644,0.00559551,0.00607416,45.34375
c21_1_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000467148,0.00474443,0.00521158,45.35156
c21_2_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00110003,0.00311414,0.00421417,45.47656
c21_2_d2.col,21,105,11,441,2940,OPTIMAL,9,0.000748634,0.00214072,0.00288935,45.40234
c21_3_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000453126,0.00470585,0.00515898,45.82812
c21_3_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000469769,0.00548127,0.00595104,45.35156
c21_4_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00107803,0.00308083,0.00415885,45.71094
c21_4_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00106853,0.00286741,0.00393594,45.33984
c21_5_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000467566,0.00539707,0.00586464,45.83203
c21_5_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000458227,0.00594863,0.00640686,45.53516
c21_6_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00105253,0.0023555,0.00340804,45.89062
c21_6_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00107721,0.00298641,0.00406362,45.76953
c21_7_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000455295,0.00431013,0.00476542,45.75391
c21_7_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000457659,0.00553896,0.00599662,45.47266
c21_8_d1.col,21,105,11,441,2940,OPTIMAL,9,0.000748804,0.00210965,0.00285845,45.41406
c21_8_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00107956,0.00296223,0.00404179,45.41016
c55_1_d1.col,55,362,8,825,4161,OPTIMAL,7,0.0012955,0.00421083,0.00550634,45.77344
c55_2_d2.col,55,362,8,825,4161,OPTIMAL,7,0.00127957,0.00598894,0.0072685,45.35156
