name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12514,88935,OPTIMAL,50,0.300781,0.967299,1.26808,73.13281
GEOM100a.col,100,992,91,17098,186361,OPTIMAL,66,1.19478,149.741,150.936,100.38672
GEOM100b.col,100,1050,121,18098,207850,OPTIMAL,71,3.10785,223.485,226.593,107.73047
GEOM110.col,110,638,64,13757,101686,OPTIMAL,50,0.352991,1.03053,1.38352,76.07422
GEOM110a.col,110,1207,109,19468,234301,OPTIMAL,69,2.64402,144.151,146.795,116.54688
GEOM110b.col,110,1256,121,21991,268833,OPTIMAL,77,3.34095,1213.2,1216.54,130.27344
GEOM120.col,120,773,73,18012,143526,OPTIMAL,59,0.485051,3.12936,3.61441,82.98047
GEOM120a.col,120,1434,109,25216,325837,OPTIMAL,82,2.33174,1277.97,1280.31,139.51953
GEOM120b.col,120,1491,123,26260,340273,OPTIMAL,83,3.73198,2513.12,2516.86,168.85547
GEOM20.col,20,20,24,890,2843,OPTIMAL,21,0.00368955,0.0182145,0.021904,45.44141
GEOM20a.col,20,37,24,860,3258,OPTIMAL,20,0.00373452,0.0220694,0.025804,46.05469
GEOM20b.col,20,32,16,448,1470,OPTIMAL,13,0.00241028,0.0469363,0.0493465,45.18359
GEOM30.col,30,50,33,1887,7434,OPTIMAL,28,0.0135996,0.0356399,0.0492395,45.43359
GEOM30a.col,30,81,32,1792,8299,OPTIMAL,27,0.0158749,0.0375593,0.0534342,45.86719
GEOM30b.col,30,81,27,1726,7779,OPTIMAL,26,0.0062481,0.014626,0.0208741,45.31641
GEOM40.col,40,78,33,2481,10181,OPTIMAL,28,0.01381,0.0383628,0.0521728,45.18359
GEOM40a.col,40,146,50,3428,18960,OPTIMAL,37,0.0570603,0.146767,0.203827,53.97656
GEOM40b.col,40,157,40,3077,17306,OPTIMAL,33,0.0300171,0.0733195,0.103337,53.60156
GEOM50.col,50,127,36,3094,13946,OPTIMAL,28,0.0292319,0.0674435,0.0966754,45.375
GEOM50a.col,50,238,61,6268,41328,OPTIMAL,50,0.102148,0.618419,0.720568,65.30859
GEOM50b.col,50,249,54,4103,26494,OPTIMAL,35,0.138785,0.299334,0.438118,63.83594
GEOM60.col,60,185,36,4616,23237,OPTIMAL,33,0.0209554,0.041491,0.0624464,45.37109
GEOM60a.col,60,339,61,7521,54918,OPTIMAL,50,0.141865,0.727779,0.869644,68.21094
GEOM60b.col,60,366,63,5968,44561,OPTIMAL,41,0.259734,0.992423,1.25216,66.94922
GEOM70.col,70,267,44,6537,36432,OPTIMAL,38,0.0571532,0.109936,0.167089,55.03125
GEOM70a.col,70,459,72,10786,88886,OPTIMAL,61,0.227272,6.11536,6.34263,75.65625
GEOM70b.col,70,488,76,8295,66869,OPTIMAL,47,0.535049,3.55552,4.09057,73.59375
GEOM80.col,80,349,54,7949,48951,OPTIMAL,41,0.16063,0.23394,0.39457,56.65234
GEOM80a.col,80,612,79,12652,115919,OPTIMAL,63,0.459189,10.3376,10.7968,81.13672
GEOM80b.col,80,663,98,12166,115041,OPTIMAL,60,1.25761,6.98718,8.24479,83.93359
GEOM90.col,90,441,54,9965,65404,OPTIMAL,46,0.138405,0.277354,0.415759,67.92578
GEOM90a.col,90,789,80,14228,142969,OPTIMAL,63,0.587872,11.7199,12.3077,85.32422
GEOM90b.col,90,860,109,15926,169462,OPTIMAL,69,1.91925,72.69,74.6093,97.10938
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.000468889,0.0138797,0.0143485,45.98828
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.000327212,0.0167249,0.0170521,45.37891
c21_2_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00129904,0.0145642,0.0158632,45.86719
c21_2_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00166878,0.0131218,0.0147906,45.79688
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.000336207,0.0152978,0.015634,45.37109
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.000472204,0.0171713,0.0176435,45.37891
c21_4_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00170174,0.0428107,0.0445124,45.92969
c21_4_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00135986,0.0134288,0.0147887,45.18359
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.000485047,0.0166188,0.0171039,46.05078
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.000474359,0.0162325,0.0167068,45.69141
c21_6_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00168516,0.0141014,0.0157865,45.37109
c21_6_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00165838,0.0138826,0.015541,45.44141
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.000327141,0.0171993,0.0175265,45.72266
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.000480217,0.0156701,0.0161503,45.44141
c21_8_d1.col,21,105,11,315,1914,OPTIMAL,9,0.0013006,0.0148928,0.0161934,45.19141
c21_8_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00167483,0.0137796,0.0154544,45.50391
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00143774,0.0192377,0.0206754,45.86719
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00141244,0.0225236,0.023936,45.44141
