name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12514,88960,OPTIMAL,50,0.300511,0.823209,1.12372,72.58984
GEOM100a.col,100,992,91,17098,186394,OPTIMAL,66,1.19991,226.734,227.934,102.96484
GEOM100b.col,100,1050,121,18098,207885,OPTIMAL,71,3.10641,249.044,252.15,108.67188
GEOM110.col,110,638,64,13757,101711,OPTIMAL,50,0.348065,1.16722,1.51529,74.83984
GEOM110a.col,110,1207,109,19468,234335,OPTIMAL,69,2.64619,119.647,122.293,110.49609
GEOM110b.col,110,1256,121,21991,268871,OPTIMAL,77,3.50107,1308.78,1312.28,134.3125
GEOM120.col,120,773,73,18012,143555,OPTIMAL,59,0.492417,2.6418,3.13422,80.93359
GEOM120a.col,120,1434,109,25216,325878,OPTIMAL,82,2.32685,1465.93,1468.25,141.91406
GEOM120b.col,120,1491,123,26260,340314,SATISFIABLE,83,3.7252,3595.44,3599.17,179.52734
GEOM20.col,20,20,24,890,2853,OPTIMAL,21,0.00288502,0.0169523,0.0198373,45.44922
GEOM20a.col,20,37,24,860,3268,OPTIMAL,20,0.00417879,0.0214143,0.0255931,45.44922
GEOM20b.col,20,32,16,448,1476,OPTIMAL,13,0.00187833,0.0156342,0.0175126,45.78516
GEOM30.col,30,50,33,1887,7448,OPTIMAL,28,0.00958452,0.0331192,0.0427037,45.29688
GEOM30a.col,30,81,32,1792,8312,OPTIMAL,27,0.0109347,0.0393244,0.0502591,45.8125
GEOM30b.col,30,81,27,1726,7792,OPTIMAL,26,0.00620599,0.0143156,0.0205216,45.875
GEOM40.col,40,78,33,2481,10195,OPTIMAL,28,0.0137595,0.0650709,0.0788305,45.29688
GEOM40a.col,40,146,50,3428,18978,OPTIMAL,37,0.0569852,0.135962,0.192947,53.92578
GEOM40b.col,40,157,40,3077,17322,OPTIMAL,33,0.029973,0.0689167,0.0988896,45.875
GEOM50.col,50,127,36,3094,13960,OPTIMAL,28,0.0303921,0.0670103,0.0974024,45.32031
GEOM50a.col,50,238,61,6268,41353,OPTIMAL,50,0.106177,0.671063,0.777241,65.91406
GEOM50b.col,50,249,54,4103,26511,OPTIMAL,35,0.139054,0.244352,0.383406,55.04297
GEOM60.col,60,185,36,4616,23253,OPTIMAL,33,0.0209868,0.0400923,0.061079,45.42188
GEOM60a.col,60,339,61,7521,54943,OPTIMAL,50,0.142746,0.883905,1.02665,68.73047
GEOM60b.col,60,366,63,5968,44581,OPTIMAL,41,0.260197,0.884411,1.14461,67.63672
GEOM70.col,70,267,44,6537,36451,OPTIMAL,38,0.0546613,0.103566,0.158228,55.06641
GEOM70a.col,70,459,72,10786,88916,OPTIMAL,61,0.228884,3.60831,3.83719,74.07031
GEOM70b.col,70,488,76,8295,66892,OPTIMAL,47,0.534281,3.53024,4.06452,73.49219
GEOM80.col,80,349,54,7949,48971,OPTIMAL,41,0.162286,0.226466,0.388753,58.45703
GEOM80a.col,80,612,79,12652,115950,OPTIMAL,63,0.461941,6.21911,6.68105,80.38672
GEOM80b.col,80,663,98,12166,115071,OPTIMAL,60,1.25231,8.43547,9.68778,83.37109
GEOM90.col,90,441,54,9965,65427,OPTIMAL,46,0.13622,0.283241,0.41946,68.00781
GEOM90a.col,90,789,80,14228,143000,OPTIMAL,63,0.605431,13.6425,14.2479,85.92188
GEOM90b.col,90,860,109,15926,169496,OPTIMAL,69,1.96196,103.854,105.816,95.80078
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.000489154,0.0105552,0.0110444,45.42578
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.000496815,0.0105366,0.0110334,46.0
c21_2_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00168243,0.0125031,0.0141856,46.0625
c21_2_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00168922,0.0127952,0.0144844,45.91016
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.000473028,0.0102539,0.0107269,45.67188
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.000474002,0.010786,0.01126,45.44922
c21_4_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00167962,0.0129843,0.0146639,45.32422
c21_4_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00166457,0.0129112,0.0145758,45.42188
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.000564987,0.00996912,0.0105341,45.93359
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.000483047,0.0108072,0.0112903,45.9375
c21_6_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00114565,0.0128183,0.013964,45.35938
c21_6_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00176913,0.0131995,0.0149686,45.44922
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.000492736,0.0108291,0.0113218,45.42188
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.000487023,0.0109753,0.0114623,45.38672
c21_8_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00170317,0.0126597,0.0143629,45.38672
c21_8_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00170998,0.0131831,0.014893,45.38672
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00123245,0.0181066,0.0193391,45.44922
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.00122079,0.017526,0.0187468,45.875
