name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,22544,129080,OPTIMAL,50,0.714822,0.861394,1.57622,93.12891
GEOM100a.col,100,992,91,33984,253938,OPTIMAL,66,2.55163,121.323,123.874,139.66406
GEOM100b.col,100,1050,121,37078,283805,OPTIMAL,71,6.36232,281.212,287.574,159.11328
GEOM110.col,110,638,64,25204,147499,OPTIMAL,50,0.814853,1.06301,1.87787,101.42969
GEOM110a.col,110,1207,109,39403,314075,OPTIMAL,69,5.29517,139.479,144.774,151.94922
GEOM110b.col,110,1256,121,44621,359391,OPTIMAL,77,6.79525,1036.57,1043.36,197.23828
GEOM120.col,120,773,73,33693,206279,OPTIMAL,59,1.13589,3.0538,4.18969,114.48828
GEOM120a.col,120,1434,109,53161,437658,OPTIMAL,82,4.80095,884.046,888.847,213.90625
GEOM120b.col,120,1491,123,53469,449150,OPTIMAL,83,7.63615,3417.52,3425.16,262.38672
GEOM20.col,20,20,24,1017,3361,OPTIMAL,21,0.00704736,0.00183767,0.00888503,45.42578
GEOM20a.col,20,37,24,1170,4508,OPTIMAL,20,0.00862616,0.00191115,0.0105373,45.42578
GEOM20b.col,20,32,16,644,2260,OPTIMAL,13,0.00541903,0.00137475,0.00679379,45.84766
GEOM30.col,30,50,33,2373,9392,OPTIMAL,28,0.0197606,0.00565928,0.0254199,45.29688
GEOM30a.col,30,81,32,2778,12256,OPTIMAL,27,0.0250904,0.00625488,0.0313453,45.72656
GEOM30b.col,30,81,27,2733,11820,OPTIMAL,26,0.0106765,0.00258106,0.0132576,45.42578
GEOM40.col,40,78,33,3408,13903,OPTIMAL,28,0.0293635,0.00659384,0.0359573,45.91016
GEOM40a.col,40,146,50,5851,28670,OPTIMAL,37,0.136064,0.0509782,0.187042,58.91797
GEOM40b.col,40,157,40,5145,25594,OPTIMAL,33,0.0702927,0.0264964,0.0967891,57.36719
GEOM50.col,50,127,36,4665,20244,OPTIMAL,28,0.072725,0.00999916,0.0827242,45.36328
GEOM50a.col,50,238,61,10655,58901,OPTIMAL,50,0.242683,0.712563,0.955246,70.69141
GEOM50b.col,50,249,54,7431,39823,OPTIMAL,35,0.307095,0.156495,0.463589,63.99609
GEOM60.col,60,185,36,7305,34009,OPTIMAL,33,0.0493697,0.0107187,0.0600884,45.78516
GEOM60a.col,60,339,61,13122,77347,OPTIMAL,50,0.316831,0.680053,0.996883,77.29688
GEOM60b.col,60,366,63,11139,65265,OPTIMAL,41,0.581634,1.19663,1.77827,74.80078
GEOM70.col,70,267,44,10884,53839,OPTIMAL,38,0.130677,0.0523763,0.183053,61.75781
GEOM70a.col,70,459,72,19647,124360,OPTIMAL,61,0.514309,3.2686,3.78291,89.98828
GEOM70b.col,70,488,76,15612,96160,OPTIMAL,47,1.17051,3.20395,4.37446,83.95703
GEOM80.col,80,349,54,13626,71679,OPTIMAL,41,0.370919,0.0942484,0.465168,71.24219
GEOM80a.col,80,612,79,24385,162882,OPTIMAL,63,0.964811,6.47877,7.44358,102.58203
GEOM80b.col,80,663,98,23663,161059,OPTIMAL,60,2.6104,7.76039,10.3708,109.89062
GEOM90.col,90,441,54,18246,98551,OPTIMAL,46,0.314755,0.159395,0.47415,75.78125
GEOM90a.col,90,789,80,28388,199640,OPTIMAL,63,1.28306,11.2476,12.5307,112.10156
GEOM90b.col,90,860,109,31589,232148,OPTIMAL,69,3.98941,50.0372,54.0266,131.69922
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.0016913,0.00277869,0.00446999,45.85156
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.00170866,0.00234123,0.0040499,45.42578
c21_2_d1.col,21,105,11,357,2086,OPTIMAL,9,0.00295491,0.0023109,0.00526581,45.30078
c21_2_d2.col,21,105,11,357,2086,OPTIMAL,9,0.00402108,0.00354896,0.00757004,45.97266
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.00164294,0.0022613,0.00390424,45.29688
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.00139023,0.00213415,0.00352438,45.36328
c21_4_d1.col,21,105,11,357,2086,OPTIMAL,9,0.00310508,0.00254725,0.00565233,45.36328
c21_4_d2.col,21,105,11,357,2086,OPTIMAL,9,0.0039654,0.00341794,0.00738335,43.79688
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.00160406,0.00205828,0.00366234,45.55078
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.00136835,0.0020804,0.00344875,45.36328
c21_6_d1.col,21,105,11,357,2086,OPTIMAL,9,0.00294253,0.00218578,0.00512831,45.35938
c21_6_d2.col,21,105,11,357,2086,OPTIMAL,9,0.00401579,0.00348446,0.00750025,45.36328
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00139953,0.00190343,0.00330296,45.71875
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.00147921,0.00195718,0.00343638,45.42578
c21_8_d1.col,21,105,11,357,2086,OPTIMAL,9,0.00401478,0.00358195,0.00759674,45.36328
c21_8_d2.col,21,105,11,357,2086,OPTIMAL,9,0.00307107,0.00264678,0.00571785,45.55078
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00322764,0.00482333,0.00805097,45.42578
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.00521372,0.00522243,0.0104361,45.48828
