name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,22954,131362,OPTIMAL,50,0.709508,0.844018,1.55353,94.15234
GEOM100a.col,100,992,91,34236,256009,OPTIMAL,66,2.48097,186.181,188.662,139.25781
GEOM100b.col,100,1050,121,37303,285354,OPTIMAL,71,6.32883,151.052,157.381,151.90625
GEOM110.col,110,638,64,25626,149803,OPTIMAL,50,0.812429,1.3299,2.14233,102.24219
GEOM110a.col,110,1207,109,39551,315176,OPTIMAL,69,5.25036,180.797,186.047,171.57422
GEOM110b.col,110,1256,121,44888,361219,OPTIMAL,77,6.75864,1011.64,1018.4,189.4375
GEOM120.col,120,773,73,34196,209093,OPTIMAL,59,1.12457,3.6855,4.81006,116.82031
GEOM120a.col,120,1434,109,53365,438920,OPTIMAL,82,4.73836,1114.41,1119.15,237.48047
GEOM120b.col,120,1491,123,53831,451420,OPTIMAL,83,7.56382,1568.37,1575.94,237.26172
GEOM20.col,20,20,24,1136,3679,OPTIMAL,21,0.00754507,0.00217329,0.00971836,45.36328
GEOM20a.col,20,37,24,1298,4838,OPTIMAL,20,0.00953886,0.00257239,0.0121113,45.36328
GEOM20b.col,20,32,16,715,2498,OPTIMAL,13,0.00390439,0.000715828,0.00462022,45.67578
GEOM30.col,30,50,33,2629,10070,OPTIMAL,28,0.0197794,0.00581377,0.0255932,45.36328
GEOM30a.col,30,81,32,2887,12642,OPTIMAL,27,0.0253639,0.00582051,0.0311845,45.42578
GEOM30b.col,30,81,27,2882,12333,OPTIMAL,26,0.0104993,0.00284697,0.0133463,45.85156
GEOM40.col,40,78,33,3775,14939,OPTIMAL,28,0.03115,0.00728762,0.0384376,45.30078
GEOM40a.col,40,146,50,5946,29002,OPTIMAL,37,0.137094,0.0392306,0.176324,58.53516
GEOM40b.col,40,157,40,5327,26326,OPTIMAL,33,0.0722543,0.0274495,0.0997037,57.83984
GEOM50.col,50,127,36,5076,21501,OPTIMAL,28,0.066269,0.0111906,0.0774596,45.36328
GEOM50a.col,50,238,61,10796,59902,OPTIMAL,50,0.236081,0.425351,0.661432,68.77734
GEOM50b.col,50,249,54,7649,40783,OPTIMAL,35,0.302787,0.13577,0.438557,63.29688
GEOM60.col,60,185,36,7605,35172,OPTIMAL,33,0.0495784,0.0109369,0.0605153,45.42578
GEOM60a.col,60,339,61,13316,78830,OPTIMAL,50,0.315421,0.687587,1.00301,77.83984
GEOM60b.col,60,366,63,11262,66105,OPTIMAL,41,0.574831,0.803023,1.37785,74.49219
GEOM70.col,70,267,44,11305,55354,OPTIMAL,38,0.132344,0.0579105,0.190255,66.48438
GEOM70a.col,70,459,72,19927,126019,OPTIMAL,61,0.508458,3.31016,3.81862,90.60938
GEOM70b.col,70,488,76,15819,97234,OPTIMAL,47,1.12985,4.52522,5.65507,86.65625
GEOM80.col,80,349,54,14073,73627,OPTIMAL,41,0.364689,0.0750375,0.439727,69.04297
GEOM80a.col,80,612,79,24839,165338,OPTIMAL,63,0.963746,5.79572,6.75946,102.66016
GEOM80b.col,80,663,98,23939,162866,OPTIMAL,60,2.54904,8.80068,11.3497,110.90625
GEOM90.col,90,441,54,18868,100963,OPTIMAL,46,0.317793,0.171222,0.489015,76.51953
GEOM90a.col,90,789,80,28671,201569,OPTIMAL,63,1.28431,12.1496,13.4339,113.0
GEOM90b.col,90,860,109,31910,234237,OPTIMAL,69,3.93913,47.9597,51.8988,133.02734
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.00131296,0.00192267,0.00323563,45.91406
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.00151878,0.0022066,0.00372538,45.30078
c21_2_d1.col,21,105,11,357,2086,OPTIMAL,9,0.002986,0.00204045,0.00502645,45.36328
c21_2_d2.col,21,105,11,357,2086,OPTIMAL,9,0.00303652,0.0021967,0.00523321,45.91016
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.00136344,0.00217121,0.00353465,45.05078
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.00150447,0.00204122,0.00354569,45.36328
c21_4_d1.col,21,105,11,357,2086,OPTIMAL,9,0.00260641,0.00229448,0.00490089,45.85156
c21_4_d2.col,21,105,11,357,2086,OPTIMAL,9,0.00320978,0.00240612,0.0056159,45.30078
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.00133255,0.00215063,0.00348318,45.85156
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.00165557,0.00282425,0.00447982,45.78906
c21_6_d1.col,21,105,11,357,2086,OPTIMAL,9,0.00314661,0.00239171,0.00553832,45.42578
c21_6_d2.col,21,105,11,357,2086,OPTIMAL,9,0.00396795,0.00340011,0.00736805,45.85156
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00137413,0.00202933,0.00340346,45.42188
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.00171213,0.00287874,0.00459087,45.17578
c21_8_d1.col,21,105,11,357,2086,OPTIMAL,9,0.00301518,0.00239071,0.00540589,45.85156
c21_8_d2.col,21,105,11,357,2086,OPTIMAL,9,0.00313114,0.00223146,0.0053626,45.23828
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00504895,0.0068692,0.0119182,45.85156
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.0031348,0.00459401,0.00772882,45.85156
