name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,22544,129055,OPTIMAL,50,0.349855,1.36099,1.71085,78.875
GEOM100a.col,100,992,91,33984,253905,OPTIMAL,66,1.51922,174.947,176.466,106.05469
GEOM100b.col,100,1050,121,37078,283770,OPTIMAL,71,3.64333,173.124,176.767,113.99609
GEOM110.col,110,638,64,25204,147474,OPTIMAL,50,0.445438,1.36963,1.81507,81.42188
GEOM110a.col,110,1207,109,39403,314041,OPTIMAL,69,3.10216,178.151,181.253,121.24609
GEOM110b.col,110,1256,121,44621,359353,OPTIMAL,77,4.14356,1392.61,1396.75,140.10938
GEOM120.col,120,773,73,33693,206250,OPTIMAL,59,0.577165,4.79652,5.37369,90.44922
GEOM120a.col,120,1434,109,53161,437617,OPTIMAL,82,2.66625,1960.96,1963.63,149.58203
GEOM120b.col,120,1491,123,53469,449109,SATISFIABLE,83,4.46373,3594.8,3599.26,190.91406
GEOM20.col,20,20,24,1017,3351,OPTIMAL,21,0.00307217,0.0179565,0.0210287,45.77344
GEOM20a.col,20,37,24,1170,4498,OPTIMAL,20,0.00641969,0.0246954,0.031115,45.69141
GEOM20b.col,20,32,16,644,2254,OPTIMAL,13,0.0027765,0.0161615,0.018938,46.06641
GEOM30.col,30,50,33,2373,9378,OPTIMAL,28,0.0110149,0.0370431,0.048058,45.94141
GEOM30a.col,30,81,32,2778,12243,OPTIMAL,27,0.0136283,0.0438061,0.0574343,45.34375
GEOM30b.col,30,81,27,2733,11807,OPTIMAL,26,0.00619115,0.0185141,0.0247052,45.28125
GEOM40.col,40,78,33,3408,13889,OPTIMAL,28,0.018156,0.0469015,0.0650575,45.45312
GEOM40a.col,40,146,50,5851,28652,OPTIMAL,37,0.0705582,0.164284,0.234842,63.07422
GEOM40b.col,40,157,40,5145,25578,OPTIMAL,33,0.0387596,0.102443,0.141202,57.79297
GEOM50.col,50,127,36,4665,20230,OPTIMAL,28,0.0373153,0.0918702,0.129185,61.71094
GEOM50a.col,50,238,61,10655,58876,OPTIMAL,50,0.124919,0.888222,1.01314,67.75
GEOM50b.col,50,249,54,7431,39806,OPTIMAL,35,0.160409,0.378591,0.539001,65.51953
GEOM60.col,60,185,36,7305,33993,OPTIMAL,33,0.033212,0.0560337,0.0892457,46.00391
GEOM60a.col,60,339,61,13122,77322,OPTIMAL,50,0.163369,0.980669,1.14404,70.6875
GEOM60b.col,60,366,63,11139,65245,OPTIMAL,41,0.301643,1.15936,1.46101,69.71875
GEOM70.col,70,267,44,10884,53820,OPTIMAL,38,0.0650699,0.143582,0.208652,65.95703
GEOM70a.col,70,459,72,19647,124330,OPTIMAL,61,0.270934,6.72813,6.99907,78.14062
GEOM70b.col,70,488,76,15612,96137,OPTIMAL,47,0.73211,5.38705,6.11916,77.3125
GEOM80.col,80,349,54,13626,71659,OPTIMAL,41,0.204106,0.347567,0.551673,68.55859
GEOM80a.col,80,612,79,24385,162851,OPTIMAL,63,0.539538,12.5963,13.1358,85.3125
GEOM80b.col,80,663,98,23663,161029,OPTIMAL,60,1.63297,10.2314,11.8644,88.80469
GEOM90.col,90,441,54,18246,98528,OPTIMAL,46,0.190142,0.52504,0.715182,71.89453
GEOM90a.col,90,789,80,28388,199609,OPTIMAL,63,0.764105,15.1434,15.9075,90.375
GEOM90b.col,90,860,109,31589,232114,OPTIMAL,69,2.52989,70.515,73.0449,101.33594
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.00101838,0.0128668,0.0138851,45.88281
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.000682808,0.014825,0.0155078,45.40625
c21_2_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00227737,0.0142202,0.0164975,45.53125
c21_2_d2.col,21,105,11,357,2082,OPTIMAL,9,0.00149459,0.0156488,0.0171434,46.06641
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.000811066,0.0167345,0.0175456,45.45312
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.00107738,0.0174043,0.0184817,45.83203
c21_4_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00228333,0.0146254,0.0169087,45.76953
c21_4_d2.col,21,105,11,357,2082,OPTIMAL,9,0.00232188,0.0136711,0.0159929,45.81641
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.0010982,0.0169597,0.0180579,46.125
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.000929313,0.0165418,0.0174711,45.33203
c21_6_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00230396,0.0147195,0.0170235,45.75391
c21_6_d2.col,21,105,11,357,2082,OPTIMAL,9,0.00157674,0.0138755,0.0154523,45.45312
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00116738,0.0190539,0.0202213,46.31641
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.000826696,0.0160103,0.016837,45.33203
c21_8_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00180505,0.0125291,0.0143342,45.46875
c21_8_d2.col,21,105,11,357,2082,OPTIMAL,9,0.0016789,0.0144958,0.0161747,45.33203
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00255868,0.0208199,0.0233786,45.75391
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00351086,0.0239438,0.0274547,45.83594
