name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,19928,118616,OPTIMAL,50,0.61755,1.33738,1.95493,89.89453
GEOM100a.col,100,992,91,29867,237470,OPTIMAL,66,2.23926,80.3672,82.6064,129.33594
GEOM100b.col,100,1050,121,32442,265261,OPTIMAL,71,5.65501,269.716,275.371,156.67188
GEOM110.col,110,638,64,22315,135943,OPTIMAL,50,0.721968,1.3823,2.10427,97.52734
GEOM110a.col,110,1207,109,34553,294675,OPTIMAL,69,4.8021,163.103,167.905,156.54688
GEOM110b.col,110,1256,121,38935,336647,OPTIMAL,77,6.11922,857.25,863.37,186.40234
GEOM120.col,120,773,73,29731,190431,OPTIMAL,59,0.999303,4.56981,5.56911,111.91797
GEOM120a.col,120,1434,109,46614,411470,OPTIMAL,82,4.22211,962.159,966.381,210.48438
GEOM120b.col,120,1491,123,47075,428238,SATISFIABLE,84,6.68471,3593.32,3600.0,262.8125
GEOM20.col,20,20,24,1017,3361,OPTIMAL,21,0.00704256,0.00176317,0.00880573,45.85938
GEOM20a.col,20,37,24,1082,4156,OPTIMAL,20,0.0106558,0.00266211,0.0133179,45.85938
GEOM20b.col,20,32,16,578,1996,OPTIMAL,13,0.00437681,0.00133291,0.00570972,45.85156
GEOM30.col,30,50,33,2333,9232,OPTIMAL,28,0.0192448,0.00567058,0.0249154,45.36328
GEOM30a.col,30,81,32,2464,11000,OPTIMAL,27,0.0224532,0.00477184,0.0272251,45.37109
GEOM30b.col,30,81,27,2459,10724,OPTIMAL,26,0.00982572,0.00221196,0.0120377,45.92188
GEOM40.col,40,78,33,3196,13055,OPTIMAL,28,0.0304977,0.00699569,0.0374934,45.36328
GEOM40a.col,40,146,50,5137,25814,OPTIMAL,37,0.12256,0.0482726,0.170833,58.32812
GEOM40b.col,40,157,40,4615,23474,OPTIMAL,33,0.0672191,0.0240336,0.0912527,47.79688
GEOM50.col,50,127,36,4290,18744,OPTIMAL,28,0.0760268,0.0115329,0.0875598,47.79688
GEOM50a.col,50,238,61,9337,53629,OPTIMAL,50,0.205884,0.841677,1.04756,70.09766
GEOM50b.col,50,249,54,6609,36535,OPTIMAL,35,0.286229,0.134072,0.420302,62.37109
GEOM60.col,60,185,36,6611,31233,OPTIMAL,33,0.048381,0.0109292,0.0593103,45.42969
GEOM60a.col,60,339,61,11498,70851,OPTIMAL,50,0.283191,0.664891,0.948082,73.05859
GEOM60b.col,60,366,63,9827,60017,OPTIMAL,41,0.523393,1.54433,2.06772,73.55859
GEOM70.col,70,267,44,9765,49363,OPTIMAL,38,0.12022,0.0474191,0.167639,61.04688
GEOM70a.col,70,459,72,17359,115208,OPTIMAL,61,0.464044,3.94152,4.40556,87.80078
GEOM70b.col,70,488,76,13812,88960,OPTIMAL,47,1.02379,4.74949,5.77327,84.01562
GEOM80.col,80,349,54,12106,65599,OPTIMAL,41,0.325008,0.0799195,0.404928,65.37891
GEOM80a.col,80,612,79,21611,151786,OPTIMAL,63,0.87801,6.59548,7.47349,99.14062
GEOM80b.col,80,663,98,20724,149303,OPTIMAL,60,2.27981,7.87837,10.1582,101.83984
GEOM90.col,90,441,54,16216,90431,OPTIMAL,46,0.292945,0.149903,0.442847,71.0625
GEOM90a.col,90,789,80,25004,186104,OPTIMAL,63,1.14605,11.2505,12.3966,104.42969
GEOM90b.col,90,860,109,27667,216460,OPTIMAL,69,3.50886,72.8494,76.3583,126.75781
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.000956657,0.00217945,0.00313611,45.92188
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.00105302,0.00231672,0.00336974,44.74609
c21_2_d1.col,21,105,11,315,1918,OPTIMAL,9,0.0025038,0.00153374,0.00403754,45.85938
c21_2_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00267249,0.00140898,0.00408147,45.42578
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.00105952,0.00294727,0.00400679,45.30469
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.00109884,0.00288861,0.00398745,45.37109
c21_4_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00300256,0.0018928,0.00489536,45.98438
c21_4_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00303306,0.00219973,0.00523278,45.36328
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.00113685,0.00227774,0.00341459,45.43359
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.00107459,0.00298062,0.00405521,45.85938
c21_6_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00303589,0.00213366,0.00516956,45.36328
c21_6_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00243514,0.00142603,0.00386118,45.37109
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00103434,0.00196337,0.00299771,45.72656
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.000738382,0.00205047,0.00278886,45.43359
c21_8_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00263596,0.00154353,0.00417949,45.37109
c21_8_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00305951,0.00204236,0.00510187,45.85938
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00203644,0.00445034,0.00648679,45.85938
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.00244191,0.00456085,0.00700276,45.79688
