name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,19928,118616,OPTIMAL,50,0.30954,1.30193,1.61147,77.62891
GEOM100a.col,100,992,91,29867,237470,OPTIMAL,66,1.19904,147.261,148.46,104.99609
GEOM100b.col,100,1050,121,32442,265261,OPTIMAL,71,3.11693,149.472,152.589,113.03516
GEOM110.col,110,638,64,22315,135943,OPTIMAL,50,0.360877,1.26925,1.63013,79.14453
GEOM110a.col,110,1207,109,34553,294675,OPTIMAL,69,2.62941,138.212,140.841,117.81641
GEOM110b.col,110,1256,121,38935,336647,OPTIMAL,77,3.29973,1236.2,1239.5,139.24609
GEOM120.col,120,773,73,29731,190431,OPTIMAL,59,0.502112,4.09975,4.60186,88.09375
GEOM120a.col,120,1434,109,46614,411470,OPTIMAL,82,2.3414,1961.89,1964.23,151.46875
GEOM120b.col,120,1491,123,46827,422582,SATISFIABLE,83,3.72426,3596.12,3599.84,178.13281
GEOM20.col,20,20,24,1017,3361,OPTIMAL,21,0.00390257,0.0175752,0.0214778,45.38281
GEOM20a.col,20,37,24,1082,4156,OPTIMAL,20,0.0043978,0.0235043,0.0279021,45.19531
GEOM20b.col,20,32,16,578,1996,OPTIMAL,13,0.00223059,0.0162549,0.0184855,45.98828
GEOM30.col,30,50,33,2333,9232,OPTIMAL,28,0.00975433,0.0364964,0.0462508,45.375
GEOM30a.col,30,81,32,2464,11000,OPTIMAL,27,0.0113299,0.040637,0.0519669,45.93359
GEOM30b.col,30,81,27,2459,10724,OPTIMAL,26,0.00679182,0.0185157,0.0253075,45.32031
GEOM40.col,40,78,33,3196,13055,OPTIMAL,28,0.0164188,0.0451171,0.0615359,45.25
GEOM40a.col,40,146,50,5137,25814,OPTIMAL,37,0.0594751,0.169901,0.229376,54.43359
GEOM40b.col,40,157,40,4615,23474,OPTIMAL,33,0.031879,0.0886076,0.120487,62.21094
GEOM50.col,50,127,36,4290,18744,OPTIMAL,28,0.0385018,0.0845895,0.123091,53.75781
GEOM50a.col,50,238,61,9337,53629,OPTIMAL,50,0.107685,0.885135,0.99282,67.80859
GEOM50b.col,50,249,54,6609,36535,OPTIMAL,35,0.139876,0.367706,0.507582,55.91797
GEOM60.col,60,185,36,6611,31233,OPTIMAL,33,0.022467,0.0496372,0.0721041,45.25
GEOM60a.col,60,339,61,11498,70851,OPTIMAL,50,0.140218,1.15979,1.30001,70.40625
GEOM60b.col,60,366,63,9827,60017,OPTIMAL,41,0.263563,1.19422,1.45779,69.125
GEOM70.col,70,267,44,9765,49363,OPTIMAL,38,0.0580746,0.154526,0.212601,65.19531
GEOM70a.col,70,459,72,17359,115208,OPTIMAL,61,0.235559,3.37035,3.60591,77.03125
GEOM70b.col,70,488,76,13812,88960,OPTIMAL,47,0.547453,3.70039,4.24785,76.35547
GEOM80.col,80,349,54,12106,65599,OPTIMAL,41,0.171549,0.309276,0.480826,67.86328
GEOM80a.col,80,612,79,21611,151786,OPTIMAL,63,0.47679,6.69416,7.17095,84.05469
GEOM80b.col,80,663,98,20724,149303,OPTIMAL,60,1.27758,8.42117,9.69875,87.45703
GEOM90.col,90,441,54,16216,90431,OPTIMAL,46,0.143392,0.469761,0.613153,70.13672
GEOM90a.col,90,789,80,25004,186104,OPTIMAL,63,0.582824,13.7732,14.356,89.54297
GEOM90b.col,90,860,109,27667,216460,OPTIMAL,69,1.95862,78.5391,80.4977,100.37891
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.000455769,0.0106855,0.0111413,45.99219
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.00048028,0.0108737,0.011354,45.00781
c21_2_d1.col,21,105,11,315,1918,OPTIMAL,9,0.000984139,0.0129311,0.0139153,45.44531
c21_2_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00149405,0.0129116,0.0144056,45.73828
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.000478906,0.00907371,0.00955261,45.375
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.000479948,0.0110763,0.0115563,45.38281
c21_4_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00153909,0.013399,0.0149381,45.44531
c21_4_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00148788,0.0128039,0.0142918,45.4375
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.000486013,0.0104323,0.0109184,45.80469
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.000497787,0.0103815,0.0108793,45.74609
c21_6_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00148268,0.012878,0.0143607,45.375
c21_6_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00114131,0.0130569,0.0141982,45.93359
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.000496604,0.0106995,0.0111962,45.5
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.000470843,0.0106226,0.0110935,45.19531
c21_8_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00122667,0.0136226,0.0148492,45.38281
c21_8_d2.col,21,105,11,315,1918,OPTIMAL,9,0.0015054,0.0128933,0.0143987,45.19531
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.000990873,0.0171077,0.0180986,45.99609
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.0014207,0.0191134,0.0205341,45.38281
