name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,24606,137303,OPTIMAL,50,3.02938,0.875776,3.90516,93.19141
GEOM100a.col,100,992,91,47582,308297,OPTIMAL,66,11.845,192.831,204.676,153.55469
GEOM100b.col,100,1050,121,53824,350754,OPTIMAL,71,29.3867,146.929,176.316,169.28516
GEOM110.col,110,638,64,28278,159770,OPTIMAL,50,3.57505,0.914745,4.48979,99.61719
GEOM110a.col,110,1207,109,58489,390385,OPTIMAL,69,26.5481,204.965,231.513,181.37109
GEOM110b.col,110,1256,121,66927,448577,OPTIMAL,77,33.7711,840.795,874.566,225.27734
GEOM120.col,120,773,73,38995,227458,OPTIMAL,59,4.99234,4.35465,9.34699,124.05469
GEOM120a.col,120,1434,109,84605,563393,OPTIMAL,82,23.656,1020.87,1044.53,229.29297
GEOM120b.col,120,1491,123,84548,573425,OPTIMAL,83,37.382,1691.02,1728.4,274.19141
GEOM20.col,20,20,24,1028,3395,OPTIMAL,21,0.0229722,0.00156132,0.0245335,45.60156
GEOM20a.col,20,37,24,1125,4318,OPTIMAL,20,0.0295933,0.00208416,0.0316775,45.88672
GEOM20b.col,20,32,16,602,2086,OPTIMAL,13,0.0155788,0.00126367,0.0168424,45.39062
GEOM30.col,30,50,33,2388,9438,OPTIMAL,28,0.0808822,0.00601077,0.086893,47.91797
GEOM30a.col,30,81,32,2653,11743,OPTIMAL,27,0.100764,0.00673903,0.107503,55.00781
GEOM30b.col,30,81,27,2682,11603,OPTIMAL,26,0.0385914,0.00191742,0.0405088,45.66406
GEOM40.col,40,78,33,3294,13433,OPTIMAL,28,0.117695,0.00754296,0.125238,55.67969
GEOM40a.col,40,146,50,5887,28796,OPTIMAL,37,0.574848,0.0290067,0.603854,58.89062
GEOM40b.col,40,157,40,5532,27126,OPTIMAL,33,0.315169,0.0406457,0.355815,58.35547
GEOM50.col,50,127,36,4523,19662,OPTIMAL,28,0.266829,0.0100235,0.276852,56.96484
GEOM50a.col,50,238,61,10948,60048,OPTIMAL,50,0.996229,0.511386,1.50761,70.49609
GEOM50b.col,50,249,54,8474,43978,OPTIMAL,35,1.33844,0.15166,1.4901,63.76562
GEOM60.col,60,185,36,7148,33365,OPTIMAL,33,0.197898,0.0115917,0.20949,58.74609
GEOM60a.col,60,339,61,14192,81602,OPTIMAL,50,1.3606,1.08883,2.44943,77.63672
GEOM60b.col,60,366,63,13110,73129,OPTIMAL,41,2.57497,1.17288,3.74785,78.78125
GEOM70.col,70,267,44,10979,54200,OPTIMAL,38,0.546871,0.0493594,0.596231,63.07422
GEOM70a.col,70,459,72,22669,136418,OPTIMAL,61,2.26471,4.19153,6.45624,93.27344
GEOM70b.col,70,488,76,19366,111153,OPTIMAL,47,5.27317,3.57981,8.85298,89.17969
GEOM80.col,80,349,54,14171,73839,OPTIMAL,41,1.56606,0.0771192,1.64318,69.99609
GEOM80a.col,80,612,79,30333,186643,OPTIMAL,63,4.57936,9.84203,14.4214,109.51562
GEOM80b.col,80,663,98,30410,188017,OPTIMAL,60,12.1982,10.6972,22.8954,110.85156
GEOM90.col,90,441,54,19859,104980,OPTIMAL,46,1.36505,0.190949,1.556,80.49219
GEOM90a.col,90,789,80,38326,239361,OPTIMAL,63,6.27732,10.5055,16.7828,123.93359
GEOM90b.col,90,860,109,43055,277978,OPTIMAL,69,18.928,63.8052,82.7332,144.25781
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.00258976,0.0037443,0.00633406,45.75781
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.00317722,0.00381485,0.00699207,45.96484
c21_2_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00799781,0.00276554,0.0107634,45.60156
c21_2_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00904415,0.00261056,0.0116547,46.19141
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.00241544,0.00386296,0.0062784,45.87891
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.00321504,0.00538962,0.00860466,45.60156
c21_4_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00748228,0.00255075,0.010033,45.82422
c21_4_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00785892,0.00252213,0.010381,45.45312
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.00326623,0.0049279,0.00819412,46.07031
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.00327618,0.00533056,0.00860673,45.88672
c21_6_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00803162,0.0025725,0.0106041,45.45312
c21_6_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00966288,0.00278831,0.0124512,46.01172
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00331267,0.00432146,0.00763413,45.73828
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00324944,0.00384315,0.00709259,45.39844
c21_8_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00879988,0.00253646,0.0113363,45.60156
c21_8_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00738823,0.00258248,0.0099707,45.52344
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00874675,0.00385412,0.0126009,45.39844
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00644195,0.00365293,0.0100949,45.77734
