name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,28830,154224,OPTIMAL,50,3.40339,0.814625,4.21801,98.32812
GEOM100a.col,100,992,91,56930,345722,OPTIMAL,66,13.5177,261.76,275.278,164.65625
GEOM100b.col,100,1050,121,66678,402205,OPTIMAL,71,35.4696,127.963,163.432,192.42188
GEOM110.col,110,638,64,32892,178251,OPTIMAL,50,3.92498,1.12385,5.04883,105.07812
GEOM110a.col,110,1207,109,70341,437827,OPTIMAL,69,29.657,245.405,275.062,200.37109
GEOM110b.col,110,1256,121,83691,515671,OPTIMAL,77,38.7099,958.412,997.122,221.69922
GEOM120.col,120,773,73,45891,255071,OPTIMAL,59,5.62949,4.85893,10.4884,128.89062
GEOM120a.col,120,1434,109,100673,627706,OPTIMAL,82,26.0846,874.403,900.487,257.08203
GEOM120b.col,120,1491,123,104988,655226,OPTIMAL,83,43.0766,959.584,1002.66,266.96484
GEOM20.col,20,20,24,1028,3405,OPTIMAL,21,0.0199662,0.00156604,0.0215323,45.54688
GEOM20a.col,20,37,24,1213,4680,OPTIMAL,20,0.0313249,0.00230241,0.0336273,45.91016
GEOM20b.col,20,32,16,708,2516,OPTIMAL,13,0.0144684,0.00118275,0.0156511,45.71484
GEOM30.col,30,50,33,2428,9612,OPTIMAL,28,0.0814647,0.00598281,0.0874475,45.35156
GEOM30a.col,30,81,32,3031,13268,OPTIMAL,27,0.114705,0.00637156,0.121076,55.28125
GEOM30b.col,30,81,27,3110,13328,OPTIMAL,26,0.0431833,0.00232012,0.0455034,45.35938
GEOM40.col,40,78,33,3506,14295,OPTIMAL,28,0.125592,0.00747113,0.133063,55.875
GEOM40a.col,40,146,50,6901,32870,OPTIMAL,37,0.647579,0.0310776,0.678657,59.85547
GEOM40b.col,40,157,40,6384,30550,OPTIMAL,33,0.338472,0.0369893,0.375462,59.80078
GEOM50.col,50,127,36,5007,21612,OPTIMAL,28,0.283965,0.0108188,0.294784,57.6875
GEOM50a.col,50,238,61,12886,67825,OPTIMAL,50,1.12483,0.594474,1.7193,73.42969
GEOM50b.col,50,249,54,9898,49691,OPTIMAL,35,1.5263,0.127512,1.65382,65.31641
GEOM60.col,60,185,36,8020,36869,OPTIMAL,33,0.224251,0.0122659,0.236517,59.49609
GEOM60a.col,60,339,61,17126,93363,OPTIMAL,50,1.55103,0.963932,2.51496,80.73047
GEOM60b.col,60,366,63,15734,83645,OPTIMAL,41,2.93744,1.27476,4.21219,78.16406
GEOM70.col,70,267,44,12413,59955,OPTIMAL,38,0.601592,0.0568319,0.658424,64.48438
GEOM70a.col,70,459,72,27045,153952,OPTIMAL,61,2.5439,2.33614,4.88004,96.4375
GEOM70b.col,70,488,76,23398,127304,OPTIMAL,47,6.09278,4.17325,10.266,94.38281
GEOM80.col,80,349,54,16195,81955,OPTIMAL,41,1.69519,0.0842436,1.77943,70.95703
GEOM80a.col,80,612,79,35771,208426,OPTIMAL,63,5.05855,7.58915,12.6477,117.33594
GEOM80b.col,80,663,98,37786,217551,OPTIMAL,60,14.0618,7.63425,21.6961,117.30859
GEOM90.col,90,441,54,23189,118323,OPTIMAL,46,1.49853,0.206903,1.70543,75.00781
GEOM90a.col,90,789,80,45688,268840,OPTIMAL,63,6.96152,11.1224,18.084,134.02734
GEOM90b.col,90,860,109,53595,320172,OPTIMAL,69,21.5989,66.9787,88.5775,157.98438
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.00549965,0.00212046,0.0076201,45.90625
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.00583578,0.00209076,0.00792654,45.84766
c21_2_d1.col,21,105,11,555,2878,OPTIMAL,9,0.01431,0.002124,0.016434,45.67188
c21_2_d2.col,21,105,11,555,2878,OPTIMAL,9,0.0166271,0.00235042,0.0189775,45.77734
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.00552536,0.00207688,0.00760224,45.35156
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.00803251,0.00287428,0.0109068,45.48438
c21_4_d1.col,21,105,11,555,2878,OPTIMAL,9,0.012264,0.00206008,0.0143241,45.84766
c21_4_d2.col,21,105,11,555,2878,OPTIMAL,9,0.0123442,0.00216208,0.0145062,45.35156
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.00584466,0.00202984,0.0078745,45.48047
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.0061239,0.00210672,0.00823062,45.84766
c21_6_d1.col,21,105,11,555,2878,OPTIMAL,9,0.0163709,0.00219837,0.0185693,45.90234
c21_6_d2.col,21,105,11,555,2878,OPTIMAL,9,0.0127333,0.00193314,0.0146665,45.84766
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00640873,0.00218752,0.00859626,45.59766
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.00562465,0.00207328,0.00769792,45.35938
c21_8_d1.col,21,105,11,555,2878,OPTIMAL,9,0.0127201,0.00183696,0.0145571,45.29688
c21_8_d2.col,21,105,11,555,2878,OPTIMAL,9,0.0125331,0.00191954,0.0144526,45.35938
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.0186078,0.00487534,0.0234831,45.97266
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.0215607,0.00531054,0.0268712,45.48438
