name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,39570,212465.0,OPTIMAL,50,0.0613012,0.840516,0.901817,97.21875
GEOM100a.col,100,992,91,81230,499242.0,OPTIMAL,66,0.136449,178.666,178.802,164.62109
GEOM100b.col,100,1050,121,114976,711958.0,OPTIMAL,71,0.186869,137.676,137.862,192.52734
GEOM110.col,110,638,64,45082,244978.0,OPTIMAL,50,0.063244,0.891052,0.954296,104.59375
GEOM110a.col,110,1207,109,114898,722946.0,OPTIMAL,69,0.189777,121.851,122.04,198.41016
GEOM110b.col,110,1256,121,134634,842820.0,OPTIMAL,77,0.217796,850.23,850.448,223.75781
GEOM120.col,120,773,73,60140,334380.0,OPTIMAL,59,0.0910309,3.45206,3.54309,125.31641
GEOM120a.col,120,1434,109,132622,847164.0,OPTIMAL,82,0.223202,195.74,195.963,238.05469
GEOM120b.col,120,1491,123,157846,1005480.0,OPTIMAL,83,0.266452,1158.02,1158.29,315.10156
GEOM20.col,20,20,24,1360,4607.0,OPTIMAL,21,0.00179622,0.00165201,0.00344823,45.41406
GEOM20a.col,20,37,24,1679,6654.0,OPTIMAL,20,0.00246728,0.00246391,0.00493118,45.41406
GEOM20b.col,20,32,16,1106,4109.0,OPTIMAL,13,0.00121799,0.00095904,0.00217703,45.89062
GEOM30.col,30,50,33,3350,13363.0,OPTIMAL,28,0.0050617,0.00844426,0.013506,45.46484
GEOM30a.col,30,81,32,3918,17581.0,OPTIMAL,27,0.00553433,0.00446467,0.00999901,45.41406
GEOM30b.col,30,81,27,3712,15685.0,OPTIMAL,26,0.00424922,0.00210346,0.00635268,45.71484
GEOM40.col,40,78,33,4814,19795.0,OPTIMAL,28,0.0049918,0.00617691,0.0111687,45.89062
GEOM40a.col,40,146,50,9586,47544.0,OPTIMAL,37,0.0151515,0.0346591,0.0498106,45.53906
GEOM40b.col,40,157,40,8416,40707.0,OPTIMAL,33,0.00966857,0.0277884,0.0374569,45.53906
GEOM50.col,50,127,36,7620,33208.0,OPTIMAL,28,0.00897555,0.0128193,0.0217948,45.35156
GEOM50a.col,50,238,61,16594,88565.0,OPTIMAL,50,0.0267662,0.448591,0.475357,71.42578
GEOM50b.col,50,249,54,16890,86114.0,OPTIMAL,35,0.0235199,0.186906,0.210426,66.94922
GEOM60.col,60,185,36,9992,45312.0,OPTIMAL,33,0.0128572,0.0100997,0.0229569,45.89844
GEOM60a.col,60,339,61,22134,122141.0,OPTIMAL,50,0.034846,0.533772,0.568618,79.96875
GEOM60b.col,60,366,63,26292,141391.0,OPTIMAL,41,0.036487,0.99232,1.02881,80.5
GEOM70.col,70,267,44,15538,75895.0,OPTIMAL,38,0.0199011,0.0502502,0.0701513,45.47656
GEOM70a.col,70,459,72,34290,193478.0,OPTIMAL,61,0.0530771,3.65987,3.71294,92.77344
GEOM70b.col,70,488,76,38792,219475.0,OPTIMAL,47,0.0575323,2.81004,2.86758,95.86328
GEOM80.col,80,349,54,23876,120752.0,OPTIMAL,41,0.035149,0.106903,0.142052,72.03516
GEOM80a.col,80,612,79,46428,274407.0,OPTIMAL,63,0.0737488,9.31136,9.38511,112.14062
GEOM80b.col,80,663,98,65124,379758.0,OPTIMAL,60,0.100761,5.50633,5.60709,125.70312
GEOM90.col,90,441,54,29194,149612.0,OPTIMAL,46,0.0390237,0.18317,0.222194,81.50781
GEOM90a.col,90,789,80,59720,356184.0,OPTIMAL,63,0.0950998,9.76669,9.86179,128.04688
