name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,39570,212497.0,OPTIMAL,50,0.0536247,0.720432,0.774057,99.11719
GEOM100a.col,100,992,91,81230,499288.0,OPTIMAL,66,0.127163,170.722,170.849,153.60938
GEOM100b.col,100,1050,121,114976,712019.0,OPTIMAL,71,0.19124,146.136,146.327,184.54297
GEOM110.col,110,638,64,45082,245010.0,OPTIMAL,50,0.0619502,0.821418,0.883368,105.54688
GEOM110a.col,110,1207,109,114898,723001.0,OPTIMAL,69,0.183963,145.658,145.842,199.07031
GEOM110b.col,110,1256,121,134634,842881.0,OPTIMAL,77,0.2207,1087.23,1087.46,242.99609
GEOM120.col,120,773,73,60140,334417.0,OPTIMAL,59,0.0899556,2.94259,3.03255,120.51953
GEOM120a.col,120,1434,109,132622,847219.0,OPTIMAL,82,0.226118,940.629,940.855,267.12891
GEOM120b.col,120,1491,123,157846,1005540.0,OPTIMAL,83,0.258383,1221.54,1221.8,292.30469
GEOM20.col,20,20,24,1360,4619.0,OPTIMAL,21,0.00175216,0.00200393,0.00375609,45.41016
GEOM20a.col,20,37,24,1679,6666.0,OPTIMAL,20,0.00220297,0.00158035,0.00378332,44.72266
GEOM20b.col,20,32,16,1106,4117.0,OPTIMAL,13,0.00149762,0.00164288,0.0031405,45.46875
GEOM30.col,30,50,33,3350,13380.0,OPTIMAL,28,0.00523099,0.00604494,0.0112759,45.34375
GEOM30a.col,30,81,32,3918,17597.0,OPTIMAL,27,0.00467011,0.00419828,0.00886839,45.41016
GEOM30b.col,30,81,27,3712,15699.0,OPTIMAL,26,0.00558111,0.00374487,0.00932597,45.41016
GEOM40.col,40,78,33,4814,19812.0,OPTIMAL,28,0.00556586,0.00599664,0.0115625,45.34375
GEOM40a.col,40,146,50,9586,47569.0,OPTIMAL,37,0.015367,0.0391269,0.054494,45.89844
GEOM40b.col,40,157,40,8416,40727.0,OPTIMAL,33,0.0108386,0.0202212,0.0310598,45.41016
GEOM50.col,50,127,36,7620,33226.0,OPTIMAL,28,0.0125723,0.0201232,0.0326955,45.66016
GEOM50a.col,50,238,61,16594,88596.0,OPTIMAL,50,0.023833,0.50589,0.529723,71.26953
GEOM50b.col,50,249,54,16890,86141.0,OPTIMAL,35,0.0210522,0.146293,0.167345,65.83203
GEOM60.col,60,185,36,9992,45330.0,OPTIMAL,33,0.0169189,0.012187,0.0291059,45.59375
GEOM60a.col,60,339,61,22134,122172.0,OPTIMAL,50,0.0321946,0.583159,0.615354,78.23828
GEOM60b.col,60,366,63,26292,141423.0,OPTIMAL,41,0.0361743,0.952589,0.988763,81.8125
GEOM70.col,70,267,44,15538,75917.0,OPTIMAL,38,0.0217284,0.0479357,0.0696641,45.96094
GEOM70a.col,70,459,72,34290,193514.0,OPTIMAL,61,0.0530677,2.71118,2.76425,95.17969
GEOM70b.col,70,488,76,38792,219513.0,OPTIMAL,47,0.0553236,2.82094,2.87627,93.38672
GEOM80.col,80,349,54,23876,120779.0,OPTIMAL,41,0.0315291,0.104117,0.135646,71.73828
GEOM80a.col,80,612,79,46428,274447.0,OPTIMAL,63,0.0753806,5.14405,5.21943,115.71875
GEOM80b.col,80,663,98,65124,379807.0,OPTIMAL,60,0.097405,5.64794,5.74535,123.01953
GEOM90.col,90,441,54,29194,149639.0,OPTIMAL,46,0.0377062,0.187886,0.225592,82.31641
GEOM90a.col,90,789,80,59720,356224.0,OPTIMAL,63,0.0899024,10.0718,10.1617,126.04297
GEOM90b.col,90,860,109,88074,531893.0,OPTIMAL,69,0.140967,46.3339,46.4748,156.19141
c21_1_d1.col,21,105,8,315,1327.0,OPTIMAL,7,0.000646227,0.00237054,0.00301677,45.71094
c21_1_d2.col,21,105,8,315,1327.0,OPTIMAL,7,0.000679656,0.00277654,0.00345619,45.89844
c21_2_d1.col,21,105,11,561,3426.0,OPTIMAL,9,0.00133146,0.00223705,0.00356851,45.89844
c21_2_d2.col,21,105,11,561,3426.0,OPTIMAL,9,0.00137235,0.00236528,0.00373763,45.34375
c21_3_d1.col,21,105,8,315,1327.0,OPTIMAL,7,0.000695747,0.00362673,0.00432248,45.40625
c21_3_d2.col,21,105,8,315,1327.0,OPTIMAL,7,0.000693785,0.00361245,0.00430624,45.34766
c21_4_d1.col,21,105,11,561,3426.0,OPTIMAL,9,0.00135928,0.00222463,0.00358391,45.34766
c21_4_d2.col,21,105,11,561,3426.0,OPTIMAL,9,0.00135125,0.00222427,0.00357552,45.65625
c21_5_d1.col,21,105,8,315,1327.0,OPTIMAL,7,0.000687944,0.00329593,0.00398388,45.77344
c21_5_d2.col,21,105,8,315,1327.0,OPTIMAL,7,0.000697016,0.00269847,0.00339549,45.34766
c21_6_d1.col,21,105,11,561,3426.0,OPTIMAL,9,0.00131432,0.00158353,0.00289785,45.34375
c21_6_d2.col,21,105,11,561,3426.0,OPTIMAL,9,0.00139027,0.00147934,0.00286961,45.41016
c21_7_d1.col,21,105,8,315,1327.0,OPTIMAL,7,0.000680339,0.0036304,0.00431074,45.70703
c21_7_d2.col,21,105,8,315,1327.0,OPTIMAL,7,0.000741305,0.00246418,0.00320549,45.89844
c21_8_d1.col,21,105,11,561,3426.0,OPTIMAL,9,0.00136497,0.00162607,0.00299103,45.28516
c21_8_d2.col,21,105,11,561,3426.0,OPTIMAL,9,0.00131845,0.00224638,0.00356483,45.96094
c55_1_d1.col,55,362,8,825,4165.0,OPTIMAL,7,0.00179037,0.00403305,0.00582342,45.34766
c55_2_d2.col,55,362,8,825,4165.0,OPTIMAL,7,0.00207028,0.00510736,0.00717764,45.41016
