name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,29634,158057,OPTIMAL,50,0.646804,0.882282,1.52909,100.03516
GEOM100a.col,100,992,91,57578,349344,OPTIMAL,66,2.38268,197.969,200.352,167.12109
GEOM100b.col,100,1050,121,67192,404875,OPTIMAL,71,6.16828,131.512,137.68,190.16016
GEOM110.col,110,638,64,33760,182314,OPTIMAL,50,0.750989,1.33968,2.09067,106.66406
GEOM110a.col,110,1207,109,70730,439858,OPTIMAL,69,5.3029,234.054,239.356,195.63672
GEOM110b.col,110,1256,121,84304,518845,OPTIMAL,77,7.0332,707.793,714.827,231.91016
GEOM120.col,120,773,73,46936,260024,OPTIMAL,59,1.03234,3.89053,4.92287,131.08594
GEOM120a.col,120,1434,109,101264,630475,OPTIMAL,82,4.72626,1066.8,1071.53,273.56641
GEOM120b.col,120,1491,123,105880,659575,OPTIMAL,83,7.64178,1559.26,1566.9,299.6875
GEOM20.col,20,20,24,1152,3733,OPTIMAL,21,0.00522431,0.00140752,0.00663183,45.43359
GEOM20a.col,20,37,24,1369,5112,OPTIMAL,20,0.00898275,0.00231108,0.0112938,45.79688
GEOM20b.col,20,32,16,784,2768,OPTIMAL,13,0.00385006,0.00115903,0.00500909,45.42969
GEOM30.col,30,50,33,2756,10564,OPTIMAL,28,0.0214192,0.00641942,0.0278386,45.79297
GEOM30a.col,30,81,32,3202,13889,OPTIMAL,27,0.0286627,0.00953246,0.0381952,45.73438
GEOM30b.col,30,81,27,3326,14096,OPTIMAL,26,0.0138749,0.00313851,0.0170134,45.43359
GEOM40.col,40,78,33,3989,15781,OPTIMAL,28,0.0270062,0.00650041,0.0335066,45.55469
GEOM40a.col,40,146,50,7076,33504,OPTIMAL,37,0.126745,0.0304089,0.157153,59.29297
GEOM40b.col,40,157,40,6660,31642,OPTIMAL,33,0.0694185,0.0421457,0.111564,59.04297
GEOM50.col,50,127,36,5641,23747,OPTIMAL,28,0.0598382,0.0117518,0.0715899,45.37109
GEOM50a.col,50,238,61,13138,69245,OPTIMAL,50,0.218915,0.582628,0.801543,73.79688
GEOM50b.col,50,249,54,10258,51202,OPTIMAL,35,0.290812,0.226821,0.517633,68.08984
GEOM60.col,60,185,36,8488,38688,OPTIMAL,33,0.0447734,0.0129508,0.0577242,45.42969
GEOM60a.col,60,339,61,17506,95565,OPTIMAL,50,0.303359,0.701286,1.00465,80.77344
GEOM60b.col,60,366,63,15906,84661,OPTIMAL,41,0.550509,1.73385,2.28436,81.55469
GEOM70.col,70,267,44,13054,62331,OPTIMAL,38,0.121389,0.054564,0.175953,64.1875
GEOM70a.col,70,459,72,27650,156881,OPTIMAL,61,0.476017,6.20999,6.686,98.60156
GEOM70b.col,70,488,76,23752,128943,OPTIMAL,47,1.12245,3.40788,4.53033,94.38672
GEOM80.col,80,349,54,16930,85035,OPTIMAL,41,0.33817,0.0918819,0.430052,71.57422
GEOM80a.col,80,612,79,36870,213431,OPTIMAL,63,1.00827,10.2837,11.292,117.28906
GEOM80b.col,80,663,98,38354,220496,OPTIMAL,60,2.54239,8.637,11.1794,125.98047
GEOM90.col,90,441,54,24358,122900,OPTIMAL,46,0.294843,0.216545,0.511387,80.71875
GEOM90a.col,90,789,80,46412,272502,OPTIMAL,63,1.2886,11.5082,12.7968,135.16797
GEOM90b.col,90,860,109,54272,323651,OPTIMAL,69,3.94409,51.1695,55.1136,155.48047
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.00115891,0.00372026,0.00487917,45.43359
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.00104003,0.00396379,0.00500382,45.49609
c21_2_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00331885,0.00259916,0.00591801,45.43359
c21_2_d2.col,21,105,11,555,2874,OPTIMAL,9,0.00335262,0.00264826,0.00600088,45.67969
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.00149548,0.00388992,0.0053854,44.92969
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.00127729,0.00388327,0.00516056,45.43359
c21_4_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00439932,0.00359439,0.00799371,45.43359
c21_4_d2.col,21,105,11,555,2874,OPTIMAL,9,0.00334423,0.00261875,0.00596298,45.36719
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.0015187,0.00405118,0.00556988,45.98438
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.00164328,0.00424606,0.00588934,45.43359
c21_6_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00320976,0.00277589,0.00598566,45.36719
c21_6_d2.col,21,105,11,555,2874,OPTIMAL,9,0.00436442,0.0035474,0.00791182,45.37109
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00168657,0.00534498,0.00703155,45.48047
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00130391,0.00378302,0.00508693,45.43359
c21_8_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00438221,0.00418993,0.00857214,44.80859
c21_8_d2.col,21,105,11,555,2874,OPTIMAL,9,0.00351549,0.00267125,0.00618674,45.37109
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00413158,0.00365236,0.00778394,45.37109
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00418699,0.00375154,0.00793852,45.43359
