name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,29634,158082,OPTIMAL,50,0.643809,0.848405,1.49221,97.23047
GEOM100a.col,100,992,91,57578,349377,OPTIMAL,66,2.45243,192.663,195.116,162.73828
GEOM100b.col,100,1050,121,67192,404910,OPTIMAL,71,6.37881,154.602,160.981,191.11719
GEOM110.col,110,638,64,33760,182339,OPTIMAL,50,0.73166,1.08065,1.8123,102.35938
GEOM110a.col,110,1207,109,70730,439892,OPTIMAL,69,5.32504,250.592,255.917,190.63281
GEOM110b.col,110,1256,121,84304,518883,OPTIMAL,77,6.92575,827.149,834.075,244.05859
GEOM120.col,120,773,73,46936,260053,OPTIMAL,59,1.04369,3.89198,4.93567,132.60938
GEOM120a.col,120,1434,109,101264,630516,OPTIMAL,82,4.73551,997.512,1002.25,258.84766
GEOM120b.col,120,1491,123,105880,659616,SATISFIABLE,83,7.72567,3592.27,3600.0,333.65625
GEOM20.col,20,20,24,1152,3743,OPTIMAL,21,0.00717912,0.00188903,0.00906815,45.42969
GEOM20a.col,20,37,24,1369,5122,OPTIMAL,20,0.0105644,0.00251184,0.0130763,45.85547
GEOM20b.col,20,32,16,784,2774,OPTIMAL,13,0.00354537,0.000858835,0.0044042,45.85547
GEOM30.col,30,50,33,2756,10578,OPTIMAL,28,0.0216162,0.00700367,0.0286198,45.85547
GEOM30a.col,30,81,32,3202,13902,OPTIMAL,27,0.0249432,0.00630906,0.0312523,45.85547
GEOM30b.col,30,81,27,3326,14109,OPTIMAL,26,0.0112926,0.00249194,0.0137845,45.36719
GEOM40.col,40,78,33,3989,15795,OPTIMAL,28,0.0266856,0.0066268,0.0333124,45.36719
GEOM40a.col,40,146,50,7076,33522,OPTIMAL,37,0.124659,0.0306426,0.155302,59.55469
GEOM40b.col,40,157,40,6660,31658,OPTIMAL,33,0.0696694,0.0369476,0.106617,59.64062
GEOM50.col,50,127,36,5641,23761,OPTIMAL,28,0.0595842,0.012146,0.0717301,45.36719
GEOM50a.col,50,238,61,13138,69270,OPTIMAL,50,0.218709,0.729844,0.948553,73.26953
GEOM50b.col,50,249,54,10258,51219,OPTIMAL,35,0.29619,0.173126,0.469316,65.40625
GEOM60.col,60,185,36,8488,38704,OPTIMAL,33,0.0438855,0.0127868,0.0566723,45.36719
GEOM60a.col,60,339,61,17506,95590,OPTIMAL,50,0.303463,0.976392,1.27986,81.10938
GEOM60b.col,60,366,63,15906,84681,OPTIMAL,41,0.569638,1.40288,1.97252,80.37891
GEOM70.col,70,267,44,13054,62350,OPTIMAL,38,0.1223,0.0563732,0.178673,64.48828
GEOM70a.col,70,459,72,27650,156911,OPTIMAL,61,0.478515,3.77185,4.25036,97.9375
GEOM70b.col,70,488,76,23752,128966,OPTIMAL,47,1.14828,3.49945,4.64773,93.44141
GEOM80.col,80,349,54,16930,85055,OPTIMAL,41,0.329142,0.0889444,0.418086,71.11719
GEOM80a.col,80,612,79,36870,213462,OPTIMAL,63,0.949261,6.09124,7.0405,117.42188
GEOM80b.col,80,663,98,38354,220526,OPTIMAL,60,2.53449,8.02914,10.5636,121.04688
GEOM90.col,90,441,54,24358,122923,OPTIMAL,46,0.293429,0.220751,0.51418,80.0
GEOM90a.col,90,789,80,46412,272533,OPTIMAL,63,1.28003,12.4501,13.7301,133.56641
GEOM90b.col,90,860,109,54272,323685,OPTIMAL,69,3.90433,72.5541,76.4584,157.34766
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.00161318,0.0027705,0.00438368,45.42969
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.00141848,0.00223084,0.00364931,45.42969
c21_2_d1.col,21,105,11,555,2878,OPTIMAL,9,0.00316461,0.00176807,0.00493268,45.91797
c21_2_d2.col,21,105,11,555,2878,OPTIMAL,9,0.00369757,0.00225375,0.00595132,45.36328
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.00104185,0.00205387,0.00309572,45.91797
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.00168549,0.00294467,0.00463016,45.42969
c21_4_d1.col,21,105,11,555,2878,OPTIMAL,9,0.00432534,0.00265251,0.00697786,45.85547
c21_4_d2.col,21,105,11,555,2878,OPTIMAL,9,0.0035787,0.00203102,0.00560971,45.30469
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.00169292,0.00303132,0.00472424,45.85547
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.00163823,0.00277164,0.00440987,46.04297
c21_6_d1.col,21,105,11,555,2878,OPTIMAL,9,0.0042827,0.00279805,0.00708075,45.36719
c21_6_d2.col,21,105,11,555,2878,OPTIMAL,9,0.00332006,0.00215724,0.00547729,45.55469
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00166341,0.00245912,0.00412253,45.55078
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.00152955,0.00222956,0.0037591,45.24219
c21_8_d1.col,21,105,11,555,2878,OPTIMAL,9,0.00325232,0.00206339,0.00531572,45.36719
c21_8_d2.col,21,105,11,555,2878,OPTIMAL,9,0.00311086,0.00174752,0.00485838,45.17969
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00362541,0.0046074,0.00823281,45.36719
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.0036537,0.00463264,0.00828634,45.42969
