name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,32933,185398,OPTIMAL,50,0.0547686,0.886504,0.941273,93.21094
GEOM100a.col,100,992,91,67189,442170,OPTIMAL,66,0.125573,217.066,217.192,155.70703
GEOM100b.col,100,1050,121,92339,620167,OPTIMAL,71,0.217928,171.172,171.39,176.71094
GEOM110.col,110,638,64,37856,215596,OPTIMAL,50,0.0674583,0.91385,0.981308,100.76562
GEOM110a.col,110,1207,109,95568,644963,OPTIMAL,69,0.17384,142.3,142.474,176.51172
GEOM110b.col,110,1256,121,107170,731432,OPTIMAL,77,0.206952,964.383,964.59,198.35156
GEOM120.col,120,773,73,50144,293886,OPTIMAL,59,0.0869287,4.28052,4.36745,116.46094
GEOM120a.col,120,1434,109,110897,759570,OPTIMAL,82,0.216537,811.584,811.801,240.96484
GEOM120b.col,120,1491,123,125602,874707,SATISFIABLE,83,0.24176,3599.76,3600.0,300.99219
GEOM20.col,20,20,24,1234,4258,OPTIMAL,21,0.00167006,0.00169305,0.00336312,46.02734
GEOM20a.col,20,37,24,1432,5779,OPTIMAL,20,0.00244015,0.00265887,0.00509902,45.96484
GEOM20b.col,20,32,16,847,3116,OPTIMAL,13,0.0013518,0.00100627,0.00235807,46.39453
GEOM30.col,30,50,33,2947,12077,OPTIMAL,28,0.00571534,0.0073352,0.0130505,46.27344
GEOM30a.col,30,81,32,3297,15075,OPTIMAL,27,0.00368503,0.00383222,0.00751724,46.15234
GEOM30b.col,30,81,27,2950,12805,OPTIMAL,26,0.00352298,0.00195914,0.00548212,45.41406
GEOM40.col,40,78,33,4059,17140,OPTIMAL,28,0.00738743,0.0122468,0.0196342,45.96094
GEOM40a.col,40,146,50,8057,41368,OPTIMAL,37,0.0119126,0.0335819,0.0454944,45.83984
GEOM40b.col,40,157,40,7009,35092,OPTIMAL,33,0.0084584,0.0239694,0.0324278,45.41406
GEOM50.col,50,127,36,6181,27851,OPTIMAL,28,0.00769076,0.010012,0.0177027,45.41406
GEOM50a.col,50,238,61,13763,76851,OPTIMAL,50,0.0209682,0.548656,0.569624,70.03125
GEOM50b.col,50,249,54,13940,74279,OPTIMAL,35,0.022831,0.350513,0.373344,65.99609
GEOM60.col,60,185,36,8297,38774,OPTIMAL,33,0.019192,0.01815,0.037342,45.89844
GEOM60a.col,60,339,61,17831,104302,OPTIMAL,50,0.0297974,0.611606,0.641403,75.65234
GEOM60b.col,60,366,63,21629,122429,OPTIMAL,41,0.0395628,1.01203,1.05159,78.08203
GEOM70.col,70,267,44,13022,65931,OPTIMAL,38,0.019207,0.0427038,0.0619108,45.35156
GEOM70a.col,70,459,72,28219,168694,OPTIMAL,61,0.0478126,4.1392,4.18701,90.71484
GEOM70b.col,70,488,76,31566,190099,OPTIMAL,47,0.061163,2.85235,2.91351,91.66797
GEOM80.col,80,349,54,19767,104418,OPTIMAL,41,0.0292793,0.0887014,0.117981,70.54688
GEOM80a.col,80,612,79,38341,241355,OPTIMAL,63,0.0657776,8.19943,8.2652,105.10547
GEOM80b.col,80,663,98,51841,325922,OPTIMAL,60,0.0874547,6.74379,6.83124,118.14062
GEOM90.col,90,441,54,23907,128395,OPTIMAL,46,0.0378679,0.186017,0.223885,76.96094
GEOM90a.col,90,789,80,49495,314401,OPTIMAL,63,0.0920243,9.01549,9.10751,119.04297
GEOM90b.col,90,860,109,70303,459840,OPTIMAL,69,0.127028,46.5292,46.6563,144.59375
c21_1_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000471413,0.00580149,0.0062729,45.96484
c21_1_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000297876,0.00399216,0.00429004,45.90234
c21_2_d1.col,21,105,11,441,2940,OPTIMAL,9,0.000676877,0.00201182,0.00268869,45.35156
c21_2_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00114633,0.00312559,0.00427193,45.96094
c21_3_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000619869,0.00733902,0.00795889,46.08594
c21_3_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000455577,0.00397675,0.00443232,45.16406
c21_4_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00111191,0.00231108,0.00342299,45.96484
c21_4_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00083624,0.00236216,0.0031984,46.27344
c21_5_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000506637,0.00439475,0.00490139,45.96484
c21_5_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000467926,0.00574404,0.00621197,44.28906
c21_6_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00121059,0.00348508,0.00469566,46.21094
c21_6_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00120026,0.0029548,0.00415506,45.77734
c21_7_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000468243,0.00580456,0.0062728,45.82422
c21_7_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000497797,0.00613213,0.00662992,46.02734
c21_8_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00101204,0.00297529,0.00398733,45.41406
c21_8_d2.col,21,105,11,441,2940,OPTIMAL,9,0.000813959,0.00207744,0.00289139,45.83984
c55_1_d1.col,55,362,8,825,4161,OPTIMAL,7,0.00135186,0.00546188,0.00681373,45.90234
c55_2_d2.col,55,362,8,825,4161,OPTIMAL,7,0.00115195,0.00423743,0.00538937,45.60156
