name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,38389,207254,OPTIMAL,50,0.0597103,0.804145,0.863856,97.91016
GEOM100a.col,100,992,91,80217,494328,OPTIMAL,66,0.137091,119.741,119.878,157.81641
GEOM100b.col,100,1050,121,114137,707420,OPTIMAL,71,0.20425,133.231,133.436,194.21094
GEOM110.col,110,638,64,43808,239436,OPTIMAL,50,0.0648184,0.945306,1.01012,104.03906
GEOM110a.col,110,1207,109,114236,719690,OPTIMAL,69,0.224583,188.002,188.227,209.39453
GEOM110b.col,110,1256,121,133698,837605,OPTIMAL,77,0.225558,1157.93,1158.16,224.60547
GEOM120.col,120,773,73,58712,328195,OPTIMAL,59,0.11148,4.44031,4.55179,124.42188
GEOM120a.col,120,1434,109,131945,843817,OPTIMAL,82,0.230848,871.631,871.862,279.96484
GEOM120b.col,120,1491,123,156562,998609,OPTIMAL,83,0.335446,2251.57,2251.9,302.54297
GEOM20.col,20,20,24,1234,4270,OPTIMAL,21,0.00178784,0.00106668,0.00285452,45.77344
GEOM20a.col,20,37,24,1544,6239,OPTIMAL,20,0.00225661,0.00206437,0.00432098,45.83594
GEOM20b.col,20,32,16,979,3652,OPTIMAL,13,0.0014308,0.00134555,0.00277635,45.40625
GEOM30.col,30,50,33,2995,12286,OPTIMAL,28,0.0037832,0.00446471,0.00824791,45.83203
GEOM30a.col,30,81,32,3759,16939,OPTIMAL,27,0.0056027,0.00441356,0.0100163,46.02344
GEOM30b.col,30,81,27,3422,14707,OPTIMAL,26,0.00553768,0.00350286,0.00904054,45.71094
GEOM40.col,40,78,33,4311,18165,OPTIMAL,28,0.00727676,0.0070478,0.0143246,45.65625
GEOM40a.col,40,146,50,9411,46809,OPTIMAL,37,0.0171847,0.0380864,0.0552711,45.71094
GEOM40b.col,40,157,40,8059,39312,OPTIMAL,33,0.0151994,0.0227584,0.0379578,45.41016
GEOM50.col,50,127,36,6815,30405,OPTIMAL,28,0.00886499,0.0124178,0.0212828,45.34766
GEOM50a.col,50,238,61,16201,86634,OPTIMAL,50,0.0237535,0.51963,0.543383,71.04688
GEOM50b.col,50,249,54,16196,83330,OPTIMAL,35,0.0261409,0.185069,0.21121,66.32812
GEOM60.col,60,185,36,9287,42752,OPTIMAL,33,0.0124697,0.0106755,0.0231452,45.83203
GEOM60a.col,60,339,61,21525,119109,OPTIMAL,50,0.0309316,0.671201,0.702133,78.21094
GEOM60b.col,60,366,63,25787,139093,OPTIMAL,41,0.0461507,0.779667,0.825818,80.32031
GEOM70.col,70,267,44,14782,72993,OPTIMAL,38,0.0221314,0.0487882,0.0709196,45.83594
GEOM70a.col,70,459,72,33511,189898,OPTIMAL,61,0.0503882,3.09001,3.1404,91.88672
GEOM70b.col,70,488,76,38264,216929,OPTIMAL,47,0.0568023,2.79714,2.85394,95.48047
GEOM80.col,80,349,54,22527,115485,OPTIMAL,41,0.031915,0.0962288,0.128144,71.59375
GEOM80a.col,80,612,79,45201,268835,OPTIMAL,63,0.0748093,7.54502,7.61983,114.41797
GEOM80b.col,80,663,98,64065,374867,OPTIMAL,60,0.105871,6.5982,6.70407,125.39062
GEOM90.col,90,441,54,27881,144318,OPTIMAL,46,0.0400175,0.203449,0.243467,78.48047
GEOM90a.col,90,789,80,58925,352161,OPTIMAL,63,0.0903617,9.11546,9.20582,124.44531
GEOM90b.col,90,860,109,86915,526343,OPTIMAL,69,0.149463,49.9905,50.1399,160.97656
c21_1_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000915178,0.00408185,0.00499703,46.02344
c21_1_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000768567,0.00388331,0.00465188,45.83594
c21_2_d1.col,21,105,11,561,3426,OPTIMAL,9,0.00138167,0.00221485,0.00359652,45.71094
c21_2_d2.col,21,105,11,561,3426,OPTIMAL,9,0.00193267,0.00413095,0.00606362,46.01953
c21_3_d1.col,21,105,8,315,1327,OPTIMAL,7,0.00069908,0.00360048,0.00429956,45.40625
c21_3_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000763674,0.00382809,0.00459176,44.72266
c21_4_d1.col,21,105,11,561,3426,OPTIMAL,9,0.0013399,0.00222321,0.00356311,45.89844
c21_4_d2.col,21,105,11,561,3426,OPTIMAL,9,0.0013581,0.00174191,0.00310001,45.76953
c21_5_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000704144,0.0035744,0.00427855,45.41016
c21_5_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000716197,0.00364348,0.00435968,45.28516
c21_6_d1.col,21,105,11,561,3426,OPTIMAL,9,0.00138064,0.00206224,0.00344288,45.89453
c21_6_d2.col,21,105,11,561,3426,OPTIMAL,9,0.00138262,0.00222617,0.00360879,45.47266
c21_7_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000697282,0.00270344,0.00340072,45.95703
c21_7_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000700983,0.00339762,0.0040986,45.83594
c21_8_d1.col,21,105,11,561,3426,OPTIMAL,9,0.00096392,0.00158277,0.00254669,45.96094
c21_8_d2.col,21,105,11,561,3426,OPTIMAL,9,0.0013726,0.00179403,0.00316663,45.77344
c55_1_d1.col,55,362,8,825,4165,OPTIMAL,7,0.00137832,0.00414099,0.00551931,45.71094
c55_2_d2.col,55,362,8,825,4165,OPTIMAL,7,0.00240466,0.007018,0.00942267,46.02344
