name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,28830,154224,OPTIMAL,50,0.307792,1.65788,1.96568,81.125
GEOM100a.col,100,992,91,56930,345722,OPTIMAL,66,1.25098,200.376,201.627,115.09375
GEOM100b.col,100,1050,121,66678,402205,OPTIMAL,71,3.25896,238.192,241.451,126.1875
GEOM110.col,110,638,64,32892,178251,OPTIMAL,50,0.348262,1.82126,2.16952,84.24609
GEOM110a.col,110,1207,109,70341,437827,OPTIMAL,69,2.72898,239.614,242.343,137.15234
GEOM110b.col,110,1256,121,83691,515671,OPTIMAL,77,3.50612,1362.64,1366.14,151.31641
GEOM120.col,120,773,73,45891,255071,OPTIMAL,59,0.497517,4.29662,4.79414,95.47656
GEOM120a.col,120,1434,109,100673,627706,OPTIMAL,82,2.42822,2013.34,2015.77,166.16406
GEOM120b.col,120,1491,123,104988,655226,SATISFIABLE,83,3.96829,3595.43,3599.4,190.29297
GEOM20.col,20,20,24,1028,3405,OPTIMAL,21,0.00303097,0.0177781,0.0208091,46.00781
GEOM20a.col,20,37,24,1213,4680,OPTIMAL,20,0.00379616,0.0238755,0.0276716,45.20312
GEOM20b.col,20,32,16,708,2516,OPTIMAL,13,0.00259874,0.0162037,0.0188024,45.92969
GEOM30.col,30,50,33,2428,9612,OPTIMAL,28,0.0108342,0.0394443,0.0502785,45.37891
GEOM30a.col,30,81,32,3031,13268,OPTIMAL,27,0.0114098,0.0470486,0.0584584,45.45312
GEOM30b.col,30,81,27,3110,13328,OPTIMAL,26,0.00482852,0.0185232,0.0233518,45.20312
GEOM40.col,40,78,33,3506,14295,OPTIMAL,28,0.0135947,0.043977,0.0575716,45.44141
GEOM40a.col,40,146,50,6901,32870,OPTIMAL,37,0.0600728,0.215249,0.275321,63.38281
GEOM40b.col,40,157,40,6384,30550,OPTIMAL,33,0.0330867,0.104531,0.137617,54.23047
GEOM50.col,50,127,36,5007,21612,OPTIMAL,28,0.0307069,0.0839207,0.114628,61.78125
GEOM50a.col,50,238,61,12886,67825,OPTIMAL,50,0.105483,0.84082,0.946303,68.42969
GEOM50b.col,50,249,54,9898,49691,OPTIMAL,35,0.139262,0.428421,0.567682,66.4375
GEOM60.col,60,185,36,8020,36869,OPTIMAL,33,0.0259875,0.0595026,0.0854901,45.19141
GEOM60a.col,60,339,61,17126,93363,OPTIMAL,50,0.141924,1.22089,1.36282,72.0
GEOM60b.col,60,366,63,15734,83645,OPTIMAL,41,0.266001,1.43828,1.70428,72.64062
GEOM70.col,70,267,44,12413,59955,OPTIMAL,38,0.0559858,0.15815,0.214135,66.11328
GEOM70a.col,70,459,72,27045,153952,OPTIMAL,61,0.237922,4.65467,4.8926,80.27344
GEOM70b.col,70,488,76,23398,127304,OPTIMAL,47,0.569613,5.18091,5.75053,79.55859
GEOM80.col,80,349,54,16195,81955,OPTIMAL,41,0.165221,0.365269,0.530491,68.28906
GEOM80a.col,80,612,79,35771,208426,OPTIMAL,63,0.486977,9.03999,9.52696,89.07031
GEOM80b.col,80,663,98,37786,217551,OPTIMAL,60,1.33425,11.4748,12.8091,93.80859
GEOM90.col,90,441,54,23189,118323,OPTIMAL,46,0.13975,0.479367,0.619117,73.89844
GEOM90a.col,90,789,80,45688,268840,OPTIMAL,63,0.600802,14.7917,15.3926,95.43359
GEOM90b.col,90,860,109,53595,320172,OPTIMAL,69,2.03309,117.731,119.765,114.07422
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.00107148,0.0109424,0.0120138,45.26172
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.00108962,0.0107238,0.0118134,45.26562
c21_2_d1.col,21,105,11,555,2878,OPTIMAL,9,0.00227544,0.0157227,0.0179981,45.01562
c21_2_d2.col,21,105,11,555,2878,OPTIMAL,9,0.0022826,0.0153462,0.0176288,45.86719
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.00064562,0.0105211,0.0111668,45.56641
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.00107667,0.0104228,0.0114995,45.39062
c21_4_d1.col,21,105,11,555,2878,OPTIMAL,9,0.00172462,0.0150048,0.0167294,45.87891
c21_4_d2.col,21,105,11,555,2878,OPTIMAL,9,0.00154838,0.0146559,0.0162042,45.44141
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.00108351,0.0103688,0.0114523,45.32422
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.00108282,0.0427438,0.0438266,45.20312
c21_6_d1.col,21,105,11,555,2878,OPTIMAL,9,0.00143013,0.0155516,0.0169818,45.44141
c21_6_d2.col,21,105,11,555,2878,OPTIMAL,9,0.00143519,0.0146431,0.0160783,45.39062
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00108311,0.0107142,0.0117973,46.16797
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.000660456,0.0106054,0.0112658,45.32812
c21_8_d1.col,21,105,11,555,2878,OPTIMAL,9,0.00156632,0.0142997,0.015866,45.45312
c21_8_d2.col,21,105,11,555,2878,OPTIMAL,9,0.00226496,0.0153765,0.0176415,45.45312
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00261163,0.0173816,0.0199932,45.75391
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.00350089,0.0195954,0.0230962,45.75781
