name,nodes,edges,upper_bound,lower_bound,runtime,memory_usage,model,parameters,density,heuristic,max_clique,max_degree
GEOM100b.col,100,1050,71,71,92.503575,163.88672,POPHyb-SAT,search:descending,0.212121,121.0,15.0,38.0
c21_7_d1.col,21,105,7,7,0.004478,60.03516,POPHyb-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM100a.col,100,992,66,66,98.526782,155.35156,POPHyb-SAT,search:descending,0.200404,91.0,13.0,29.0
c21_2_d2.col,21,105,9,9,0.010263,60.30859,POPHyb-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM120.col,120,773,59,59,2.347526,110.82031,POPHyb-SAT,search:descending,0.108263,73.0,11.0,22.0
GEOM60b.col,60,366,41,41,0.896457,85.31641,POPHyb-SAT,search:descending,0.20678,63.0,9.0,21.0
GEOM20b.col,20,32,13,13,0.011939,60.25,POPHyb-SAT,search:descending,0.168421,16.0,3.0,7.0
GEOM30.col,30,50,28,28,0.029655,60.25,POPHyb-SAT,search:descending,0.114943,33.0,6.0,7.0
c21_6_d1.col,21,105,9,9,0.010329,60.25,POPHyb-SAT,search:descending,0.5,11.0,7.0,16.0
c21_4_d2.col,21,105,9,9,0.010846,60.3125,POPHyb-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM40.col,40,78,28,28,0.03374,60.25,POPHyb-SAT,search:descending,0.1,33.0,6.0,7.0
c21_3_d1.col,21,105,7,7,0.004531,60.0,POPHyb-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM60.col,60,185,33,33,0.032455,70.69531,POPHyb-SAT,search:descending,0.10452,36.0,6.0,11.0
GEOM70b.col,70,488,47,47,2.91716,94.97656,POPHyb-SAT,search:descending,0.20207,76.0,10.0,25.0
c21_1_d1.col,21,105,7,7,0.005122,60.31641,POPHyb-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM120b.col,120,1491,83,83,2358.267528,275.03125,POPHyb-SAT,search:descending,0.208824,123.0,16.0,44.0
c21_5_d1.col,21,105,7,7,0.005148,60.19141,POPHyb-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM50.col,50,127,28,28,0.056269,69.57422,POPHyb-SAT,search:descending,0.103673,36.0,6.0,10.0
GEOM90.col,90,441,46,46,0.201143,88.12891,POPHyb-SAT,search:descending,0.110112,54.0,8.0,16.0
GEOM80.col,80,349,41,41,0.213995,84.8125,POPHyb-SAT,search:descending,0.110443,54.0,8.0,15.0
GEOM90a.col,90,789,63,63,8.252953,139.5625,POPHyb-SAT,search:descending,0.197004,80.0,12.0,26.0
c21_6_d2.col,21,105,9,9,0.011528,60.31641,POPHyb-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM90b.col,90,860,69,69,44.596398,145.88672,POPHyb-SAT,search:descending,0.214732,109.0,15.0,35.0
c55_1_d1.col,55,362,7,7,0.00873,62.45703,POPHyb-SAT,search:descending,0.243771,8.0,7.0,19.0
GEOM50a.col,50,238,50,50,0.378438,82.51562,POPHyb-SAT,search:descending,0.194286,61.0,9.0,17.0
GEOM20a.col,20,37,20,20,0.016627,60.31641,POPHyb-SAT,search:descending,0.194737,24.0,5.0,8.0
GEOM100.col,100,547,50,50,0.679289,95.18359,POPHyb-SAT,search:descending,0.110505,64.0,9.0,19.0
GEOM110.col,110,638,50,50,0.782249,97.625,POPHyb-SAT,search:descending,0.106422,64.0,9.0,20.0
c21_5_d2.col,21,105,7,7,0.005075,60.25781,POPHyb-SAT,search:descending,0.5,8.0,7.0,16.0
c21_8_d2.col,21,105,9,9,0.010129,60.19531,POPHyb-SAT,search:descending,0.5,11.0,7.0,16.0
c21_7_d2.col,21,105,7,7,0.004792,60.32031,POPHyb-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM70a.col,70,459,61,61,2.62378,95.13281,POPHyb-SAT,search:descending,0.190062,72.0,11.0,21.0
c21_4_d1.col,21,105,9,9,0.010222,59.70703,POPHyb-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM110b.col,110,1256,77,77,280.911768,179.10938,POPHyb-SAT,search:descending,0.209508,121.0,15.0,40.0
GEOM80a.col,80,612,63,63,3.342477,124.58984,POPHyb-SAT,search:descending,0.193671,79.0,12.0,24.0
GEOM30a.col,30,81,27,27,0.030675,60.25781,POPHyb-SAT,search:descending,0.186207,32.0,6.0,11.0
