name,nodes,edges,upper_bound,lower_bound,runtime,memory_usage,model,parameters,density,heuristic,max_clique,max_degree
GEOM100b.col,100,1050,71,71,83.187705,133.9375,POP-SAT,search:descending,0.212121,121.0,15.0,38.0
c21_7_d1.col,21,105,7,7,0.004508,60.17188,POP-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM100a.col,100,992,66,66,204.910674,156.25781,POP-SAT,search:descending,0.200404,91.0,13.0,29.0
c21_2_d2.col,21,105,9,9,0.010585,59.71484,POP-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM120.col,120,773,59,59,1.714008,97.41016,POP-SAT,search:descending,0.108263,73.0,11.0,22.0
GEOM60b.col,60,366,41,41,0.656982,81.12109,POP-SAT,search:descending,0.20678,63.0,9.0,21.0
GEOM20b.col,20,32,13,13,0.009573,59.71484,POP-SAT,search:descending,0.168421,16.0,3.0,7.0
GEOM30.col,30,50,28,28,0.021434,59.83984,POP-SAT,search:descending,0.114943,33.0,6.0,7.0
c21_6_d1.col,21,105,9,9,0.011094,59.65234,POP-SAT,search:descending,0.5,11.0,7.0,16.0
c21_4_d2.col,21,105,9,9,0.010896,60.51562,POP-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM40.col,40,78,28,28,0.02318,59.83984,POP-SAT,search:descending,0.1,33.0,6.0,7.0
c21_3_d1.col,21,105,7,7,0.004293,60.20312,POP-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM60.col,60,185,33,33,0.025668,59.71484,POP-SAT,search:descending,0.10452,36.0,6.0,11.0
GEOM70b.col,70,488,47,47,1.930109,86.6875,POP-SAT,search:descending,0.20207,76.0,10.0,25.0
c21_1_d1.col,21,105,7,7,0.004141,59.65625,POP-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM120b.col,120,1491,83,83,2342.26598,274.40234,POP-SAT,search:descending,0.208824,123.0,16.0,44.0
c21_5_d1.col,21,105,7,7,0.003584,59.65625,POP-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM50.col,50,127,28,28,0.037885,60.33203,POP-SAT,search:descending,0.103673,36.0,6.0,10.0
GEOM90.col,90,441,46,46,0.154099,82.95703,POP-SAT,search:descending,0.110112,54.0,8.0,16.0
GEOM80.col,80,349,41,41,0.135401,77.80469,POP-SAT,search:descending,0.110443,54.0,8.0,15.0
GEOM90a.col,90,789,63,63,5.520829,101.84766,POP-SAT,search:descending,0.197004,80.0,12.0,26.0
c21_6_d2.col,21,105,9,9,0.010549,63.39844,POP-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM90b.col,90,860,69,69,22.619599,114.51562,POP-SAT,search:descending,0.214732,109.0,15.0,35.0
c55_1_d1.col,55,362,7,7,0.005948,62.53516,POP-SAT,search:descending,0.243771,8.0,7.0,19.0
GEOM50a.col,50,238,50,50,0.372069,79.10938,POP-SAT,search:descending,0.194286,61.0,9.0,17.0
GEOM20a.col,20,37,20,20,0.01296,60.14453,POP-SAT,search:descending,0.194737,24.0,5.0,8.0
GEOM100.col,100,547,50,50,0.573593,85.51562,POP-SAT,search:descending,0.110505,64.0,9.0,19.0
