name,nodes,edges,upper_bound,lower_bound,runtime,memory_usage,model,parameters,density,heuristic,max_clique,max_degree
GEOM100.col,100,547,50,50,0.790346,81.86719,POP-SAT,search:descending,0.110505,64,9,19
GEOM100a.col,100,992,66,66,145.092519,116.39453,POP-SAT,search:descending,0.200404,91,13,29
GEOM100b.col,100,1050,71,71,78.441243,118.73438,POP-SAT,search:descending,0.212121,121,15,38
GEOM110.col,110,638,50,50,1.033005,84.26562,POP-SAT,search:descending,0.106422,64,9,20
GEOM110a.col,110,1207,69,69,97.41884,127.92578,POP-SAT,search:descending,0.201334,109,14,33
GEOM110b.col,110,1256,77,77,324.177772,129.0,POP-SAT,search:descending,0.209508,121,15,40
GEOM120.col,120,773,59,59,1.748796,88.21484,POP-SAT,search:descending,0.108263,73,11,22
GEOM120a.col,120,1434,82,82,186.886998,142.91797,POP-SAT,search:descending,0.20084,109,16,36
GEOM120b.col,120,1491,83,83,2611.173578,227.95703,POP-SAT,search:descending,0.208824,123,16,44
GEOM20.col,20,20,21,21,0.011029,60.79688,POP-SAT,search:descending,0.105263,24,5,5
GEOM20a.col,20,37,20,20,0.024071,61.35547,POP-SAT,search:descending,0.194737,24,5,8
GEOM20b.col,20,32,13,13,0.021694,60.79297,POP-SAT,search:descending,0.168421,16,3,7
GEOM30.col,30,50,28,28,0.03444,60.79297,POP-SAT,search:descending,0.114943,33,6,7
GEOM30a.col,30,81,27,27,0.039006,60.79688,POP-SAT,search:descending,0.186207,32,6,11
GEOM30b.col,30,81,26,26,0.015163,60.79688,POP-SAT,search:descending,0.186207,27,5,11
GEOM40.col,40,78,28,28,0.038673,64.92578,POP-SAT,search:descending,0.1,33,6,7
GEOM40a.col,40,146,37,37,0.183432,73.30469,POP-SAT,search:descending,0.187179,50,7,13
GEOM40b.col,40,157,33,33,0.063313,68.91406,POP-SAT,search:descending,0.201282,40,7,14
GEOM50.col,50,127,28,28,0.111061,65.75781,POP-SAT,search:descending,0.103673,36,6,10
GEOM50a.col,50,238,50,50,0.679873,76.98047,POP-SAT,search:descending,0.194286,61,9,17
GEOM50b.col,50,249,35,35,0.515378,75.24609,POP-SAT,search:descending,0.203265,54,8,18
GEOM60.col,60,185,33,33,0.03664,66.72266,POP-SAT,search:descending,0.10452,36,6,11
GEOM60a.col,60,339,50,50,0.807293,78.125,POP-SAT,search:descending,0.191525,61,10,19
GEOM60b.col,60,366,41,41,1.74462,80.39062,POP-SAT,search:descending,0.20678,63,9,21
GEOM70.col,70,267,38,38,0.09156,70.76172,POP-SAT,search:descending,0.110559,44,8,14
GEOM70a.col,70,459,61,61,3.00984,83.60547,POP-SAT,search:descending,0.190062,72,11,21
GEOM70b.col,70,488,47,47,2.644738,82.19531,POP-SAT,search:descending,0.20207,76,10,25
GEOM80.col,80,349,41,41,0.258987,76.83984,POP-SAT,search:descending,0.110443,54,8,15
GEOM80a.col,80,612,63,63,6.211514,91.37109,POP-SAT,search:descending,0.193671,79,12,24
GEOM80b.col,80,663,60,60,4.977234,90.15625,POP-SAT,search:descending,0.20981,98,12,30
GEOM90.col,90,441,46,46,0.35502,78.85156,POP-SAT,search:descending,0.110112,54,8,16
GEOM90a.col,90,789,63,63,8.208177,93.40234,POP-SAT,search:descending,0.197004,80,12,26
GEOM90b.col,90,860,69,69,41.204217,100.38281,POP-SAT,search:descending,0.214732,109,15,35
c21_1_d1.col,21,105,7,7,0.005861,62.75,POP-SAT,search:descending,0.5,8,7,16
c21_1_d2.col,21,105,7,7,0.007415,62.75391,POP-SAT,search:descending,0.5,8,7,16
c21_2_d1.col,21,105,9,9,0.018026,62.75391,POP-SAT,search:descending,0.5,11,7,16
c21_2_d2.col,21,105,9,9,0.016562,62.74219,POP-SAT,search:descending,0.5,11,7,16
c21_3_d1.col,21,105,7,7,0.00751,62.74609,POP-SAT,search:descending,0.5,8,7,16
c21_3_d2.col,21,105,7,7,0.005222,62.75,POP-SAT,search:descending,0.5,8,7,16
c21_4_d1.col,21,105,9,9,0.018454,62.75,POP-SAT,search:descending,0.5,11,7,16
c21_4_d2.col,21,105,9,9,0.0104,58.05078,POP-SAT,search:descending,0.5,11,7,16
c21_5_d1.col,21,105,7,7,0.003657,62.75,POP-SAT,search:descending,0.5,8,7,16
c21_5_d2.col,21,105,7,7,0.00797,62.75,POP-SAT,search:descending,0.5,8,7,16
c21_6_d1.col,21,105,9,9,0.015167,62.75,POP-SAT,search:descending,0.5,11,7,16
c21_6_d2.col,21,105,9,9,0.019098,62.75,POP-SAT,search:descending,0.5,11,7,16
c21_7_d1.col,21,105,7,7,0.006301,62.74609,POP-SAT,search:descending,0.5,8,7,16
c21_7_d2.col,21,105,7,7,0.005445,62.75,POP-SAT,search:descending,0.5,8,7,16
c21_8_d1.col,21,105,9,9,0.014095,62.75,POP-SAT,search:descending,0.5,11,7,16
c21_8_d2.col,21,105,9,9,0.014951,62.75,POP-SAT,search:descending,0.5,11,7,16
c55_1_d1.col,55,362,7,7,0.00592,62.84766,POP-SAT,search:descending,0.243771,8,7,19
c55_2_d2.col,55,362,7,7,0.005514,62.85156,POP-SAT,search:descending,0.243771,8,7,19
