name,nodes,edges,upper_bound,lower_bound,runtime,memory_usage,model,parameters,density,heuristic,max_clique,max_degree
GEOM100b.col,100,1050,71,71,61.437921,160.14844,POPHyb-SAT,search:descending,0.212121,121.0,15.0,38.0
c21_7_d1.col,21,105,7,7,0.004946,60.41797,POPHyb-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM100a.col,100,992,66,66,225.833355,167.70312,POPHyb-SAT,search:descending,0.200404,91.0,13.0,29.0
c21_2_d2.col,21,105,9,9,0.012441,64.35547,POPHyb-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM120.col,120,773,59,59,2.142111,111.20312,POPHyb-SAT,search:descending,0.108263,73.0,11.0,22.0
GEOM60b.col,60,366,41,41,0.984641,86.92969,POPHyb-SAT,search:descending,0.20678,63.0,9.0,21.0
GEOM20b.col,20,32,13,13,0.011197,60.61328,POPHyb-SAT,search:descending,0.168421,16.0,3.0,7.0
GEOM30.col,30,50,28,28,0.023324,60.61328,POPHyb-SAT,search:descending,0.114943,33.0,6.0,7.0
c21_6_d1.col,21,105,9,9,0.011328,60.48828,POPHyb-SAT,search:descending,0.5,11.0,7.0,16.0
c21_4_d2.col,21,105,9,9,0.013353,60.73828,POPHyb-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM40.col,40,78,28,28,0.028974,60.61328,POPHyb-SAT,search:descending,0.1,33.0,6.0,7.0
c21_3_d1.col,21,105,7,7,0.004853,60.98828,POPHyb-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM60.col,60,185,33,33,0.035805,70.60547,POPHyb-SAT,search:descending,0.10452,36.0,6.0,11.0
GEOM70b.col,70,488,47,47,1.914355,93.51562,POPHyb-SAT,search:descending,0.20207,76.0,10.0,25.0
c21_1_d1.col,21,105,7,7,0.005008,60.61328,POPHyb-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM120b.col,120,1491,83,83,2004.594129,297.89062,POPHyb-SAT,search:descending,0.208824,123.0,16.0,44.0
c21_5_d1.col,21,105,7,7,0.004385,63.79688,POPHyb-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM50.col,50,127,28,28,0.051476,69.57812,POPHyb-SAT,search:descending,0.103673,36.0,6.0,10.0
GEOM90.col,90,441,46,46,0.26658,89.21875,POPHyb-SAT,search:descending,0.110112,54.0,8.0,16.0
GEOM80.col,80,349,41,41,0.203284,84.07031,POPHyb-SAT,search:descending,0.110443,54.0,8.0,15.0
GEOM90a.col,90,789,63,63,7.017766,137.3125,POPHyb-SAT,search:descending,0.197004,80.0,12.0,26.0
c21_6_d2.col,21,105,9,9,0.01252,60.61328,POPHyb-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM90b.col,90,860,69,69,26.850496,146.94141,POPHyb-SAT,search:descending,0.214732,109.0,15.0,35.0
c55_1_d1.col,55,362,7,7,0.005286,63.29688,POPHyb-SAT,search:descending,0.243771,8.0,7.0,19.0
GEOM50a.col,50,238,50,50,0.32204,83.92578,POPHyb-SAT,search:descending,0.194286,61.0,9.0,17.0
GEOM20a.col,20,37,20,20,0.015854,60.61328,POPHyb-SAT,search:descending,0.194737,24.0,5.0,8.0
GEOM100.col,100,547,50,50,0.694356,95.27344,POPHyb-SAT,search:descending,0.110505,64.0,9.0,19.0
GEOM110.col,110,638,50,50,0.791493,98.70703,POPHyb-SAT,search:descending,0.106422,64.0,9.0,20.0
c21_5_d2.col,21,105,7,7,0.004939,60.67578,POPHyb-SAT,search:descending,0.5,8.0,7.0,16.0
c21_8_d2.col,21,105,9,9,0.012934,60.3125,POPHyb-SAT,search:descending,0.5,11.0,7.0,16.0
c21_7_d2.col,21,105,7,7,0.004458,60.125,POPHyb-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM70a.col,70,459,61,61,2.381669,96.92578,POPHyb-SAT,search:descending,0.190062,72.0,11.0,21.0
c21_4_d1.col,21,105,9,9,0.011937,60.67578,POPHyb-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM110b.col,110,1256,77,77,230.092341,183.59766,POPHyb-SAT,search:descending,0.209508,121.0,15.0,40.0
GEOM80a.col,80,612,63,63,5.558506,127.82812,POPHyb-SAT,search:descending,0.193671,79.0,12.0,24.0
GEOM30a.col,30,81,27,27,0.027745,60.125,POPHyb-SAT,search:descending,0.186207,32.0,6.0,11.0
GEOM80b.col,80,663,60,60,5.691016,134.14062,POPHyb-SAT,search:descending,0.20981,98.0,12.0,30.0
GEOM50b.col,50,249,35,35,0.29222,79.44922,POPHyb-SAT,search:descending,0.203265,54.0,8.0,18.0
GEOM60a.col,60,339,50,50,0.445895,85.72266,POPHyb-SAT,search:descending,0.191525,61.0,10.0,19.0
GEOM70.col,70,267,38,38,0.083067,80.61328,POPHyb-SAT,search:descending,0.110559,44.0,8.0,14.0
GEOM30b.col,30,81,26,26,0.011191,60.61328,POPHyb-SAT,search:descending,0.186207,27.0,5.0,11.0
c21_3_d2.col,21,105,7,7,0.004535,60.1875,POPHyb-SAT,search:descending,0.5,8.0,7.0,16.0
c21_8_d1.col,21,105,9,9,0.013003,60.67578,POPHyb-SAT,search:descending,0.5,11.0,7.0,16.0
c21_1_d2.col,21,105,7,7,0.004636,60.1875,POPHyb-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM40a.col,40,146,37,37,0.118366,70.64844,POPHyb-SAT,search:descending,0.187179,50.0,7.0,13.0
GEOM40b.col,40,157,33,33,0.058471,67.92188,POPHyb-SAT,search:descending,0.201282,40.0,7.0,14.0
c21_2_d1.col,21,105,9,9,0.012791,60.25,POPHyb-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM110a.col,110,1207,69,69,222.957215,205.77734,POPHyb-SAT,search:descending,0.201334,109.0,14.0,33.0
GEOM120a.col,120,1434,82,82,103.530847,170.01562,POPHyb-SAT,search:descending,0.20084,109.0,16.0,36.0
c55_2_d2.col,55,362,7,7,0.006421,62.85938,POPHyb-SAT,search:descending,0.243771,8.0,7.0,19.0
GEOM20.col,20,20,21,21,0.012546,60.61328,POPHyb-SAT,search:descending,0.105263,24.0,5.0,5.0
