name,nodes,edges,upper_bound,lower_bound,runtime,memory_usage,model,parameters,density,heuristic,max_clique,max_degree
GEOM100b.col,100,1050,71,71,80.625443,135.67969,POP-SAT,search:descending,0.212121,121.0,15.0,38.0
c21_7_d1.col,21,105,7,7,0.004111,60.78125,POP-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM100a.col,100,992,66,66,207.713925,162.67188,POP-SAT,search:descending,0.200404,91.0,13.0,29.0
c21_2_d2.col,21,105,9,9,0.009523,60.42969,POP-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM120.col,120,773,59,59,1.794572,95.86719,POP-SAT,search:descending,0.108263,73.0,11.0,22.0
GEOM60b.col,60,366,41,41,1.28162,81.92969,POP-SAT,search:descending,0.20678,63.0,9.0,21.0
GEOM20b.col,20,32,13,13,0.009916,60.1875,POP-SAT,search:descending,0.168421,16.0,3.0,7.0
GEOM30.col,30,50,28,28,0.01934,60.48828,POP-SAT,search:descending,0.114943,33.0,6.0,7.0
c21_6_d1.col,21,105,9,9,0.008673,60.61328,POP-SAT,search:descending,0.5,11.0,7.0,16.0
c21_4_d2.col,21,105,9,9,0.008402,60.73828,POP-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM40.col,40,78,28,28,0.022166,60.80078,POP-SAT,search:descending,0.1,33.0,6.0,7.0
c21_3_d1.col,21,105,7,7,0.003393,60.67578,POP-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM60.col,60,185,33,33,0.02806,60.67578,POP-SAT,search:descending,0.10452,36.0,6.0,11.0
GEOM70b.col,70,488,47,47,1.545997,87.53906,POP-SAT,search:descending,0.20207,76.0,10.0,25.0
c21_1_d1.col,21,105,7,7,0.004302,60.48828,POP-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM120b.col,120,1491,123,81,3600.0,329.12891,POP-SAT,search:descending,0.208824,123.0,16.0,44.0
c21_5_d1.col,21,105,7,7,0.004256,63.62891,POP-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM50.col,50,127,28,28,0.038054,60.4375,POP-SAT,search:descending,0.103673,36.0,6.0,10.0
GEOM90.col,90,441,46,46,0.164448,82.19141,POP-SAT,search:descending,0.110112,54.0,8.0,16.0
GEOM80.col,80,349,41,41,0.155951,78.69922,POP-SAT,search:descending,0.110443,54.0,8.0,15.0
GEOM90a.col,90,789,63,63,6.665105,102.08984,POP-SAT,search:descending,0.197004,80.0,12.0,26.0
c21_6_d2.col,21,105,9,9,0.009002,63.73047,POP-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM90b.col,90,860,69,69,27.050277,115.0625,POP-SAT,search:descending,0.214732,109.0,15.0,35.0
c55_1_d1.col,55,362,7,7,0.005956,62.84766,POP-SAT,search:descending,0.243771,8.0,7.0,19.0
GEOM50a.col,50,238,50,50,0.470472,79.44922,POP-SAT,search:descending,0.194286,61.0,9.0,17.0
GEOM20a.col,20,37,20,20,0.013396,60.3125,POP-SAT,search:descending,0.194737,24.0,5.0,8.0
GEOM100.col,100,547,50,50,0.464084,87.23047,POP-SAT,search:descending,0.110505,64.0,9.0,19.0
GEOM110.col,110,638,50,50,0.64277,89.14062,POP-SAT,search:descending,0.106422,64.0,9.0,20.0
c21_5_d2.col,21,105,7,7,0.004209,60.1875,POP-SAT,search:descending,0.5,8.0,7.0,16.0
c21_8_d2.col,21,105,9,9,0.009126,60.125,POP-SAT,search:descending,0.5,11.0,7.0,16.0
c21_7_d2.col,21,105,7,7,0.004294,60.1875,POP-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM70a.col,70,459,61,61,1.582715,87.51562,POP-SAT,search:descending,0.190062,72.0,11.0,21.0
c21_4_d1.col,21,105,9,9,0.008546,60.1875,POP-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM110b.col,110,1256,77,77,202.643656,162.49609,POP-SAT,search:descending,0.209508,121.0,15.0,40.0
GEOM80a.col,80,612,63,63,2.584311,94.08203,POP-SAT,search:descending,0.193671,79.0,12.0,24.0
GEOM30a.col,30,81,27,27,0.024343,60.125,POP-SAT,search:descending,0.186207,32.0,6.0,11.0
GEOM80b.col,80,663,60,60,5.049153,94.70312,POP-SAT,search:descending,0.20981,98.0,12.0,30.0
GEOM50b.col,50,249,35,35,0.206459,77.12891,POP-SAT,search:descending,0.203265,54.0,8.0,18.0
GEOM60a.col,60,339,50,50,0.385051,80.99219,POP-SAT,search:descending,0.191525,61.0,10.0,19.0
GEOM70.col,70,267,38,38,0.059818,70.92188,POP-SAT,search:descending,0.110559,44.0,8.0,14.0
GEOM30b.col,30,81,26,26,0.009087,60.31641,POP-SAT,search:descending,0.186207,27.0,5.0,11.0
c21_3_d2.col,21,105,7,7,0.004266,60.80469,POP-SAT,search:descending,0.5,8.0,7.0,16.0
c21_8_d1.col,21,105,9,9,0.008262,60.12891,POP-SAT,search:descending,0.5,11.0,7.0,16.0
c21_1_d2.col,21,105,7,7,0.004128,60.61719,POP-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM40a.col,40,146,37,37,0.092528,68.95703,POP-SAT,search:descending,0.187179,50.0,7.0,13.0
GEOM40b.col,40,157,33,33,0.041959,66.07812,POP-SAT,search:descending,0.201282,40.0,7.0,14.0
c21_2_d1.col,21,105,9,9,0.008894,60.19141,POP-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM110a.col,110,1207,69,69,82.970324,147.13281,POP-SAT,search:descending,0.201334,109.0,14.0,33.0
GEOM120a.col,120,1434,82,82,104.458097,165.17578,POP-SAT,search:descending,0.20084,109.0,16.0,36.0
c55_2_d2.col,55,362,7,7,0.007305,62.84766,POP-SAT,search:descending,0.243771,8.0,7.0,19.0
GEOM20.col,20,20,21,21,0.010376,59.94141,POP-SAT,search:descending,0.105263,24.0,5.0,5.0
