name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,6400,42909,OPTIMAL,50,0.0131604,0.247839,0.260999,61.16016
GEOM100a.col,100,992,91,9100,101973,OPTIMAL,66,0.0357149,170.439,170.474,134.71094
GEOM100b.col,100,1050,121,12100,144251,OPTIMAL,71,0.045472,78.1581,78.2036,108.62109
GEOM110.col,110,638,64,7040,49523,OPTIMAL,50,0.0192193,0.292997,0.312217,63.88672
GEOM110a.col,110,1207,109,11990,148064,OPTIMAL,69,0.048324,108.172,108.22,140.47266
GEOM110b.col,110,1256,121,13310,170237,OPTIMAL,77,0.0502972,262.413,262.463,155.66797
GEOM120.col,120,773,73,8760,66990,OPTIMAL,59,0.0208186,1.28535,1.30617,69.29688
GEOM120a.col,120,1434,109,13080,172747,OPTIMAL,82,0.0516071,141.965,142.017,146.75391
GEOM120b.col,120,1491,123,14760,203074,OPTIMAL,83,0.0643417,3229.14,3229.21,297.39844
GEOM20.col,20,20,24,480,1041,OPTIMAL,21,0.000488165,0.000733023,0.00122119,45.75
GEOM20a.col,20,37,24,480,1469,OPTIMAL,20,0.00065384,0.00119439,0.00184823,45.38672
GEOM20b.col,20,32,16,320,913,OPTIMAL,13,0.000410198,0.000458127,0.000868325,45.86719
GEOM30.col,30,50,33,990,2821,OPTIMAL,28,0.000998488,0.00217136,0.00316984,45.44141
GEOM30a.col,30,81,32,960,3733,OPTIMAL,27,0.00153847,0.0028554,0.00439387,44.26562
GEOM30b.col,30,81,27,810,3058,OPTIMAL,26,0.000929731,0.000751207,0.00168094,45.38672
GEOM40.col,40,78,33,1320,4135,OPTIMAL,28,0.00191256,0.00332586,0.00523842,45.86719
GEOM40a.col,40,146,50,2000,9861,OPTIMAL,37,0.0033326,0.0160554,0.019388,45.44922
GEOM40b.col,40,157,40,1600,8201,OPTIMAL,33,0.00288689,0.0070812,0.00996808,45.38672
GEOM50.col,50,127,36,1800,6823,OPTIMAL,28,0.00295088,0.00288538,0.00583626,45.38672
GEOM50a.col,50,238,61,3050,18169,OPTIMAL,50,0.00550136,0.232805,0.238306,57.0625
GEOM50b.col,50,249,54,2700,17147,OPTIMAL,35,0.00610266,0.0604336,0.0665363,45.38672
GEOM60.col,60,185,36,2160,9061,OPTIMAL,33,0.00268944,0.00365849,0.00634793,45.80469
GEOM60a.col,60,339,61,3660,25060,OPTIMAL,50,0.00680479,0.291238,0.298043,58.76562
GEOM60b.col,60,366,63,3780,28219,OPTIMAL,41,0.00841213,0.540166,0.548578,59.53906
GEOM70.col,70,267,44,3080,15319,OPTIMAL,38,0.00578616,0.0138598,0.019646,46.0
GEOM70a.col,70,459,72,5040,38929,OPTIMAL,61,0.0116645,1.40127,1.41293,63.44922
GEOM70b.col,70,488,76,5320,44509,OPTIMAL,47,0.0189071,1.21769,1.2366,63.0625
GEOM80.col,80,349,54,4320,24287,OPTIMAL,41,0.010582,0.0400748,0.0506568,45.38672
GEOM80a.col,80,612,79,6320,56029,OPTIMAL,63,0.0174405,2.38193,2.39937,67.38281
GEOM80b.col,80,663,98,7840,75935,OPTIMAL,60,0.0218379,2.64708,2.66892,69.08594
GEOM90.col,90,441,54,4860,29485,OPTIMAL,46,0.00883285,0.0736368,0.0824697,45.51172
GEOM90a.col,90,789,80,7200,71941,OPTIMAL,63,0.0243119,5.50956,5.53387,73.69141
GEOM90b.col,90,860,109,9810,107241,OPTIMAL,69,0.0330162,31.7517,31.7847,94.73438
c21_1_d1.col,21,105,8,168,1051,OPTIMAL,7,0.000428143,0.00136127,0.00178942,45.44531
c21_1_d2.col,21,105,8,168,1051,OPTIMAL,7,0.000430475,0.00133785,0.00176832,45.38672
c21_2_d1.col,21,105,11,231,1450,OPTIMAL,9,0.000619426,0.00197971,0.00259914,45.38672
c21_2_d2.col,21,105,11,231,1450,OPTIMAL,9,0.000640598,0.00208569,0.00272629,45.44141
c21_3_d1.col,21,105,8,168,1051,OPTIMAL,7,0.000568673,0.00112825,0.00169692,45.37891
c21_3_d2.col,21,105,8,168,1051,OPTIMAL,7,0.000406222,0.00137899,0.00178521,45.38672
c21_4_d1.col,21,105,11,231,1450,OPTIMAL,9,0.000626983,0.00204314,0.00267013,45.8125
c21_4_d2.col,21,105,11,231,1450,OPTIMAL,9,0.000629532,0.00201949,0.00264902,45.69141
c21_5_d1.col,21,105,8,168,1051,OPTIMAL,7,0.000428902,0.00140483,0.00183373,45.38672
c21_5_d2.col,21,105,8,168,1051,OPTIMAL,7,0.000423774,0.00138317,0.00180694,45.44922
c21_6_d1.col,21,105,11,231,1450,OPTIMAL,9,0.000629974,0.00208073,0.0027107,45.44141
c21_6_d2.col,21,105,11,231,1450,OPTIMAL,9,0.000607171,0.00207326,0.00268043,45.44922
c21_7_d1.col,21,105,8,168,1051,OPTIMAL,7,0.000484715,0.00158133,0.00206605,46.23047
c21_7_d2.col,21,105,8,168,1051,OPTIMAL,7,0.000427628,0.00145301,0.00188064,45.875
c21_8_d1.col,21,105,11,231,1450,OPTIMAL,9,0.000630453,0.00203438,0.00266483,45.38672
c21_8_d2.col,21,105,11,231,1450,OPTIMAL,9,0.000633812,0.00195495,0.00258876,45.38672
c55_1_d1.col,55,362,8,440,3447,OPTIMAL,7,0.00136149,0.00238692,0.00374841,45.44922
c55_2_d2.col,55,362,8,440,3447,OPTIMAL,7,0.00133992,0.00242473,0.00376464,45.57422
